ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,21,106,10 Yr,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,21,106,10 Yr,y_probe,-0.0051464139097784035
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,21,77,10 Yr,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,21,77,10 Yr,y_probe,0.004999017393584333
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,21,88,10 Yr,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,21,88,10 Yr,y_probe,0.0007513655416696612
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,21,124,10 Yr,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,21,124,10 Yr,y_probe,-0.0005954909629631486
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,21,75,10 Yr,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,21,75,10 Yr,y_probe,-0.006568122226655385
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,21,91,10 Yr,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,21,91,10 Yr,y_probe,-0.0039737675749581215
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,21,20,10 Yr,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,21,20,10 Yr,y_probe,-0.0038303801196904012
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,21,82,10 Yr,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,21,82,10 Yr,y_probe,-0.005915230287910241
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,21,67,10 Yr,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,21,67,10 Yr,y_probe,-0.0010975661153462244
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,21,11,10 Yr,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,21,11,10 Yr,y_probe,0.012532958645395158
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,21,82,10 Yr,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,21,82,10 Yr,y_probe,0.0011747060256498175
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,21,77,10 Yr,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,21,77,10 Yr,y_probe,0.0038321211936373565
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,21,168,10 Yr,y_bl,-0.00566674234750426
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,21,168,10 Yr,y_probe,0.0054791255407151225
