ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,13,106,,128,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,13,106,,128,y_probe,0.001339727797785853
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,13,77,,128,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,13,77,,128,y_probe,0.0016272996553021763
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,13,88,,128,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,13,88,,128,y_probe,0.002015551784478679
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,13,124,,128,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,13,124,,128,y_probe,0.001479080248579541
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,13,75,,128,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,13,75,,128,y_probe,0.0016859742679220869
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,13,91,,128,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,76,,128,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,13,91,,128,y_probe,0.0017785183528105436
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,76,,128,y_probe,0.0034976422982386382
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,13,20,,128,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,13,20,,128,y_probe,0.0032514766205640902
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,13,82,,128,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,13,82,,128,y_probe,0.0013644622348714247
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,13,67,,128,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,13,67,,128,y_probe,0.0015284421222842726
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,11,,128,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,11,,128,y_probe,0.0027613662823497884
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,13,82,,128,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,13,82,,128,y_probe,0.0015143701673138018
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,13,77,,128,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,13,77,,128,y_probe,0.0018126363967882328
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,168,,128,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,168,,128,y_probe,0.0038106809495101657
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,13,85,,128,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,13,61,,128,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,13,85,,128,y_probe,0.0018693793467032833
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,13,61,,128,y_probe,0.0035967146531881407
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,13,116,,128,y_bl,0.004057829975919723
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,13,116,,128,y_probe,0.0017406594676784275
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,13,74,,128,y_bl,0.002975325657442553
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,13,74,,128,y_probe,0.0016180865643516589
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,13,72,,128,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,13,83,,128,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,127,,128,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,13,72,,128,y_probe,0.0017442555084538768
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,13,83,,128,y_probe,0.003675922362347713
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,127,,128,y_probe,0.0038481058181346656
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,135,,128,y_bl,0.0013625593948820033
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,135,,128,y_probe,0.0030247899218706947
"(1997, 11)",0.0007821666413656558,train,4,1,meeting minutes,,PPI,13,76,,128,y_bl,0.0036393529981994413
"(1997, 11)",0.0007821666413656558,train,4,1,speech,Chairman Alan Greenspan,PPI,13,83,,128,y_bl,0.0036393529981994413
"(1997, 11)",0.0007821666413656558,train,4,1,meeting minutes,,PPI,13,76,,128,y_probe,0.00168174895869798
"(1997, 11)",0.0007821666413656558,train,4,1,speech,Chairman Alan Greenspan,PPI,13,83,,128,y_probe,0.0035034613233238176
"(1997, 12)",-0.008637666581672754,train,4,1,meeting minutes,,PPI,13,73,,128,y_bl,0.0015662363099492797
"(1997, 12)",-0.008637666581672754,train,4,1,speech,Chairman Alan Greenspan,PPI,13,39,,128,y_bl,0.0015662363099492797
"(1997, 12)",-0.008637666581672754,train,4,1,meeting minutes,,PPI,13,73,,128,y_probe,0.001340023687135499
"(1997, 12)",-0.008637666581672754,train,4,1,speech,Chairman Alan Greenspan,PPI,13,39,,128,y_probe,0.0032827327887442036
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Chairman Alan Greenspan,PPI,13,94,,128,y_bl,-0.0012355056379276977
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,135,,128,y_bl,-0.0012355056379276977
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Chairman Alan Greenspan,PPI,13,94,,128,y_probe,0.0034299409369535627
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,135,,128,y_probe,0.003235184817235022
"(1998, 2)",-0.003194890896522473,train,4,1,meeting minutes,,PPI,13,85,,128,y_bl,-0.0027500620793245788
"(1998, 2)",-0.003194890896522473,train,4,1,meeting minutes,,PPI,13,85,,128,y_probe,0.0017037643718146203
"(1998, 3)",-0.0024028846163108852,train,4,1,meeting minutes,,PPI,13,84,,128,y_bl,-0.0009491135961683087
"(1998, 3)",-0.0024028846163108852,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,176,,128,y_bl,-0.0009491135961683087
"(1998, 3)",-0.0024028846163108852,train,4,1,meeting minutes,,PPI,13,84,,128,y_probe,0.0017797266366239924
"(1998, 3)",-0.0024028846163108852,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,176,,128,y_probe,0.0032775878392978185
"(1998, 4)",0.0016025644455366361,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,67,,128,y_bl,0.0021206233591671295
"(1998, 4)",0.0016025644455366361,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,67,,128,y_probe,0.0034249950285599293
"(1998, 5)",0.001600000341334784,train,4,1,meeting minutes,,PPI,13,94,,128,y_bl,0.004525239043125369
"(1998, 5)",0.001600000341334784,train,4,1,meeting minutes,,PPI,13,94,,128,y_probe,0.0018593224475169947
"(1998, 6)",-0.0024009615375399918,train,4,1,meeting minutes,,PPI,13,111,,128,y_bl,0.0028373329229499722
"(1998, 6)",-0.0024009615375399918,train,4,1,meeting minutes,,PPI,13,111,,128,y_probe,0.0016080011185189088
"(1998, 7)",0.0008009611962060958,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,13,81,,128,y_bl,0.0017789535119428178
"(1998, 7)",0.0008009611962060958,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,13,81,,128,y_probe,0.004246378681182592
"(1998, 8)",-0.00562024763215252,train,4,1,meeting minutes,,PPI,13,81,,128,y_bl,0.0013599049503730085
"(1998, 8)",-0.00562024763215252,train,4,1,meeting minutes,,PPI,13,81,,128,y_probe,0.0016438083679073668
"(1998, 9)",-0.003225809248882605,train,4,1,meeting minutes,,PPI,13,80,,128,y_bl,-0.0005192302434238801
"(1998, 9)",-0.003225809248882605,train,4,1,meeting minutes,,PPI,13,80,,128,y_probe,0.0008876766736219998
"(1998, 10)",0.001614205354541376,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,100,,128,y_bl,0.0009486790088552558
"(1998, 10)",0.001614205354541376,train,4,1,speech,Governor Laurence H. Meyer,PPI,13,100,,128,y_probe,0.002789421175984887
"(1998, 11)",-0.003231020581446309,train,4,1,meeting minutes,,PPI,13,82,,128,y_bl,0.0012196744853985304
"(1998, 11)",-0.003231020581446309,train,4,1,meeting minutes,,PPI,13,82,,128,y_probe,0.001262175165298336
"(1998, 12)",-0.006493529310549917,train,4,1,meeting minutes,,PPI,13,72,,128,y_bl,0.002027867301951056
"(1998, 12)",-0.006493529310549917,train,4,1,meeting minutes,,PPI,13,72,,128,y_probe,0.0013247599991102737
"(1999, 1)",0.000814000858946784,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,13,51,,128,y_bl,0.0004658998935942591
"(1999, 1)",0.000814000858946784,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,13,51,,128,y_probe,0.0030921072428568863
"(1999, 2)",-0.004893973878862035,train,4,1,meeting minutes,,PPI,13,89,,128,y_bl,0.0007097524075341831
