ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,12,106,,128,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,12,106,,128,y_probe,0.002186593056404775
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,12,77,,128,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,12,77,,128,y_probe,0.0022400625224995373
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,12,88,,128,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,12,88,,128,y_probe,0.002295320170094314
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,12,124,,128,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,12,124,,128,y_probe,0.002227320991488573
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,12,75,,128,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,12,75,,128,y_probe,0.0022257305996793166
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,12,91,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,76,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,12,91,,128,y_probe,0.002245607580870545
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,76,,128,y_probe,0.0024119768002294124
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,12,20,,128,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,12,20,,128,y_probe,0.002372340249160421
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,12,82,,128,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,12,82,,128,y_probe,0.0022053911049703476
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,12,67,,128,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,12,67,,128,y_probe,0.0022491239077952092
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,11,,128,y_bl,0.001944447418225399
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,11,,128,y_probe,0.0022750817755413273
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,12,82,,128,y_bl,0.0018650880983529224
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,12,82,,128,y_probe,0.002187396372129938
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,12,77,,128,y_bl,0.0019342664469848214
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,12,77,,128,y_probe,0.002224581275067257
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,168,,128,y_bl,0.0017681049300991034
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,168,,128,y_probe,0.0024950388576894422
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,12,85,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,12,61,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,12,85,,128,y_probe,0.0021928399895347287
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,12,61,,128,y_probe,0.002376546619322761
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,12,116,,128,y_bl,0.0019062534739715646
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,12,116,,128,y_probe,0.0022483716535900413
"(1997, 8)",0.002490661312451792,train,4,1,meeting minutes,,CPI,12,74,,128,y_bl,0.003101133539671327
"(1997, 8)",0.002490661312451792,train,4,1,meeting minutes,,CPI,12,74,,128,y_probe,0.0022310661089926568
"(1997, 9)",0.0024844733276623288,train,4,1,meeting minutes,,CPI,12,72,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Chairman Alan Greenspan,CPI,12,83,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,127,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,meeting minutes,,CPI,12,72,,128,y_probe,0.002176790479362939
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Chairman Alan Greenspan,CPI,12,83,,128,y_probe,0.002380534863507939
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,127,,128,y_probe,0.0025161955642475204
"(1997, 10)",0.001859312590186235,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,135,,128,y_bl,0.0028339746933919562
"(1997, 10)",0.001859312590186235,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,135,,128,y_probe,0.0022853905490413926
"(1997, 11)",0.0012376239203497619,train,4,1,meeting minutes,,CPI,12,76,,128,y_bl,0.0018622542064231737
"(1997, 11)",0.0012376239203497619,train,4,1,speech,Chairman Alan Greenspan,CPI,12,83,,128,y_bl,0.0018622542064231737
"(1997, 11)",0.0012376239203497619,train,4,1,meeting minutes,,CPI,12,76,,128,y_probe,0.002180161404302762
"(1997, 11)",0.0012376239203497619,train,4,1,speech,Chairman Alan Greenspan,CPI,12,83,,128,y_probe,0.0022240772421550665
"(1997, 12)",0.0006182380413273236,train,4,1,meeting minutes,,CPI,12,73,,128,y_bl,0.0019439666978312126
"(1997, 12)",0.0006182380413273236,train,4,1,speech,Chairman Alan Greenspan,CPI,12,39,,128,y_bl,0.0019439666978312126
"(1997, 12)",0.0006182380413273236,train,4,1,meeting minutes,,CPI,12,73,,128,y_probe,0.0021422486305407067
"(1997, 12)",0.0006182380413273236,train,4,1,speech,Chairman Alan Greenspan,CPI,12,39,,128,y_probe,0.002125350238400091
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Chairman Alan Greenspan,CPI,12,94,,128,y_bl,0.0018541699243957883
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,135,,128,y_bl,0.0018541699243957883
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Chairman Alan Greenspan,CPI,12,94,,128,y_probe,0.00225663273411072
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,135,,128,y_probe,0.0025392271661466926
"(1998, 2)",0.0,train,4,1,meeting minutes,,CPI,12,85,,128,y_bl,0.0022379175070756548
"(1998, 2)",0.0,train,4,1,meeting minutes,,CPI,12,85,,128,y_probe,0.0021948133125450652
"(1998, 3)",0.0,train,4,1,meeting minutes,,CPI,12,84,,128,y_bl,0.001995286970042721
"(1998, 3)",0.0,train,4,1,speech,Governor Laurence H. Meyer,CPI,12,176,,128,y_bl,0.001995286970042721
"(1998, 3)",0.0,train,4,1,meeting minutes,,CPI,12,84,,128,y_probe,0.002154962181502163
