ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,25,106,10 Yr,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,25,106,10 Yr,y_probe,-0.00823907635163086
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,25,77,10 Yr,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,25,77,10 Yr,y_probe,0.0017895168426594126
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,25,88,10 Yr,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,25,88,10 Yr,y_probe,0.0022675232033382005
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,25,124,10 Yr,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,25,124,10 Yr,y_probe,-0.001958336764201972
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,25,75,10 Yr,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,25,75,10 Yr,y_probe,-0.011921957654927567
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,25,91,10 Yr,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,25,91,10 Yr,y_probe,-0.0018158165427236657
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,25,20,10 Yr,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,25,20,10 Yr,y_probe,-0.004203882501171588
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,25,82,10 Yr,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,25,82,10 Yr,y_probe,-0.005594947458595444
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,25,67,10 Yr,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,25,67,10 Yr,y_probe,-0.0021612803931403152
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,25,11,10 Yr,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,25,11,10 Yr,y_probe,0.008132666751467356
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,25,82,10 Yr,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,25,82,10 Yr,y_probe,-0.004040446422461564
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,25,77,10 Yr,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,25,77,10 Yr,y_probe,0.0032347645023824752
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,25,168,10 Yr,y_bl,-0.00566674234750426
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,25,168,10 Yr,y_probe,0.0069535476028398735
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,25,85,10 Yr,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,25,61,10 Yr,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,25,85,10 Yr,y_probe,-0.005751585878626766
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,25,61,10 Yr,y_probe,0.0013330641543642743
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,25,116,10 Yr,y_bl,-0.01604608763210516
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,25,116,10 Yr,y_probe,-0.0056867628417611935
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,25,74,10 Yr,y_bl,-0.007734970765157045
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,25,74,10 Yr,y_probe,-0.003361040900790689
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,25,72,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,25,83,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,25,127,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,25,72,10 Yr,y_probe,-0.004011398891150575
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,25,83,10 Yr,y_probe,-0.00013394220915687835
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,25,127,10 Yr,y_probe,0.005331800961031463
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,25,135,10 Yr,y_bl,-0.002265153952310951
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,25,135,10 Yr,y_probe,0.00029129812232982395
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,25,76,10 Yr,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,25,83,10 Yr,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,25,76,10 Yr,y_probe,-0.0006136811345937062
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,25,83,10 Yr,y_probe,0.002408943909141932
"(1997, 12)",-0.016080299232376923,train,5,1,meeting minutes,,UST,25,73,10 Yr,y_bl,0.006092506366371484
"(1997, 12)",-0.016080299232376923,train,5,1,speech,Chairman Alan Greenspan,UST,25,39,10 Yr,y_bl,0.006092506366371484
"(1997, 12)",-0.016080299232376923,train,5,1,meeting minutes,,UST,25,73,10 Yr,y_probe,-0.0032879574589905246
"(1997, 12)",-0.016080299232376923,train,5,1,speech,Chairman Alan Greenspan,UST,25,39,10 Yr,y_probe,-0.0013720399385152814
