ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,19,106,,,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,19,106,,,y_probe,0.0007359466466362596
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,19,77,,,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,19,77,,,y_probe,0.0023594688101649624
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,19,88,,,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,19,88,,,y_probe,0.003177942482470168
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,19,124,,,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,19,124,,,y_probe,0.0014693083774498148
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,19,75,,,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,19,75,,,y_probe,0.0013732519079639883
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,19,91,,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,76,,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,19,91,,,y_probe,0.0017464118424354272
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,76,,,y_probe,0.003018474591157095
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,19,20,,,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,19,20,,,y_probe,0.0024995184686415757
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,19,82,,,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,19,82,,,y_probe,0.0013961829854355634
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,19,67,,,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,19,67,,,y_probe,0.0022224357542883115
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,11,,,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,11,,,y_probe,0.0042343066872961325
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,19,82,,,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,19,82,,,y_probe,0.0014750019767596047
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,19,77,,,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,19,77,,,y_probe,0.0017549994790184297
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,168,,,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,168,,,y_probe,0.0031673293846278087
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,19,85,,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,19,61,,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,19,85,,,y_probe,0.002340048094600354
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,19,61,,,y_probe,0.0030479955579101625
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,19,116,,,y_bl,0.004057829975919723
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,19,116,,,y_probe,0.001814903606441302
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,19,74,,,y_bl,0.002975325657442553
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,19,74,,,y_probe,0.0019668058671444247
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,19,72,,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,19,83,,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,127,,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,19,72,,,y_probe,0.002284480041928225
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,19,83,,,y_probe,0.003262057933435256
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,127,,,y_probe,0.0032477778673402637
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_bl,0.0013625593948820033
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_probe,0.004017051396403073
"(1997, 11)",0.0007821666413656558,train,4,1,meeting minutes,,PPI,19,76,,,y_bl,0.0036393529981994413
"(1997, 11)",0.0007821666413656558,train,4,1,speech,Chairman Alan Greenspan,PPI,19,83,,,y_bl,0.0036393529981994413
"(1997, 11)",0.0007821666413656558,train,4,1,meeting minutes,,PPI,19,76,,,y_probe,0.0022278567168779553
"(1997, 11)",0.0007821666413656558,train,4,1,speech,Chairman Alan Greenspan,PPI,19,83,,,y_probe,0.0025050765252531914
"(1997, 12)",-0.008637666581672754,train,4,1,meeting minutes,,PPI,19,73,,,y_bl,0.0015662363099492797
"(1997, 12)",-0.008637666581672754,train,4,1,speech,Chairman Alan Greenspan,PPI,19,39,,,y_bl,0.0015662363099492797
"(1997, 12)",-0.008637666581672754,train,4,1,meeting minutes,,PPI,19,73,,,y_probe,0.00051487856860325
"(1997, 12)",-0.008637666581672754,train,4,1,speech,Chairman Alan Greenspan,PPI,19,39,,,y_probe,0.000922610757052158
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Chairman Alan Greenspan,PPI,19,94,,,y_bl,-0.0012355056379276977
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_bl,-0.0012355056379276977
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Chairman Alan Greenspan,PPI,19,94,,,y_probe,0.0019313390950800972
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_probe,0.0019574247486862516
"(1998, 2)",-0.003194890896522473,train,4,1,meeting minutes,,PPI,19,85,,,y_bl,-0.0027500620793245788
"(1998, 2)",-0.003194890896522473,train,4,1,meeting minutes,,PPI,19,85,,,y_probe,0.0009489307409021093
"(1998, 3)",-0.0024028846163108852,train,4,1,meeting minutes,,PPI,19,84,,,y_bl,-0.0009491135961683087
"(1998, 3)",-0.0024028846163108852,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,176,,,y_bl,-0.0009491135961683087
"(1998, 3)",-0.0024028846163108852,train,4,1,meeting minutes,,PPI,19,84,,,y_probe,0.0010534153907800954
"(1998, 3)",-0.0024028846163108852,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,176,,,y_probe,0.00321391324670913
"(1998, 4)",0.0016025644455366361,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,67,,,y_bl,0.0021206233591671295
"(1998, 4)",0.0016025644455366361,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,67,,,y_probe,0.0031125901218382293
"(1998, 5)",0.001600000341334784,train,4,1,meeting minutes,,PPI,19,94,,,y_bl,0.004525239043125369
"(1998, 5)",0.001600000341334784,train,4,1,meeting minutes,,PPI,19,94,,,y_probe,0.0018906488734180024
"(1998, 6)",-0.0024009615375399918,train,4,1,meeting minutes,,PPI,19,111,,,y_bl,0.0028373329229499722
"(1998, 6)",-0.0024009615375399918,train,4,1,meeting minutes,,PPI,19,111,,,y_probe,0.0016700756335373747
"(1998, 7)",0.0008009611962060958,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,81,,,y_bl,0.0017789535119428178
"(1998, 7)",0.0008009611962060958,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,81,,,y_probe,0.004381739715675938
"(1998, 8)",-0.00562024763215252,train,4,1,meeting minutes,,PPI,19,81,,,y_bl,0.0013599049503730085
"(1998, 8)",-0.00562024763215252,train,4,1,meeting minutes,,PPI,19,81,,,y_probe,0.0007387945372340615
"(1998, 9)",-0.003225809248882605,train,4,1,meeting minutes,,PPI,19,80,,,y_bl,-0.0005192302434238801
"(1998, 9)",-0.003225809248882605,train,4,1,meeting minutes,,PPI,19,80,,,y_probe,0.0004033488238378171
"(1998, 10)",0.001614205354541376,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,100,,,y_bl,0.0009486790088552558
"(1998, 10)",0.001614205354541376,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,100,,,y_probe,0.0016178984886819603
"(1998, 11)",-0.003231020581446309,train,4,1,meeting minutes,,PPI,19,82,,,y_bl,0.0012196744853985304
"(1998, 11)",-0.003231020581446309,train,4,1,meeting minutes,,PPI,19,82,,,y_probe,0.00047332690993041155
"(1998, 12)",-0.006493529310549917,train,4,1,meeting minutes,,PPI,19,72,,,y_bl,0.002027867301951056
"(1998, 12)",-0.006493529310549917,train,4,1,meeting minutes,,PPI,19,72,,,y_probe,0.0016908967941397987
"(1999, 1)",0.000814000858946784,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,51,,,y_bl,0.0004658998935942591
"(1999, 1)",0.000814000858946784,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,51,,,y_probe,0.0027175707408879568
"(1999, 2)",-0.004893973878862035,train,4,1,meeting minutes,,PPI,19,89,,,y_bl,0.0007097524075341831
"(1999, 2)",-0.004893973878862035,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,98,,,y_bl,0.0007097524075341831
"(1999, 2)",-0.004893973878862035,train,4,1,meeting minutes,,PPI,19,89,,,y_probe,0.0008786598059747638
"(1999, 2)",-0.004893973878862035,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,98,,,y_probe,0.0025804664721940152
"(1999, 3)",0.0024499808089881725,train,4,1,meeting minutes,,PPI,19,80,,,y_bl,0.0006428498490903739
"(1999, 3)",0.0024499808089881725,train,4,1,meeting minutes,,PPI,19,80,,,y_probe,0.002232817404055536
"(1999, 4)",0.008123521521477883,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,99,,,y_bl,0.003678939405945073
"(1999, 4)",0.008123521521477883,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,99,,,y_probe,0.002930198707202717
"(1999, 5)",0.008860307662398093,train,4,1,meeting minutes,,PPI,19,72,,,y_bl,0.0035467715491412895
"(1999, 5)",0.008860307662398093,train,4,1,speech,Vice Chair Alice M. Rivlin,PPI,19,41,,,y_bl,0.0035467715491412895
"(1999, 5)",0.008860307662398093,train,4,1,meeting minutes,,PPI,19,72,,,y_probe,0.0025845283121766647
"(1999, 5)",0.008860307662398093,train,4,1,speech,Vice Chair Alice M. Rivlin,PPI,19,41,,,y_probe,0.005119882888653432
"(1999, 6)",0.004001605980005429,train,4,1,meeting minutes,,PPI,19,112,,,y_bl,0.006179483793483521
"(1999, 6)",0.004001605980005429,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,56,,,y_bl,0.006179483793483521
"(1999, 6)",0.004001605980005429,train,4,1,meeting minutes,,PPI,19,112,,,y_probe,0.0021531175079275377
"(1999, 6)",0.004001605980005429,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,56,,,y_probe,0.003445239858990287
"(1999, 8)",0.01348691605434027,train,4,1,meeting minutes,,PPI,19,82,,,y_bl,0.003359255053731577
"(1999, 8)",0.01348691605434027,train,4,1,speech,Chairman Alan Greenspan,PPI,19,28,,,y_bl,0.003359255053731577
"(1999, 8)",0.01348691605434027,train,4,1,meeting minutes,,PPI,19,82,,,y_probe,0.002258237065182321
"(1999, 8)",0.01348691605434027,train,4,1,speech,Chairman Alan Greenspan,PPI,19,28,,,y_probe,0.0042184739270066515
"(1999, 9)",0.008630889199277014,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_bl,0.004290440361874964
"(1999, 9)",0.008630889199277014,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,79,,,y_bl,0.004290440361874964
"(1999, 9)",0.008630889199277014,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_probe,0.003278351559592423
"(1999, 9)",0.008630889199277014,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,19,79,,,y_probe,0.004340277015642592
"(1999, 10)",-0.0023465008811234256,train,4,1,meeting minutes,,PPI,19,76,,,y_bl,0.003072595112536478
"(1999, 10)",-0.0023465008811234256,train,4,1,speech,Chairman Alan Greenspan,PPI,19,53,,,y_bl,0.003072595112536478
"(1999, 10)",-0.0023465008811234256,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,229,,,y_bl,0.003072595112536478
"(1999, 10)",-0.0023465008811234256,train,4,1,meeting minutes,,PPI,19,76,,,y_probe,0.00266724338868519
"(1999, 10)",-0.0023465008811234256,train,4,1,speech,Chairman Alan Greenspan,PPI,19,53,,,y_probe,0.00363925155275703
"(1999, 10)",-0.0023465008811234256,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,229,,,y_probe,0.0016619602062431349
"(1999, 11)",0.00468750858310063,train,4,1,meeting minutes,,PPI,19,79,,,y_bl,0.001515920180908668
"(1999, 11)",0.00468750858310063,train,4,1,speech,Chairman Alan Greenspan,PPI,19,23,,,y_bl,0.001515920180908668
"(1999, 11)",0.00468750858310063,train,4,1,meeting minutes,,PPI,19,79,,,y_probe,0.0027966761722548125
"(1999, 11)",0.00468750858310063,train,4,1,speech,Chairman Alan Greenspan,PPI,19,23,,,y_probe,0.0020903111905925128
"(1999, 12)",-0.003904729678155583,train,4,1,meeting minutes,,PPI,19,72,,,y_bl,-9.240425025898593e-5
"(1999, 12)",-0.003904729678155583,train,4,1,meeting minutes,,PPI,19,72,,,y_probe,0.0025719602548577697
"(2000, 1)",0.003904729678155583,train,4,1,speech,Governor Edward M. Gramlich,PPI,19,161,,,y_bl,-0.0015525770151768798
"(2000, 1)",0.003904729678155583,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,83,,,y_bl,-0.0015525770151768798
"(2000, 1)",0.003904729678155583,train,4,1,speech,Governor Edward M. Gramlich,PPI,19,161,,,y_probe,0.0027502060467817224
"(2000, 1)",0.003904729678155583,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,83,,,y_probe,0.0033844106774012553
"(2000, 2)",0.011623532648402879,train,4,1,meeting minutes,,PPI,19,98,,,y_bl,0.003374266287707595
"(2000, 2)",0.011623532648402879,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,77,,,y_bl,0.003374266287707595
"(2000, 2)",0.011623532648402879,train,4,1,meeting minutes,,PPI,19,98,,,y_probe,0.0031773641534348497
"(2000, 2)",0.011623532648402879,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,77,,,y_probe,0.003905339285656136
"(2000, 3)",0.007674634753112031,train,4,1,meeting minutes,,PPI,19,62,,,y_bl,0.0037237453545656126
"(2000, 3)",0.007674634753112031,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,84,,,y_bl,0.0037237453545656126
"(2000, 3)",0.007674634753112031,train,4,1,meeting minutes,,PPI,19,62,,,y_probe,0.002759994452892459
"(2000, 3)",0.007674634753112031,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,84,,,y_probe,0.003850632309431
"(2000, 4)",-0.0007648183929198638,train,4,1,speech,Chairman Alan Greenspan,PPI,19,22,,,y_bl,0.005950603578960057
"(2000, 4)",-0.0007648183929198638,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_bl,0.005950603578960057
"(2000, 4)",-0.0007648183929198638,train,4,1,speech,Chairman Alan Greenspan,PPI,19,22,,,y_probe,0.004076657207265721
"(2000, 4)",-0.0007648183929198638,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,135,,,y_probe,0.0034589839253589137
"(2000, 5)",0.006862398261037406,train,4,1,meeting minutes,,PPI,19,67,,,y_bl,0.0017872094940653163
"(2000, 5)",0.006862398261037406,train,4,1,meeting minutes,,PPI,19,67,,,y_probe,0.0030815657840647568
"(2000, 6)",0.01657912880291068,train,4,1,meeting minutes,,PPI,19,74,,,y_bl,0.0010580357192144984
"(2000, 6)",0.01657912880291068,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,142,,,y_bl,0.0010580357192144984
"(2000, 6)",0.01657912880291068,train,4,1,meeting minutes,,PPI,19,74,,,y_probe,0.002958367896506661
"(2000, 6)",0.01657912880291068,train,4,1,speech,Governor Laurence H. Meyer,PPI,19,142,,,y_probe,0.004756108790080951
"(2000, 8)",-0.006749181974925023,train,4,1,meeting minutes,,PPI,19,78,,,y_bl,0.004810698868388841
"(2000, 8)",-0.006749181974925023,train,4,1,meeting minutes,,PPI,19,78,,,y_probe,0.0031074307092193673
