ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,2,106,,128,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,2,106,,128,y_probe,0.0018666806526428797
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,2,77,,128,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,2,77,,128,y_probe,0.0019090679844937961
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,2,88,,128,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,2,88,,128,y_probe,0.002004376029608186
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,2,124,,128,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,2,124,,128,y_probe,0.0018787520651126948
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,2,75,,128,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,2,75,,128,y_probe,0.001423282654301197
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,2,91,,128,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,76,,128,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,2,91,,128,y_probe,0.0019126940036182866
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,76,,128,y_probe,0.0026845938690518937
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,2,20,,128,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,2,20,,128,y_probe,0.0035155576483295882
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,2,82,,128,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,2,82,,128,y_probe,0.0015434112662951428
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,2,67,,128,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,2,67,,128,y_probe,0.0017311121526159842
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,11,,128,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,11,,128,y_probe,0.0021802448742298673
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,2,82,,128,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,2,82,,128,y_probe,0.0018224473128180077
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,2,77,,128,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,2,77,,128,y_probe,0.0018785767619103012
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,168,,128,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,168,,128,y_probe,0.002838667257074733
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,2,85,,128,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,2,61,,128,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,2,85,,128,y_probe,0.001775369108741647
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,2,61,,128,y_probe,0.0029490062316928963
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,2,116,,128,y_bl,0.004057829975919723
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,2,116,,128,y_probe,0.0018609244052667422
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,2,74,,128,y_bl,0.002975325657442553
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,2,74,,128,y_probe,0.001524541986201422
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,2,72,,128,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,2,83,,128,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,127,,128,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,2,72,,128,y_probe,0.001900529398139499
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,2,83,,128,y_probe,0.0033955089502084317
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,127,,128,y_probe,0.0031856385722635
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,135,,128,y_bl,0.0013625593948820033
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,135,,128,y_probe,0.002522687471805682
"(1997, 11)",0.0007821666413656558,train,4,1,meeting minutes,,PPI,2,76,,128,y_bl,0.0036393529981994413
"(1997, 11)",0.0007821666413656558,train,4,1,speech,Chairman Alan Greenspan,PPI,2,83,,128,y_bl,0.0036393529981994413
"(1997, 11)",0.0007821666413656558,train,4,1,meeting minutes,,PPI,2,76,,128,y_probe,0.0015964273052250667
"(1997, 11)",0.0007821666413656558,train,4,1,speech,Chairman Alan Greenspan,PPI,2,83,,128,y_probe,0.003609685635884607
"(1997, 12)",-0.008637666581672754,train,4,1,meeting minutes,,PPI,2,73,,128,y_bl,0.0015662363099492797
"(1997, 12)",-0.008637666581672754,train,4,1,speech,Chairman Alan Greenspan,PPI,2,39,,128,y_bl,0.0015662363099492797
"(1997, 12)",-0.008637666581672754,train,4,1,meeting minutes,,PPI,2,73,,128,y_probe,0.001473029445997992
"(1997, 12)",-0.008637666581672754,train,4,1,speech,Chairman Alan Greenspan,PPI,2,39,,128,y_probe,0.0029923522210570084
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Chairman Alan Greenspan,PPI,2,94,,128,y_bl,-0.0012355056379276977
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,135,,128,y_bl,-0.0012355056379276977
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Chairman Alan Greenspan,PPI,2,94,,128,y_probe,0.0034839572605888675
"(1998, 1)",-0.01110241380430299,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,135,,128,y_probe,0.0027520316743210415
"(1998, 2)",-0.003194890896522473,train,4,1,meeting minutes,,PPI,2,85,,128,y_bl,-0.0027500620793245788
"(1998, 2)",-0.003194890896522473,train,4,1,meeting minutes,,PPI,2,85,,128,y_probe,0.0013142252647771627
"(1998, 3)",-0.0024028846163108852,train,4,1,meeting minutes,,PPI,2,84,,128,y_bl,-0.0009491135961683087
"(1998, 3)",-0.0024028846163108852,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,176,,128,y_bl,-0.0009491135961683087
"(1998, 3)",-0.0024028846163108852,train,4,1,meeting minutes,,PPI,2,84,,128,y_probe,0.0017258715377217872
"(1998, 3)",-0.0024028846163108852,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,176,,128,y_probe,0.0027468113788747337
"(1998, 4)",0.0016025644455366361,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,67,,128,y_bl,0.0021206233591671295
"(1998, 4)",0.0016025644455366361,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,67,,128,y_probe,0.0030660873386403214
"(1998, 5)",0.001600000341334784,train,4,1,meeting minutes,,PPI,2,94,,128,y_bl,0.004525239043125369
"(1998, 5)",0.001600000341334784,train,4,1,meeting minutes,,PPI,2,94,,128,y_probe,0.0014476315339904614
"(1998, 6)",-0.0024009615375399918,train,4,1,meeting minutes,,PPI,2,111,,128,y_bl,0.0028373329229499722
"(1998, 6)",-0.0024009615375399918,train,4,1,meeting minutes,,PPI,2,111,,128,y_probe,0.0017868441342934356
"(1998, 7)",0.0008009611962060958,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,81,,128,y_bl,0.0017789535119428178
"(1998, 7)",0.0008009611962060958,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,81,,128,y_probe,0.0032633731042129854
"(1998, 8)",-0.00562024763215252,train,4,1,meeting minutes,,PPI,2,81,,128,y_bl,0.0013599049503730085
"(1998, 8)",-0.00562024763215252,train,4,1,meeting minutes,,PPI,2,81,,128,y_probe,0.0015528894796930873
"(1998, 9)",-0.003225809248882605,train,4,1,meeting minutes,,PPI,2,80,,128,y_bl,-0.0005192302434238801
"(1998, 9)",-0.003225809248882605,train,4,1,meeting minutes,,PPI,2,80,,128,y_probe,0.0011293645538785983
"(1998, 10)",0.001614205354541376,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,100,,128,y_bl,0.0009486790088552558
"(1998, 10)",0.001614205354541376,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,100,,128,y_probe,0.002313456698181621
"(1998, 11)",-0.003231020581446309,train,4,1,meeting minutes,,PPI,2,82,,128,y_bl,0.0012196744853985304
"(1998, 11)",-0.003231020581446309,train,4,1,meeting minutes,,PPI,2,82,,128,y_probe,0.0017068396866773258
"(1998, 12)",-0.006493529310549917,train,4,1,meeting minutes,,PPI,2,72,,128,y_bl,0.002027867301951056
"(1998, 12)",-0.006493529310549917,train,4,1,meeting minutes,,PPI,2,72,,128,y_probe,0.0016590005707935308
"(1999, 1)",0.000814000858946784,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,51,,128,y_bl,0.0004658998935942591
"(1999, 1)",0.000814000858946784,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,51,,128,y_probe,0.002975750759797585
"(1999, 2)",-0.004893973878862035,train,4,1,meeting minutes,,PPI,2,89,,128,y_bl,0.0007097524075341831
"(1999, 2)",-0.004893973878862035,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,98,,128,y_bl,0.0007097524075341831
"(1999, 2)",-0.004893973878862035,train,4,1,meeting minutes,,PPI,2,89,,128,y_probe,0.0018994315864625316
"(1999, 2)",-0.004893973878862035,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,98,,128,y_probe,0.0033359237223310554
"(1999, 3)",0.0024499808089881725,train,4,1,meeting minutes,,PPI,2,80,,128,y_bl,0.0006428498490903739
"(1999, 3)",0.0024499808089881725,train,4,1,meeting minutes,,PPI,2,80,,128,y_probe,0.0017987104725590269
"(1999, 4)",0.008123521521477883,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,99,,128,y_bl,0.003678939405945073
"(1999, 4)",0.008123521521477883,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,99,,128,y_probe,0.0032035769556910663
"(1999, 5)",0.008860307662398093,train,4,1,meeting minutes,,PPI,2,72,,128,y_bl,0.0035467715491412895
"(1999, 5)",0.008860307662398093,train,4,1,speech,Vice Chair Alice M. Rivlin,PPI,2,41,,128,y_bl,0.0035467715491412895
"(1999, 5)",0.008860307662398093,train,4,1,meeting minutes,,PPI,2,72,,128,y_probe,0.001798931946004351
"(1999, 5)",0.008860307662398093,train,4,1,speech,Vice Chair Alice M. Rivlin,PPI,2,41,,128,y_probe,0.003988665058749895
"(1999, 6)",0.004001605980005429,train,4,1,meeting minutes,,PPI,2,112,,128,y_bl,0.006179483793483521
"(1999, 6)",0.004001605980005429,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,56,,128,y_bl,0.006179483793483521
"(1999, 6)",0.004001605980005429,train,4,1,meeting minutes,,PPI,2,112,,128,y_probe,0.0022022132036432
"(1999, 6)",0.004001605980005429,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,56,,128,y_probe,0.003123271088359775
"(1999, 8)",0.01348691605434027,train,4,1,meeting minutes,,PPI,2,82,,128,y_bl,0.003359255053731577
"(1999, 8)",0.01348691605434027,train,4,1,speech,Chairman Alan Greenspan,PPI,2,28,,128,y_bl,0.003359255053731577
"(1999, 8)",0.01348691605434027,train,4,1,meeting minutes,,PPI,2,82,,128,y_probe,0.0018639367498479123
"(1999, 8)",0.01348691605434027,train,4,1,speech,Chairman Alan Greenspan,PPI,2,28,,128,y_probe,0.003572473816438062
"(1999, 9)",0.008630889199277014,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,135,,128,y_bl,0.004290440361874964
"(1999, 9)",0.008630889199277014,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",PPI,2,79,,128,y_bl,0.004290440361874964
"(1999, 9)",0.008630889199277014,train,4,1,speech,Governor Laurence H. Meyer,PPI,2,135,,128,y_probe,0.002930671731902949
