ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,meeting minutes,,PPI,9,106,,y_bl,0.002063593007080123
"(1996, 1)",0.0,meeting minutes,,PPI,9,106,,y_probe,0.0015902921569953207
"(1996, 3)",0.0007914523563119502,meeting minutes,,PPI,9,77,,y_bl,0.002063593007080123
"(1996, 3)",0.0007914523563119502,meeting minutes,,PPI,9,77,,y_probe,0.0021274998614089105
"(1996, 5)",0.013359727189931725,meeting minutes,,PPI,9,88,,y_bl,0.002325372566301518
"(1996, 5)",0.013359727189931725,meeting minutes,,PPI,9,88,,y_probe,0.0025556540843862867
"(1996, 7)",-0.0007809449830720183,meeting minutes,,PPI,9,124,,y_bl,0.006532502491908025
"(1996, 7)",-0.0007809449830720183,meeting minutes,,PPI,9,124,,y_probe,0.0019303239084903414
"(1996, 8)",0.002341007701973652,meeting minutes,,PPI,9,75,,y_bl,0.0027163206123166175
"(1996, 8)",0.002341007701973652,meeting minutes,,PPI,9,75,,y_probe,0.001946728399216837
"(1996, 9)",-0.0007797271350211687,meeting minutes,,PPI,9,91,,y_bl,0.0037441996787559747
"(1996, 9)",-0.0007797271350211687,speech,Governor Laurence H. Meyer,PPI,9,76,,y_bl,0.0037441996787559747
"(1996, 9)",-0.0007797271350211687,meeting minutes,,PPI,9,91,,y_probe,0.002099574995047227
"(1996, 9)",-0.0007797271350211687,speech,Governor Laurence H. Meyer,PPI,9,76,,y_probe,0.004892420336509173
"(1996, 10)",-0.0015612805669524832,speech,Chairman Alan Greenspan,PPI,9,20,,y_bl,-0.0007574434554338835
"(1996, 10)",-0.0015612805669524832,speech,Chairman Alan Greenspan,PPI,9,20,,y_probe,0.0026376411759259167
"(1996, 11)",0.0015612805669524832,meeting minutes,,PPI,9,82,,y_bl,0.0018474809906068234
"(1996, 11)",0.0015612805669524832,meeting minutes,,PPI,9,82,,y_probe,0.001936447867418757
"(1996, 12)",0.006995753366027202,meeting minutes,,PPI,9,67,,y_bl,0.0019526166766578091
"(1996, 12)",0.006995753366027202,meeting minutes,,PPI,9,67,,y_probe,0.0015434207732295975
"(1997, 1)",0.004636793469801503,speech,Governor Laurence H. Meyer,PPI,9,11,,y_bl,0.004500697790576091
"(1997, 1)",0.004636793469801503,speech,Governor Laurence H. Meyer,PPI,9,11,,y_probe,0.006874857264718445
"(1997, 2)",-0.009295186987123394,meeting minutes,,PPI,9,82,,y_bl,0.0044790532859328306
"(1997, 2)",-0.009295186987123394,meeting minutes,,PPI,9,82,,y_probe,0.000988711067426638
"(1997, 3)",-0.009382398771913714,meeting minutes,,PPI,9,77,,y_bl,-0.0004442581557195684
"(1997, 3)",-0.009382398771913714,meeting minutes,,PPI,9,77,,y_probe,0.001233891112054305
"(1997, 4)",-0.0023594191047697777,speech,Governor Laurence H. Meyer,PPI,9,168,,y_bl,-0.0026272831483380205
"(1997, 4)",-0.0023594191047697777,speech,Governor Laurence H. Meyer,PPI,9,168,,y_probe,0.0038797020326551018
"(1997, 5)",0.0031446566794715025,meeting minutes,,PPI,9,85,,y_bl,-0.0010027620716429732
"(1997, 5)",0.0031446566794715025,speech,Chairman Alan Greenspan,PPI,9,61,,y_bl,-0.0010027620716429732
"(1997, 5)",0.0031446566794715025,meeting minutes,,PPI,9,85,,y_probe,0.0017635479051284623
"(1997, 5)",0.0031446566794715025,speech,Chairman Alan Greenspan,PPI,9,61,,y_probe,0.004383745242031201
"(1997, 7)",-0.003932368417721044,meeting minutes,,PPI,9,116,,y_bl,0.004014308484172429
"(1997, 7)",-0.003932368417721044,meeting minutes,,PPI,9,116,,y_probe,0.0018671353502242032
"(1997, 8)",0.002361276185680161,meeting minutes,,PPI,9,74,,y_bl,0.002623785183194455
"(1997, 8)",0.002361276185680161,meeting minutes,,PPI,9,74,,y_probe,0.0012871546951713467
"(1997, 9)",0.00235571369245946,meeting minutes,,PPI,9,72,,y_bl,0.0033250382646475025
"(1997, 9)",0.00235571369245946,speech,Chairman Alan Greenspan,PPI,9,83,,y_bl,0.0033250382646475025
"(1997, 9)",0.00235571369245946,speech,Governor Laurence H. Meyer,PPI,9,127,,y_bl,0.0033250382646475025
"(1997, 9)",0.00235571369245946,meeting minutes,,PPI,9,72,,y_probe,0.001620159602425451
