ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,20,106,1 Mo,128,y_bl,-0.03282972550092894
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,20,106,1 Mo,128,y_probe,-0.008170063590910066
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,20,77,1 Mo,128,y_bl,-0.03282972550092894
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,20,77,1 Mo,128,y_probe,0.0022775290423391083
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,20,88,1 Mo,128,y_bl,-0.05366709740432064
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,20,88,1 Mo,128,y_probe,-0.001696806667422719
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,20,124,1 Mo,128,y_bl,-0.056326084026111965
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,20,124,1 Mo,128,y_probe,0.00043909054035237146
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,20,75,1 Mo,128,y_bl,-0.029950710124355136
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,20,75,1 Mo,128,y_probe,-0.01992106782188881
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,20,91,1 Mo,128,y_bl,-0.02492008837915947
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,20,91,1 Mo,128,y_probe,-0.011553477348328135
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,20,20,1 Mo,128,y_bl,-0.036359273079097
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,20,20,1 Mo,128,y_probe,-0.013541944258959968
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,20,82,1 Mo,128,y_bl,-0.03458597907582971
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,20,82,1 Mo,128,y_probe,-0.007057333219265645
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,20,67,1 Mo,128,y_bl,-0.006548274990771102
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,20,67,1 Mo,128,y_probe,-0.007953855582256345
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,20,11,1 Mo,128,y_bl,-0.03367404608155879
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,20,11,1 Mo,128,y_probe,0.011399392567263326
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,20,82,1 Mo,128,y_bl,-0.05467970371117348
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,20,82,1 Mo,128,y_probe,-0.0001737512252263586
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,20,77,1 Mo,128,y_bl,-0.030290301001583215
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,20,77,1 Mo,128,y_probe,-0.011811078973032739
"(1997, 4)",0.021383566025322764,train,3,1,speech,Governor Laurence H. Meyer,UST,20,168,1 Mo,128,y_bl,-0.03543007031347807
"(1997, 4)",0.021383566025322764,train,3,1,speech,Governor Laurence H. Meyer,UST,20,168,1 Mo,128,y_probe,-0.004443254095962123
"(1997, 5)",-0.02186144771088394,train,3,1,meeting minutes,,UST,20,85,1 Mo,128,y_bl,-0.045045494793480294
"(1997, 5)",-0.02186144771088394,train,3,1,speech,Chairman Alan Greenspan,UST,20,61,1 Mo,128,y_bl,-0.045045494793480294
"(1997, 5)",-0.02186144771088394,train,3,1,meeting minutes,,UST,20,85,1 Mo,128,y_probe,-0.003262445434810822
"(1997, 5)",-0.02186144771088394,train,3,1,speech,Chairman Alan Greenspan,UST,20,61,1 Mo,128,y_probe,-0.019539627084618306
"(1997, 7)",-0.01990532224880992,train,3,1,meeting minutes,,UST,20,116,1 Mo,128,y_bl,-0.02592578285550202
"(1997, 7)",-0.01990532224880992,train,3,1,meeting minutes,,UST,20,116,1 Mo,128,y_probe,0.005431823462180479
"(1997, 8)",-0.040515668893719894,train,3,1,meeting minutes,,UST,20,74,1 Mo,128,y_bl,-0.02001471945017138
"(1997, 8)",-0.040515668893719894,train,3,1,meeting minutes,,UST,20,74,1 Mo,128,y_probe,0.0015482554178562191
"(1997, 9)",-0.005798144987579482,train,3,1,meeting minutes,,UST,20,72,1 Mo,128,y_bl,-0.021979658348250733
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Chairman Alan Greenspan,UST,20,83,1 Mo,128,y_bl,-0.021979658348250733
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Governor Laurence H. Meyer,UST,20,127,1 Mo,128,y_bl,-0.021979658348250733
"(1997, 9)",-0.005798144987579482,train,3,1,meeting minutes,,UST,20,72,1 Mo,128,y_probe,-0.009866864713601098
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Chairman Alan Greenspan,UST,20,83,1 Mo,128,y_probe,-0.01449578808087846
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Governor Laurence H. Meyer,UST,20,127,1 Mo,128,y_probe,-0.002714457567205955
"(1997, 10)",-0.008236547093297242,train,3,1,speech,Governor Laurence H. Meyer,UST,20,135,1 Mo,128,y_bl,-0.02731504782509008
"(1997, 10)",-0.008236547093297242,train,3,1,speech,Governor Laurence H. Meyer,UST,20,135,1 Mo,128,y_probe,-0.016566455276802512
"(1997, 11)",-0.04607645829783902,train,3,1,meeting minutes,,UST,20,76,1 Mo,128,y_bl,-0.03628649720518485
"(1997, 11)",-0.04607645829783902,train,3,1,speech,Chairman Alan Greenspan,UST,20,83,1 Mo,128,y_bl,-0.03628649720518485
"(1997, 11)",-0.04607645829783902,train,3,1,meeting minutes,,UST,20,76,1 Mo,128,y_probe,-0.01458392907733582
"(1997, 11)",-0.04607645829783902,train,3,1,speech,Chairman Alan Greenspan,UST,20,83,1 Mo,128,y_probe,0.0005437100946152594
"(1997, 12)",-0.025645991046535716,train,3,1,meeting minutes,,UST,20,73,1 Mo,128,y_bl,-0.019909506411510187
"(1997, 12)",-0.025645991046535716,train,3,1,speech,Chairman Alan Greenspan,UST,20,39,1 Mo,128,y_bl,-0.019909506411510187
"(1997, 12)",-0.025645991046535716,train,3,1,meeting minutes,,UST,20,73,1 Mo,128,y_probe,-0.013023494326454025
"(1997, 12)",-0.025645991046535716,train,3,1,speech,Chairman Alan Greenspan,UST,20,39,1 Mo,128,y_probe,-0.023951794915759803
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Chairman Alan Greenspan,UST,20,14,1 Mo,128,y_bl,-0.01904234775019413
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Governor Laurence H. Meyer,UST,20,135,1 Mo,128,y_bl,-0.01904234775019413
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Chairman Alan Greenspan,UST,20,14,1 Mo,128,y_probe,-0.02387290378099811
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Governor Laurence H. Meyer,UST,20,135,1 Mo,128,y_probe,-0.006913061204349384
"(1998, 2)",0.012969186206129413,train,3,1,meeting minutes,,UST,20,85,1 Mo,128,y_bl,-0.026734369774016706
"(1998, 2)",0.012969186206129413,train,3,1,meeting minutes,,UST,20,85,1 Mo,128,y_probe,-0.007024738159923334
"(1998, 3)",0.008300686535488825,train,3,1,meeting minutes,,UST,20,84,1 Mo,128,y_bl,-0.03449620411196473
"(1998, 3)",0.008300686535488825,train,3,1,speech,Governor Laurence H. Meyer,UST,20,176,1 Mo,128,y_bl,-0.03449620411196473
"(1998, 3)",0.008300686535488825,train,3,1,meeting minutes,,UST,20,84,1 Mo,128,y_probe,-0.011130748616025376
"(1998, 3)",0.008300686535488825,train,3,1,speech,Governor Laurence H. Meyer,UST,20,176,1 Mo,128,y_probe,-0.008496531702754785
"(1998, 4)",-0.0032281606707242894,train,3,1,speech,Governor Laurence H. Meyer,UST,20,67,1 Mo,128,y_bl,-0.043008911880896186
"(1998, 4)",-0.0032281606707242894,train,3,1,speech,Governor Laurence H. Meyer,UST,20,67,1 Mo,128,y_probe,0.0027725999007046005
"(1998, 5)",0.003384097984241663,train,3,1,meeting minutes,,UST,20,94,1 Mo,128,y_bl,-0.031297475139144694
"(1998, 5)",0.003384097984241663,train,3,1,meeting minutes,,UST,20,94,1 Mo,128,y_probe,-0.015276888113104119
"(1998, 6)",-0.04668090373756497,train,3,1,meeting minutes,,UST,20,111,1 Mo,128,y_bl,-0.03178800187347152
"(1998, 6)",-0.04668090373756497,train,3,1,meeting minutes,,UST,20,111,1 Mo,128,y_probe,-0.01106470942313847
