ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,13,106,10 Yr,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,13,106,10 Yr,y_probe,-0.0032560177294582945
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,13,77,10 Yr,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,13,77,10 Yr,y_probe,-0.0010146138695544809
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,13,88,10 Yr,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,13,88,10 Yr,y_probe,-0.0005915296082668075
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,13,124,10 Yr,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,13,124,10 Yr,y_probe,0.0008952632840720371
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,13,75,10 Yr,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,13,75,10 Yr,y_probe,-0.006271381753724463
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,13,91,10 Yr,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,13,91,10 Yr,y_probe,-0.0035994627058143387
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,13,20,10 Yr,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,13,20,10 Yr,y_probe,-0.007243269545099976
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,13,82,10 Yr,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,13,82,10 Yr,y_probe,-0.009240961716310704
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,13,67,10 Yr,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,13,67,10 Yr,y_probe,-0.0050399382245677644
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,13,11,10 Yr,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,13,11,10 Yr,y_probe,0.010163893743950906
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,13,82,10 Yr,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,13,82,10 Yr,y_probe,-0.0026038178563824043
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,13,77,10 Yr,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,13,77,10 Yr,y_probe,0.0009309725234704367
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,13,168,10 Yr,y_bl,-0.00566674234750426
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,13,168,10 Yr,y_probe,0.007398971463272673
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,13,85,10 Yr,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,13,61,10 Yr,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,13,85,10 Yr,y_probe,-0.0047910405331588884
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,13,61,10 Yr,y_probe,0.006379958624187376
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,13,116,10 Yr,y_bl,-0.01604608763210516
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,13,116,10 Yr,y_probe,-0.0014187228201078283
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,13,74,10 Yr,y_bl,-0.007734970765157045
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,13,74,10 Yr,y_probe,-0.0038684415703170573
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,13,72,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,13,83,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,13,127,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,13,72,10 Yr,y_probe,-0.00567858645319264
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,13,83,10 Yr,y_probe,0.005332128045346423
