ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,10,106,,,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,10,106,,,y_probe,0.0021264229984742436
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,10,77,,,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,10,77,,,y_probe,0.002368335156054979
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,10,88,,,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,10,88,,,y_probe,0.0024461269861431895
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,10,124,,,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,10,124,,,y_probe,0.0023121291960878513
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,10,75,,,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,10,75,,,y_probe,0.002206930396566552
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,10,91,,,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,10,76,,,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,10,91,,,y_probe,0.0023190613358735493
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,10,76,,,y_probe,0.0024675209686072885
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,10,20,,,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,10,20,,,y_probe,0.0024537381091674806
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,10,82,,,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,10,82,,,y_probe,0.0021973567925483986
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,10,67,,,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,10,67,,,y_probe,0.0022177771562351483
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,10,11,,,y_bl,0.001944447418225399
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,10,11,,,y_probe,0.0026126509258500644
