ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,6,meeting minutes,,UST,16,106,10 Yr,y_bl,-0.001580585068517779
"(1996, 1)",0.0,6,meeting minutes,,UST,16,106,10 Yr,y_probe,-0.006017435797994802
"(1996, 3)",0.10447202159671166,6,meeting minutes,,UST,16,77,10 Yr,y_bl,-0.001580585068517779
"(1996, 3)",0.10447202159671166,6,meeting minutes,,UST,16,77,10 Yr,y_probe,0.004786354195122772
"(1996, 5)",0.06203539091945277,6,meeting minutes,,UST,16,88,10 Yr,y_bl,0.001064143664858401
"(1996, 5)",0.06203539091945277,6,meeting minutes,,UST,16,88,10 Yr,y_probe,-0.0005472761527896742
"(1996, 7)",0.022305757514299973,6,meeting minutes,,UST,16,124,10 Yr,y_bl,0.016777697098671704
"(1996, 7)",0.022305757514299973,6,meeting minutes,,UST,16,124,10 Yr,y_probe,-0.0030309529396849062
"(1996, 8)",-0.03136926366764322,6,meeting minutes,,UST,16,75,10 Yr,y_bl,0.005002431410779646
"(1996, 8)",-0.03136926366764322,6,meeting minutes,,UST,16,75,10 Yr,y_probe,-5.842395916997594e-5
"(1996, 9)",0.026947738409769422,6,meeting minutes,,UST,16,91,10 Yr,y_bl,-0.014940616415295545
"(1996, 9)",0.026947738409769422,6,meeting minutes,,UST,16,91,10 Yr,y_probe,-0.003756985349952694
"(1996, 10)",-0.029987254427663146,6,speech,Chairman Alan Greenspan,UST,16,20,10 Yr,y_bl,-0.03121000135004563
"(1996, 10)",-0.029987254427663146,6,speech,Chairman Alan Greenspan,UST,16,20,10 Yr,y_probe,5.9083163827865905e-6
"(1996, 11)",-0.0579645404454726,6,meeting minutes,,UST,16,82,10 Yr,y_bl,-0.0237786048086825
"(1996, 11)",-0.0579645404454726,6,meeting minutes,,UST,16,82,10 Yr,y_probe,-0.009779175251055282
"(1996, 12)",0.034868825650825185,6,meeting minutes,,UST,16,67,10 Yr,y_bl,0.006604015579746886
"(1996, 12)",0.034868825650825185,6,meeting minutes,,UST,16,67,10 Yr,y_probe,-0.0031713403546188347
