ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,8,106,10 Yr,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,8,106,10 Yr,y_probe,-0.0031637314625767798
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,8,77,10 Yr,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,8,77,10 Yr,y_probe,-0.002616815140403356
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,8,88,10 Yr,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,8,88,10 Yr,y_probe,-0.002027423716279426
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,8,124,10 Yr,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,8,124,10 Yr,y_probe,-0.001272234381104288
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,8,75,10 Yr,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,8,75,10 Yr,y_probe,-0.005384762788341536
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,8,91,10 Yr,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,8,91,10 Yr,y_probe,-0.006715774363348791
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,8,20,10 Yr,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,8,20,10 Yr,y_probe,0.001795396566685921
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,8,82,10 Yr,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,8,82,10 Yr,y_probe,-0.0072027156386513195
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,8,67,10 Yr,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,8,67,10 Yr,y_probe,-0.003676897841548374
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,8,11,10 Yr,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,8,11,10 Yr,y_probe,-0.0036211451327761617
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,8,82,10 Yr,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,8,82,10 Yr,y_probe,-0.002318737260627965
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,8,77,10 Yr,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,8,77,10 Yr,y_probe,-0.0030506792762337704
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,8,168,10 Yr,y_bl,-0.00566674234750426
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,8,168,10 Yr,y_probe,0.004229414242779163
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,8,85,10 Yr,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,8,61,10 Yr,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,8,85,10 Yr,y_probe,-0.005134428205836005
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,8,61,10 Yr,y_probe,0.003218678303004322
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,8,116,10 Yr,y_bl,-0.01604608763210516
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,8,116,10 Yr,y_probe,-0.004682894399655321
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,8,74,10 Yr,y_bl,-0.007734970765157045
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,8,74,10 Yr,y_probe,-0.007291086256023269
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,8,72,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,8,83,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,8,127,10 Yr,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,8,72,10 Yr,y_probe,-0.0055455568632917325
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,8,83,10 Yr,y_probe,0.008047885980174687
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,8,127,10 Yr,y_probe,0.0041137686712883785
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,8,135,10 Yr,y_bl,-0.002265153952310951
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,8,135,10 Yr,y_probe,-0.0015853483110396713
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,8,76,10 Yr,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,8,83,10 Yr,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,8,76,10 Yr,y_probe,-0.005875560462647209
