ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,9,meeting minutes,,UST,23,106,1 Yr,y_bl,-0.0012821050149483871
"(1996, 1)",0.0,9,meeting minutes,,UST,23,106,1 Yr,y_probe,0.012362871605102037
"(1996, 3)",0.07725848313712999,9,meeting minutes,,UST,23,77,1 Yr,y_bl,-0.0012821050149483871
"(1996, 3)",0.07725848313712999,9,meeting minutes,,UST,23,77,1 Yr,y_probe,0.012887896952927361
"(1996, 5)",0.03470667976550024,9,meeting minutes,,UST,23,88,1 Yr,y_bl,0.0006555200162295681
"(1996, 5)",0.03470667976550024,9,meeting minutes,,UST,23,88,1 Yr,y_probe,0.01776356850717959
"(1996, 7)",0.04046286361318216,9,meeting minutes,,UST,23,124,1 Yr,y_bl,0.0098750349052869
"(1996, 7)",0.04046286361318216,9,meeting minutes,,UST,23,124,1 Yr,y_probe,0.021295531808149283
"(1996, 8)",-0.031526253646772605,9,meeting minutes,,UST,23,75,1 Yr,y_bl,0.016109508024539934
"(1996, 8)",-0.031526253646772605,9,meeting minutes,,UST,23,75,1 Yr,y_probe,0.005185501723053865
"(1996, 9)",0.0193838668210482,9,meeting minutes,,UST,23,91,1 Yr,y_bl,0.005259963047065548
"(1996, 9)",0.0193838668210482,9,meeting minutes,,UST,23,91,1 Yr,y_probe,0.008508818017123184
"(1996, 10)",-0.02652675433342977,9,speech,Chairman Alan Greenspan,UST,23,20,1 Yr,y_bl,0.2617486275226775
"(1996, 10)",-0.02652675433342977,9,speech,Chairman Alan Greenspan,UST,23,20,1 Yr,y_probe,0.008981482606286815
"(1996, 11)",-0.029092960941664543,9,meeting minutes,,UST,23,82,1 Yr,y_bl,0.0016360775108462773
"(1996, 11)",-0.029092960941664543,9,meeting minutes,,UST,23,82,1 Yr,y_probe,0.009958203637445009
"(1996, 12)",0.01646880771326753,9,meeting minutes,,UST,23,67,1 Yr,y_bl,0.0115965971637629
"(1996, 12)",0.01646880771326753,9,meeting minutes,,UST,23,67,1 Yr,y_probe,0.01611051579929479
"(1997, 1)",0.017986096369782656,9,speech,Governor Laurence H. Meyer,UST,23,11,1 Yr,y_bl,0.005786455803791818
"(1997, 1)",0.017986096369782656,9,speech,Governor Laurence H. Meyer,UST,23,11,1 Yr,y_probe,0.03165995891993052
"(1997, 2)",-0.012556218775412686,9,meeting minutes,,UST,23,82,1 Yr,y_bl,0.0032393889037532235
"(1997, 2)",-0.012556218775412686,9,meeting minutes,,UST,23,82,1 Yr,y_probe,0.020260237367074725
"(1997, 3)",0.0646513306588133,9,meeting minutes,,UST,23,77,1 Yr,y_bl,0.011549394455598777
"(1997, 3)",0.0646513306588133,9,meeting minutes,,UST,23,77,1 Yr,y_probe,0.02253276021789534
"(1997, 4)",0.02341244062474157,9,speech,Governor Laurence H. Meyer,UST,23,168,1 Yr,y_bl,0.08585816441364366
"(1997, 4)",0.02341244062474157,9,speech,Governor Laurence H. Meyer,UST,23,168,1 Yr,y_probe,0.02555452277045193
"(1997, 5)",-0.029935518451022627,9,meeting minutes,,UST,23,85,1 Yr,y_bl,-0.013864916173701315
"(1997, 5)",-0.029935518451022627,9,speech,Chairman Alan Greenspan,UST,23,61,1 Yr,y_bl,-0.013864916173701315
"(1997, 5)",-0.029935518451022627,9,meeting minutes,,UST,23,85,1 Yr,y_probe,0.012865423993046354
"(1997, 5)",-0.029935518451022627,9,speech,Chairman Alan Greenspan,UST,23,61,1 Yr,y_probe,0.022307677862826017
"(1997, 7)",-0.04027389913794277,9,meeting minutes,,UST,23,116,1 Yr,y_bl,0.009407793418991128
"(1997, 7)",-0.04027389913794277,9,meeting minutes,,UST,23,116,1 Yr,y_probe,0.004971199718058645
"(1997, 8)",-0.023319442345142605,9,meeting minutes,,UST,23,74,1 Yr,y_bl,-0.013607165699910929
"(1997, 8)",-0.023319442345142605,9,meeting minutes,,UST,23,74,1 Yr,y_probe,0.015564089176183977
"(1997, 9)",-0.0009327408505547402,9,meeting minutes,,UST,23,72,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,speech,Chairman Alan Greenspan,UST,23,83,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,speech,Governor Laurence H. Meyer,UST,23,127,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,meeting minutes,,UST,23,72,1 Yr,y_probe,0.013248068310042193
"(1997, 9)",-0.0009327408505547402,9,speech,Chairman Alan Greenspan,UST,23,83,1 Yr,y_probe,0.016314747186453434
"(1997, 9)",-0.0009327408505547402,9,speech,Governor Laurence H. Meyer,UST,23,127,1 Yr,y_probe,0.03422246182405047
"(1997, 10)",-0.0009280025412752302,9,speech,Governor Laurence H. Meyer,UST,23,135,1 Yr,y_bl,-0.052396318638683485
"(1997, 10)",-0.0009280025412752302,9,speech,Governor Laurence H. Meyer,UST,23,135,1 Yr,y_probe,0.02963750410533596
"(1997, 11)",-0.013771193732996352,9,meeting minutes,,UST,23,76,1 Yr,y_bl,-0.018329408129638625
"(1997, 11)",-0.013771193732996352,9,speech,Chairman Alan Greenspan,UST,23,83,1 Yr,y_bl,-0.018329408129638625
"(1997, 11)",-0.013771193732996352,9,meeting minutes,,UST,23,76,1 Yr,y_probe,0.012963771160608305
"(1997, 11)",-0.013771193732996352,9,speech,Chairman Alan Greenspan,UST,23,83,1 Yr,y_probe,0.04380152649627457
"(1997, 12)",0.013983974202703022,9,meeting minutes,,UST,23,73,1 Yr,y_bl,0.01722883298620771
"(1997, 12)",0.013983974202703022,9,speech,Chairman Alan Greenspan,UST,23,39,1 Yr,y_bl,0.01722883298620771
"(1997, 12)",0.013983974202703022,9,meeting minutes,,UST,23,73,1 Yr,y_probe,0.0069172673564904
"(1997, 12)",0.013983974202703022,9,speech,Chairman Alan Greenspan,UST,23,39,1 Yr,y_probe,-0.006368981589247989
"(1998, 1)",-0.05561294203563204,9,speech,Chairman Alan Greenspan,UST,23,14,1 Yr,y_bl,-0.017748872839184766
"(1998, 1)",-0.05561294203563204,9,speech,Governor Laurence H. Meyer,UST,23,135,1 Yr,y_bl,-0.017748872839184766
"(1998, 1)",-0.05561294203563204,9,speech,Chairman Alan Greenspan,UST,23,14,1 Yr,y_probe,0.022342577643870914
"(1998, 1)",-0.05561294203563204,9,speech,Governor Laurence H. Meyer,UST,23,135,1 Yr,y_probe,0.031257959548120245
