ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1997, 12)",-0.025645991046535716,10,meeting minutes,,UST,19,73,1 Mo,y_bl,0.002983698068586963
"(1997, 12)",-0.025645991046535716,10,speech,Chairman Alan Greenspan,UST,19,39,1 Mo,y_bl,0.002983698068586963
"(1997, 12)",-0.025645991046535716,10,meeting minutes,,UST,19,73,1 Mo,y_probe,-0.01378200738397718
"(1997, 12)",-0.025645991046535716,10,speech,Chairman Alan Greenspan,UST,19,39,1 Mo,y_probe,0.014933385851161404
"(1998, 1)",-0.033940671686584045,10,speech,Chairman Alan Greenspan,UST,19,14,1 Mo,y_bl,0.004803697052177455
"(1998, 1)",-0.033940671686584045,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_bl,0.004803697052177455
"(1998, 1)",-0.033940671686584045,10,speech,Chairman Alan Greenspan,UST,19,14,1 Mo,y_probe,-0.0611125114233617
"(1998, 1)",-0.033940671686584045,10,speech,Governor Laurence H. Meyer,UST,19,135,1 Mo,y_probe,0.020103945348817
"(1998, 2)",0.012969186206129413,10,meeting minutes,,UST,19,85,1 Mo,y_bl,0.003330564232440939
"(1998, 2)",0.012969186206129413,10,meeting minutes,,UST,19,85,1 Mo,y_probe,-0.016680511777159738
"(1998, 3)",0.008300686535488825,10,meeting minutes,,UST,19,84,1 Mo,y_bl,-0.015870316824004194
"(1998, 3)",0.008300686535488825,10,speech,Governor Laurence H. Meyer,UST,19,176,1 Mo,y_bl,-0.015870316824004194
"(1998, 3)",0.008300686535488825,10,meeting minutes,,UST,19,84,1 Mo,y_probe,0.013551140701901979
"(1998, 3)",0.008300686535488825,10,speech,Governor Laurence H. Meyer,UST,19,176,1 Mo,y_probe,0.018263933720922557
"(1998, 4)",-0.0032281606707242894,10,speech,Governor Laurence H. Meyer,UST,19,67,1 Mo,y_bl,-0.16259389410489422
"(1998, 4)",-0.0032281606707242894,10,speech,Governor Laurence H. Meyer,UST,19,67,1 Mo,y_probe,0.04082462758031185
"(1998, 5)",0.003384097984241663,10,meeting minutes,,UST,19,94,1 Mo,y_bl,-0.015579214165682254
"(1998, 5)",0.003384097984241663,10,meeting minutes,,UST,19,94,1 Mo,y_probe,-0.002605835625724196
