ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,10,meeting minutes,,UST,18,106,1 Mo,y_bl,-0.0057523533079462475
"(1996, 1)",0.0,10,meeting minutes,,UST,18,106,1 Mo,y_probe,0.009243181530541905
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,18,77,1 Mo,y_bl,-0.0057523533079462475
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,18,77,1 Mo,y_probe,0.03562678184497196
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,18,88,1 Mo,y_bl,-0.015055506877691716
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,18,88,1 Mo,y_probe,0.033100913278423814
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,18,124,1 Mo,y_bl,-0.011913417460334383
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,18,124,1 Mo,y_probe,0.02567249889404406
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,18,75,1 Mo,y_bl,-0.00020192582557820442
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,18,75,1 Mo,y_probe,0.008171550028230192
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,18,91,1 Mo,y_bl,-0.0061383372412705285
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,18,91,1 Mo,y_probe,0.017648787991424462
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,18,20,1 Mo,y_bl,0.14605318147907356
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,18,20,1 Mo,y_probe,-0.06305087583686916
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,18,82,1 Mo,y_bl,-0.0070140801012760915
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,18,82,1 Mo,y_probe,0.00343479222991383
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,18,67,1 Mo,y_bl,0.009893431793614113
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,18,67,1 Mo,y_probe,0.010029281502282503
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,18,11,1 Mo,y_bl,0.16802875727837815
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,18,11,1 Mo,y_probe,0.02948553142288352
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,18,82,1 Mo,y_bl,0.0030366934314220604
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,18,82,1 Mo,y_probe,0.01068104946217325
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,18,77,1 Mo,y_bl,-0.0037219927172518572
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,18,77,1 Mo,y_probe,0.012153937653557077
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,18,168,1 Mo,y_bl,0.27700893238101554
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,18,168,1 Mo,y_probe,0.024385673750354424
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,18,85,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,18,61,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,18,85,1 Mo,y_probe,-0.00011938832717409142
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,18,61,1 Mo,y_probe,0.017065004242848805
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,18,116,1 Mo,y_bl,-0.017261095462849943
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,18,116,1 Mo,y_probe,0.0018749370324159503
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,18,74,1 Mo,y_bl,-0.013241718413827026
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,18,74,1 Mo,y_probe,0.025375410786385253
"(1997, 9)",-0.005798144987579482,10,meeting minutes,,UST,18,72,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Chairman Alan Greenspan,UST,18,83,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Governor Laurence H. Meyer,UST,18,127,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,meeting minutes,,UST,18,72,1 Mo,y_probe,0.01319528579032158
"(1997, 9)",-0.005798144987579482,10,speech,Chairman Alan Greenspan,UST,18,83,1 Mo,y_probe,-0.02671853000560142
"(1997, 9)",-0.005798144987579482,10,speech,Governor Laurence H. Meyer,UST,18,127,1 Mo,y_probe,0.04701639028423037
"(1997, 10)",-0.008236547093297242,10,speech,Governor Laurence H. Meyer,UST,18,135,1 Mo,y_bl,0.3744468089319008
"(1997, 10)",-0.008236547093297242,10,speech,Governor Laurence H. Meyer,UST,18,135,1 Mo,y_probe,0.01176076064829414
"(1997, 11)",-0.04607645829783902,10,meeting minutes,,UST,18,76,1 Mo,y_bl,-0.010862604583164919
"(1997, 11)",-0.04607645829783902,10,speech,Chairman Alan Greenspan,UST,18,83,1 Mo,y_bl,-0.010862604583164919
