ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,meeting minutes,,CPI,2,106,,y_bl,0.0018095848637232383
"(1996, 1)",0.0,meeting minutes,,CPI,2,106,,y_probe,0.0022592274262443904
"(1996, 3)",0.00515797404026852,meeting minutes,,CPI,2,77,,y_bl,0.0018095848637232383
"(1996, 3)",0.00515797404026852,meeting minutes,,CPI,2,77,,y_probe,0.0024267685769970033
"(1996, 5)",0.005771096491922201,meeting minutes,,CPI,2,88,,y_bl,0.003695093339150359
"(1996, 5)",0.005771096491922201,meeting minutes,,CPI,2,88,,y_probe,0.002503917375937438
"(1996, 7)",0.0038289772370969644,meeting minutes,,CPI,2,124,,y_bl,0.0033191314348228846
"(1996, 7)",0.0038289772370969644,meeting minutes,,CPI,2,124,,y_probe,0.0025052684701423796
"(1996, 8)",0.0012730746467983778,meeting minutes,,CPI,2,75,,y_bl,0.0030804152791075448
"(1996, 8)",0.0012730746467983778,meeting minutes,,CPI,2,75,,y_probe,0.0023891880737376275
"(1996, 9)",0.0031756139738865485,meeting minutes,,CPI,2,91,,y_bl,0.0012950325397918091
"(1996, 9)",0.0031756139738865485,speech,Governor Laurence H. Meyer,CPI,2,76,,y_bl,0.0012950325397918091
"(1996, 9)",0.0031756139738865485,meeting minutes,,CPI,2,91,,y_probe,0.0025189676154682085
"(1996, 9)",0.0031756139738865485,speech,Governor Laurence H. Meyer,CPI,2,76,,y_probe,0.0030300706559302335
"(1996, 10)",0.0031655613645611425,speech,Chairman Alan Greenspan,CPI,2,20,,y_bl,0.0027281272980020596
"(1996, 10)",0.0031655613645611425,speech,Chairman Alan Greenspan,CPI,2,20,,y_probe,0.002829629213421014
"(1996, 11)",0.0031555721988096863,meeting minutes,,CPI,2,82,,y_bl,0.0027568106177745895
"(1996, 11)",0.0031555721988096863,meeting minutes,,CPI,2,82,,y_probe,0.0023232533570185458
"(1996, 12)",0.0025173078113773784,meeting minutes,,CPI,2,67,,y_bl,0.0032263205066742455
"(1996, 12)",0.0025173078113773784,meeting minutes,,CPI,2,67,,y_probe,0.0022944433408579818
"(1997, 1)",0.0018838310123738822,speech,Governor Laurence H. Meyer,CPI,2,11,,y_bl,0.00218542849390107
"(1997, 1)",0.0018838310123738822,speech,Governor Laurence H. Meyer,CPI,2,11,,y_probe,0.00283606127695775
"(1997, 2)",0.00188028886485192,meeting minutes,,CPI,2,82,,y_bl,0.002317084537420963
"(1997, 2)",0.00188028886485192,meeting minutes,,CPI,2,82,,y_probe,0.0023612970486721115
"(1997, 3)",0.0006259781112074592,meeting minutes,,CPI,2,77,,y_bl,0.0023230415115267303
"(1997, 3)",0.0006259781112074592,meeting minutes,,CPI,2,77,,y_probe,0.0025561740109483547
"(1997, 4)",0.0006255865077342548,speech,Governor Laurence H. Meyer,CPI,2,168,,y_bl,0.001938046129848481
"(1997, 4)",0.0006255865077342548,speech,Governor Laurence H. Meyer,CPI,2,168,,y_probe,0.0028067635156874414
"(1997, 5)",0.0,meeting minutes,,CPI,2,85,,y_bl,0.0021271052992756115
"(1997, 5)",0.0,speech,Chairman Alan Greenspan,CPI,2,61,,y_bl,0.0021271052992756115
"(1997, 5)",0.0,meeting minutes,,CPI,2,85,,y_probe,0.0023945690279184775
"(1997, 5)",0.0,speech,Chairman Alan Greenspan,CPI,2,61,,y_probe,0.002746571148064466
"(1997, 7)",0.0031220755925058796,meeting minutes,,CPI,2,116,,y_bl,0.0016714857708306624
"(1997, 7)",0.0031220755925058796,meeting minutes,,CPI,2,116,,y_probe,0.0022757852140850377
"(1997, 8)",0.002490661312451792,meeting minutes,,CPI,2,74,,y_bl,0.00316256382283932
"(1997, 8)",0.002490661312451792,meeting minutes,,CPI,2,74,,y_probe,0.002376191292308165
"(1997, 9)",0.0024844733276614406,meeting minutes,,CPI,2,72,,y_bl,0.002313064309960862
"(1997, 9)",0.0024844733276614406,speech,Chairman Alan Greenspan,CPI,2,83,,y_bl,0.002313064309960862
"(1997, 9)",0.0024844733276614406,speech,Governor Laurence H. Meyer,CPI,2,127,,y_bl,0.002313064309960862
"(1997, 9)",0.0024844733276614406,meeting minutes,,CPI,2,72,,y_probe,0.002407888916921462
"(1997, 9)",0.0024844733276614406,speech,Chairman Alan Greenspan,CPI,2,83,,y_probe,0.0025417568511930163
"(1997, 9)",0.0024844733276614406,speech,Governor Laurence H. Meyer,CPI,2,127,,y_probe,0.00290573620079755
"(1997, 10)",0.0018593125901835705,speech,Governor Laurence H. Meyer,CPI,2,135,,y_bl,0.002851059491853378
"(1997, 10)",0.0018593125901835705,speech,Governor Laurence H. Meyer,CPI,2,135,,y_probe,0.0024896337914926308
"(1997, 11)",0.0012376239203497619,meeting minutes,,CPI,2,76,,y_bl,0.0017712548788217485
"(1997, 11)",0.0012376239203497619,speech,Chairman Alan Greenspan,CPI,2,83,,y_bl,0.0017712548788217485
"(1997, 11)",0.0012376239203497619,meeting minutes,,CPI,2,76,,y_probe,0.002231875411727849
"(1997, 11)",0.0012376239203497619,speech,Chairman Alan Greenspan,CPI,2,83,,y_probe,0.002574716882412983
"(1997, 12)",0.0006182380413308763,meeting minutes,,CPI,2,73,,y_bl,0.0022280860756107453
"(1997, 12)",0.0006182380413308763,speech,Chairman Alan Greenspan,CPI,2,39,,y_bl,0.0022280860756107453
"(1997, 12)",0.0006182380413308763,meeting minutes,,CPI,2,73,,y_probe,0.0022550775248275224
"(1997, 12)",0.0006182380413308763,speech,Chairman Alan Greenspan,CPI,2,39,,y_probe,0.002384563501676909
"(1998, 1)",0.001235330607991969,speech,Chairman Alan Greenspan,CPI,2,94,,y_bl,0.0019140934338350857
"(1998, 1)",0.001235330607991969,speech,Governor Laurence H. Meyer,CPI,2,135,,y_bl,0.0019140934338350857
"(1998, 1)",0.001235330607991969,speech,Chairman Alan Greenspan,CPI,2,94,,y_probe,0.0025322594003854477
"(1998, 1)",0.001235330607991969,speech,Governor Laurence H. Meyer,CPI,2,135,,y_probe,0.002771360103594139
"(1998, 2)",0.0,meeting minutes,,CPI,2,85,,y_bl,0.002283757184938234
"(1998, 2)",0.0,meeting minutes,,CPI,2,85,,y_probe,0.002153300220934316
"(1998, 3)",0.0,meeting minutes,,CPI,2,84,,y_bl,0.0017382519389321017
"(1998, 3)",0.0,speech,Governor Laurence H. Meyer,CPI,2,176,,y_bl,0.0017382519389321017
"(1998, 3)",0.0,meeting minutes,,CPI,2,84,,y_probe,0.0022922338237120273
"(1998, 3)",0.0,speech,Governor Laurence H. Meyer,CPI,2,176,,y_probe,0.002479753253983572
"(1998, 4)",0.001233806448929009,speech,Governor Laurence H. Meyer,CPI,2,67,,y_bl,0.001989918882235994
"(1998, 4)",0.001233806448929009,speech,Governor Laurence H. Meyer,CPI,2,67,,y_probe,0.0027668311007629357
"(1998, 5)",0.002463055432397887,meeting minutes,,CPI,2,94,,y_bl,0.002080734221567211
"(1998, 5)",0.002463055432397887,meeting minutes,,CPI,2,94,,y_probe,0.0022720163396888404
"(1998, 6)",0.0012292564547298213,meeting minutes,,CPI,2,111,,y_bl,0.0027532825604987218
"(1998, 6)",0.0012292564547298213,meeting minutes,,CPI,2,111,,y_probe,0.002331589096022379
"(1998, 7)",0.0024539889615660115,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,81,,y_bl,0.002102167640079335
"(1998, 7)",0.0024539889615660115,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,81,,y_probe,0.002796069083874051
"(1998, 8)",0.0012247398958962208,meeting minutes,,CPI,2,81,,y_bl,0.0025496638184279367
"(1998, 8)",0.0012247398958962208,meeting minutes,,CPI,2,81,,y_probe,0.002390451670090725
"(1998, 9)",0.0006118079114054709,meeting minutes,,CPI,2,80,,y_bl,0.0017426297390888644
"(1998, 9)",0.0006118079114054709,meeting minutes,,CPI,2,80,,y_probe,0.0021681444323006934
"(1998, 10)",0.0024434954124759045,speech,Governor Laurence H. Meyer,CPI,2,100,,y_bl,0.002249411356578946
"(1998, 10)",0.0024434954124759045,speech,Governor Laurence H. Meyer,CPI,2,100,,y_probe,0.002659307184652583
"(1998, 11)",0.0012195123462612756,meeting minutes,,CPI,2,82,,y_bl,0.002403314998094356
"(1998, 11)",0.0012195123462612756,meeting minutes,,CPI,2,82,,y_probe,0.0022589543539113604
"(1998, 12)",0.0018264845260347329,meeting minutes,,CPI,2,72,,y_bl,0.0021356173501695156
"(1998, 12)",0.0018264845260347329,meeting minutes,,CPI,2,72,,y_probe,0.002252929121016432
"(1999, 1)",0.001823154561514606,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,51,,y_bl,0.0026422731115291653
"(1999, 1)",0.001823154561514606,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,51,,y_probe,0.0029100698306307776
"(1999, 2)",0.0,meeting minutes,,CPI,2,89,,y_bl,0.0019436019974880486
"(1999, 2)",0.0,speech,Governor Laurence H. Meyer,CPI,2,98,,y_bl,0.0019436019974880486
"(1999, 2)",0.0,meeting minutes,,CPI,2,89,,y_probe,0.0020575413443870653
"(1999, 2)",0.0,speech,Governor Laurence H. Meyer,CPI,2,98,,y_probe,0.002735520544893196
"(1999, 3)",0.0006069802917769707,meeting minutes,,CPI,2,80,,y_bl,0.0018893339174393035
"(1999, 3)",0.0006069802917769707,meeting minutes,,CPI,2,80,,y_probe,0.0023621241919591085
"(1999, 4)",0.006652579721027507,speech,Governor Laurence H. Meyer,CPI,2,99,,y_bl,0.002003497667872237
"(1999, 4)",0.006652579721027507,speech,Governor Laurence H. Meyer,CPI,2,99,,y_probe,0.0026952066090379172
"(1999, 5)",0.0006025911601446055,meeting minutes,,CPI,2,72,,y_bl,0.004043638975650561
"(1999, 5)",0.0006025911601446055,speech,Vice Chair Alice M. Rivlin,CPI,2,41,,y_bl,0.004043638975650561
"(1999, 5)",0.0006025911601446055,meeting minutes,,CPI,2,72,,y_probe,0.0026064004587936446
"(1999, 5)",0.0006025911601446055,speech,Vice Chair Alice M. Rivlin,CPI,2,41,,y_probe,0.0030578216997484502
"(1999, 6)",0.0,meeting minutes,,CPI,2,112,,y_bl,0.0015955204547048218
"(1999, 6)",0.0,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,56,,y_bl,0.0015955204547048218
"(1999, 6)",0.0,meeting minutes,,CPI,2,112,,y_probe,0.0023966352411769636
"(1999, 6)",0.0,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,56,,y_probe,0.002892377647620094
"(1999, 8)",0.0066046472448046956,meeting minutes,,CPI,2,82,,y_bl,0.0023049249563127966
"(1999, 8)",0.0066046472448046956,speech,Chairman Alan Greenspan,CPI,2,28,,y_bl,0.0023049249563127966
"(1999, 8)",0.0066046472448046956,meeting minutes,,CPI,2,82,,y_probe,0.002555407888133415
"(1999, 8)",0.0066046472448046956,speech,Chairman Alan Greenspan,CPI,2,28,,y_probe,0.003006010044196314
"(1999, 9)",0.004180358431757902,speech,Governor Laurence H. Meyer,CPI,2,135,,y_bl,0.0029068481928341524
"(1999, 9)",0.004180358431757902,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,79,,y_bl,0.0029068481928341524
"(1999, 9)",0.004180358431757902,speech,Governor Laurence H. Meyer,CPI,2,135,,y_probe,0.0027682121582157724
"(1999, 9)",0.004180358431757902,speech,"Governor Roger W. Ferguson, Jr.",CPI,2,79,,y_probe,0.0028308472996313957
"(1999, 10)",0.0017862463814637408,meeting minutes,,CPI,2,76,,y_bl,0.0034422890802832174
"(1999, 10)",0.0017862463814637408,speech,Chairman Alan Greenspan,CPI,2,53,,y_bl,0.0034422890802832174
"(1999, 10)",0.0017862463814637408,speech,Governor Laurence H. Meyer,CPI,2,229,,y_bl,0.0034422890802832174
"(1999, 10)",0.0017862463814637408,meeting minutes,,CPI,2,76,,y_probe,0.0023516088741559397
"(1999, 10)",0.0017862463814637408,speech,Chairman Alan Greenspan,CPI,2,53,,y_probe,0.002777162469103567
"(1999, 10)",0.0017862463814637408,speech,Governor Laurence H. Meyer,CPI,2,229,,y_probe,0.0021132807572392647
"(1999, 11)",0.001783061393656027,meeting minutes,,CPI,2,79,,y_bl,0.0027620875183606377
"(1999, 11)",0.001783061393656027,speech,Chairman Alan Greenspan,CPI,2,23,,y_bl,0.0027620875183606377
"(1999, 11)",0.001783061393656027,meeting minutes,,CPI,2,79,,y_probe,0.0024814575243174894
"(1999, 11)",0.001783061393656027,speech,Chairman Alan Greenspan,CPI,2,23,,y_probe,0.0029028796312181213
"(1999, 12)",0.0023724803536309125,meeting minutes,,CPI,2,72,,y_bl,0.0012316238618659038
"(1999, 12)",0.0023724803536309125,meeting minutes,,CPI,2,72,,y_probe,0.0024363262689793986
"(2000, 1)",0.0029577069772326325,speech,Governor Edward M. Gramlich,CPI,2,161,,y_bl,0.002731216365706818
"(2000, 1)",0.0029577069772326325,speech,Governor Laurence H. Meyer,CPI,2,83,,y_bl,0.002731216365706818
"(2000, 1)",0.0029577069772326325,speech,Governor Edward M. Gramlich,CPI,2,161,,y_probe,0.002450205796042015
"(2000, 1)",0.0029577069772326325,speech,Governor Laurence H. Meyer,CPI,2,83,,y_probe,0.0028807906998769882
"(2000, 2)",0.004126147911172495,meeting minutes,,CPI,2,98,,y_bl,0.0030393609257920095
"(2000, 2)",0.004126147911172495,speech,Governor Laurence H. Meyer,CPI,2,77,,y_bl,0.0030393609257920095
"(2000, 2)",0.004126147911172495,meeting minutes,,CPI,2,98,,y_probe,0.0026439251431700076
"(2000, 2)",0.004126147911172495,speech,Governor Laurence H. Meyer,CPI,2,77,,y_probe,0.0026508347192980767
"(2000, 3)",0.005865119452398204,meeting minutes,,CPI,2,62,,y_bl,0.003098952571880094
"(2000, 3)",0.005865119452398204,speech,Governor Laurence H. Meyer,CPI,2,84,,y_bl,0.003098952571880094
"(2000, 3)",0.005865119452398204,meeting minutes,,CPI,2,62,,y_probe,0.002679473919754966
"(2000, 3)",0.005865119452398204,speech,Governor Laurence H. Meyer,CPI,2,84,,y_probe,0.0031089785761052304
"(2000, 4)",-0.0005849663811146044,speech,Chairman Alan Greenspan,CPI,2,22,,y_bl,0.0035293316040000983
"(2000, 4)",-0.0005849663811146044,speech,Governor Laurence H. Meyer,CPI,2,135,,y_bl,0.0035293316040000983
"(2000, 4)",-0.0005849663811146044,speech,Chairman Alan Greenspan,CPI,2,22,,y_probe,0.003135123485259561
"(2000, 4)",-0.0005849663811146044,speech,Governor Laurence H. Meyer,CPI,2,135,,y_probe,0.0025120077973316396
"(2000, 5)",0.0017538735860958,meeting minutes,,CPI,2,67,,y_bl,0.0010517239918363622
"(2000, 5)",0.0017538735860958,meeting minutes,,CPI,2,67,,y_probe,0.0028138945154966804
"(2000, 6)",0.00582412828598855,meeting minutes,,CPI,2,74,,y_bl,0.0026699683210062155
"(2000, 6)",0.00582412828598855,speech,Governor Laurence H. Meyer,CPI,2,142,,y_bl,0.0026699683210062155
"(2000, 6)",0.00582412828598855,meeting minutes,,CPI,2,74,,y_probe,0.0025369620641816242
"(2000, 6)",0.00582412828598855,speech,Governor Laurence H. Meyer,CPI,2,142,,y_probe,0.0031262062104021504
"(2000, 8)",0.00289939315900245,meeting minutes,,CPI,2,78,,y_bl,0.002999171466336153
"(2000, 8)",0.00289939315900245,meeting minutes,,CPI,2,78,,y_probe,0.0024800145043189373
"(2000, 10)",0.006924436207604856,meeting minutes,,CPI,2,65,,y_bl,0.003393025486425158
"(2000, 10)",0.006924436207604856,speech,Chairman Alan Greenspan,CPI,2,57,,y_bl,0.003393025486425158
