ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,5,106,1 Mo,y_bl,-0.03282972550092894
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,5,106,1 Mo,y_probe,0.008023474635978354
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,5,77,1 Mo,y_bl,-0.03282972550092894
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,5,77,1 Mo,y_probe,-0.017501672390583638
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,5,88,1 Mo,y_bl,-0.05366709740432064
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,5,88,1 Mo,y_probe,-0.010399265860480077
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,5,124,1 Mo,y_bl,-0.056326084026111965
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,5,124,1 Mo,y_probe,0.004305297991106774
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,5,75,1 Mo,y_bl,-0.029950710124355136
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,5,75,1 Mo,y_probe,-0.032867971506430636
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,5,91,1 Mo,y_bl,-0.02492008837915947
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,5,91,1 Mo,y_probe,-0.018122711452548162
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,5,20,1 Mo,y_bl,-0.036359273079097
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,5,20,1 Mo,y_probe,-0.03789553922823139
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,5,82,1 Mo,y_bl,-0.03458597907582971
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,5,82,1 Mo,y_probe,-0.015271765084569539
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,5,67,1 Mo,y_bl,-0.006548274990771102
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,5,67,1 Mo,y_probe,0.004353650166002115
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,5,11,1 Mo,y_bl,-0.03367404608155879
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,5,11,1 Mo,y_probe,-0.0620015487320726
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,5,82,1 Mo,y_bl,-0.05467970371117348
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,5,82,1 Mo,y_probe,0.016331916866896914
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,5,77,1 Mo,y_bl,-0.030290301001583215
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,5,77,1 Mo,y_probe,0.007001150106519241
