ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,12,106,1 Yr,,y_bl,-0.0027761937187946208
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,12,106,1 Yr,,y_probe,-0.00047767212478634765
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,12,77,1 Yr,,y_bl,-0.0027761937187946208
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,12,77,1 Yr,,y_probe,-0.001213101366975819
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,12,88,1 Yr,,y_bl,-0.012769637574383593
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,12,88,1 Yr,,y_probe,-0.0036738964971717815
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,12,124,1 Yr,,y_bl,-0.0006076492035807542
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,12,124,1 Yr,,y_probe,0.0037290250599214115
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,12,75,1 Yr,,y_bl,0.0017201854011910144
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,12,75,1 Yr,,y_probe,-0.009775348636262211
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,12,91,1 Yr,,y_bl,-0.0034729455634614345
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,12,91,1 Yr,,y_probe,-0.006863468230061289
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,12,20,1 Yr,,y_bl,-0.01050722168306808
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,12,20,1 Yr,,y_probe,0.0058692183886304705
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,12,82,1 Yr,,y_bl,0.01952302631271628
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,12,82,1 Yr,,y_probe,-0.018672598813723514
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,12,67,1 Yr,,y_bl,0.019955720050410557
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,12,67,1 Yr,,y_probe,-0.01326267729458143
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,12,11,1 Yr,,y_bl,0.018552380196997245
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,12,11,1 Yr,,y_probe,0.010071820231502467
