ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,19,106,1 Yr,128,y_bl,-0.0027761937187946208
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,19,106,1 Yr,128,y_probe,-0.00217437389035466
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,19,77,1 Yr,128,y_bl,-0.0027761937187946208
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,19,77,1 Yr,128,y_probe,0.005024860338148962
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,19,88,1 Yr,128,y_bl,-0.012769637574383593
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,19,88,1 Yr,128,y_probe,0.006053663052552993
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,19,124,1 Yr,128,y_bl,-0.0006076492035807542
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,19,124,1 Yr,128,y_probe,0.00784748724439429
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,19,75,1 Yr,128,y_bl,0.0017201854011910144
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,19,75,1 Yr,128,y_probe,-0.0023100635921983912
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,19,91,1 Yr,128,y_bl,-0.0034729455634614345
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,19,91,1 Yr,128,y_probe,0.002251515332620653
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,19,20,1 Yr,128,y_bl,-0.01050722168306808
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,19,20,1 Yr,128,y_probe,0.015102197193485958
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,19,82,1 Yr,128,y_bl,0.01952302631271628
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,19,82,1 Yr,128,y_probe,0.0007855192324564544
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,19,67,1 Yr,128,y_bl,0.019955720050410557
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,19,67,1 Yr,128,y_probe,0.0028095445111028295
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,19,11,1 Yr,128,y_bl,0.018552380196997245
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,19,11,1 Yr,128,y_probe,0.01968172767339149
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,19,82,1 Yr,128,y_bl,-0.009227357120394606
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,19,82,1 Yr,128,y_probe,0.003291307097761908
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,19,77,1 Yr,128,y_bl,0.028102488848263222
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,19,77,1 Yr,128,y_probe,0.001303626161228551
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,19,168,1 Yr,128,y_bl,-0.024720410941722882
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,19,168,1 Yr,128,y_probe,0.020514846594601083
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,19,85,1 Yr,128,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,19,61,1 Yr,128,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,19,85,1 Yr,128,y_probe,-0.001686372230332308
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,19,61,1 Yr,128,y_probe,0.009175016525963165
"(1997, 7)",-0.04027389913794277,train,10,1,meeting minutes,,UST,19,116,1 Yr,128,y_bl,0.0038036540682278674
"(1997, 7)",-0.04027389913794277,train,10,1,meeting minutes,,UST,19,116,1 Yr,128,y_probe,0.0049697333207856685
"(1997, 8)",-0.023319442345142605,train,10,1,meeting minutes,,UST,19,74,1 Yr,128,y_bl,-0.00196808394340437
"(1997, 8)",-0.023319442345142605,train,10,1,meeting minutes,,UST,19,74,1 Yr,128,y_probe,0.006069362345568456
"(1997, 9)",-0.0009327408505547402,train,10,1,meeting minutes,,UST,19,72,1 Yr,128,y_bl,-0.012125543554784018
"(1997, 9)",-0.0009327408505547402,train,10,1,speech,Chairman Alan Greenspan,UST,19,83,1 Yr,128,y_bl,-0.012125543554784018
"(1997, 9)",-0.0009327408505547402,train,10,1,speech,Governor Laurence H. Meyer,UST,19,127,1 Yr,128,y_bl,-0.012125543554784018
"(1997, 9)",-0.0009327408505547402,train,10,1,meeting minutes,,UST,19,72,1 Yr,128,y_probe,-0.003838265953351784
"(1997, 9)",-0.0009327408505547402,train,10,1,speech,Chairman Alan Greenspan,UST,19,83,1 Yr,128,y_probe,0.008975882295066991
"(1997, 9)",-0.0009327408505547402,train,10,1,speech,Governor Laurence H. Meyer,UST,19,127,1 Yr,128,y_probe,0.021820413026149826
"(1997, 10)",-0.0009280025412752302,train,10,1,speech,Governor Laurence H. Meyer,UST,19,135,1 Yr,128,y_bl,0.01585640587370409
"(1997, 10)",-0.0009280025412752302,train,10,1,speech,Governor Laurence H. Meyer,UST,19,135,1 Yr,128,y_probe,0.01823420693397555
"(1997, 11)",-0.013771193732996352,train,10,1,meeting minutes,,UST,19,76,1 Yr,128,y_bl,0.011204275349032454
"(1997, 11)",-0.013771193732996352,train,10,1,speech,Chairman Alan Greenspan,UST,19,83,1 Yr,128,y_bl,0.011204275349032454
"(1997, 11)",-0.013771193732996352,train,10,1,meeting minutes,,UST,19,76,1 Yr,128,y_probe,-0.003500855178581176
"(1997, 11)",-0.013771193732996352,train,10,1,speech,Chairman Alan Greenspan,UST,19,83,1 Yr,128,y_probe,0.022017865392976607
"(1997, 12)",0.013983974202703022,train,10,1,meeting minutes,,UST,19,73,1 Yr,128,y_bl,0.009730556588983232
"(1997, 12)",0.013983974202703022,train,10,1,speech,Chairman Alan Greenspan,UST,19,39,1 Yr,128,y_bl,0.009730556588983232
"(1997, 12)",0.013983974202703022,train,10,1,meeting minutes,,UST,19,73,1 Yr,128,y_probe,-0.0029093004913537
"(1997, 12)",0.013983974202703022,train,10,1,speech,Chairman Alan Greenspan,UST,19,39,1 Yr,128,y_probe,-0.0038941006599083703
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Chairman Alan Greenspan,UST,19,14,1 Yr,128,y_bl,-0.021574301436424782
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Governor Laurence H. Meyer,UST,19,135,1 Yr,128,y_bl,-0.021574301436424782
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Chairman Alan Greenspan,UST,19,14,1 Yr,128,y_probe,0.0026321765488858686
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Governor Laurence H. Meyer,UST,19,135,1 Yr,128,y_probe,0.02045592413471344
"(1998, 2)",0.00884694492082927,train,10,1,meeting minutes,,UST,19,85,1 Yr,128,y_bl,-0.0036957554242387784
"(1998, 2)",0.00884694492082927,train,10,1,meeting minutes,,UST,19,85,1 Yr,128,y_probe,0.000682263889693301
"(1998, 3)",0.01993631462488802,train,10,1,meeting minutes,,UST,19,84,1 Yr,128,y_bl,-0.00981352595348027
"(1998, 3)",0.01993631462488802,train,10,1,speech,Governor Laurence H. Meyer,UST,19,176,1 Yr,128,y_bl,-0.00981352595348027
"(1998, 3)",0.01993631462488802,train,10,1,meeting minutes,,UST,19,84,1 Yr,128,y_probe,-0.003829174619821012
"(1998, 3)",0.01993631462488802,train,10,1,speech,Governor Laurence H. Meyer,UST,19,176,1 Yr,128,y_probe,0.014412729657737074
"(1998, 4)",-0.0048374651621134745,train,10,1,speech,Governor Laurence H. Meyer,UST,19,67,1 Yr,128,y_bl,-0.017980910827358868
"(1998, 4)",-0.0048374651621134745,train,10,1,speech,Governor Laurence H. Meyer,UST,19,67,1 Yr,128,y_probe,0.023246627585330384
"(1998, 5)",0.02226437049739971,train,10,1,meeting minutes,,UST,19,94,1 Yr,128,y_bl,-0.0007693961002001154
"(1998, 5)",0.02226437049739971,train,10,1,meeting minutes,,UST,19,94,1 Yr,128,y_probe,-0.002497242570148259
"(1998, 6)",-0.012927234501458162,train,10,1,meeting minutes,,UST,19,111,1 Yr,128,y_bl,-0.004171815782873682
"(1998, 6)",-0.012927234501458162,train,10,1,meeting minutes,,UST,19,111,1 Yr,128,y_probe,-0.0002738618409360768
"(1998, 7)",-0.009337135995939327,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,19,81,1 Yr,128,y_bl,-0.023698138499347703
"(1998, 7)",-0.009337135995939327,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,19,81,1 Yr,128,y_probe,0.010135564063750479
"(1998, 8)",-0.013220211428133899,train,10,1,meeting minutes,,UST,19,81,1 Yr,128,y_bl,0.0035806793306181963
"(1998, 8)",-0.013220211428133899,train,10,1,meeting minutes,,UST,19,81,1 Yr,128,y_probe,-0.0061562692575198065
"(1998, 9)",-0.1494090872546749,train,10,1,meeting minutes,,UST,19,80,1 Yr,128,y_bl,-0.012760021832908617
"(1998, 9)",-0.1494090872546749,train,10,1,meeting minutes,,UST,19,80,1 Yr,128,y_probe,-0.008894598489470662
"(1998, 10)",-0.08041069295827613,train,10,1,speech,Governor Laurence H. Meyer,UST,19,100,1 Yr,128,y_bl,0.022569968937636728
"(1998, 10)",-0.08041069295827613,train,10,1,speech,Governor Laurence H. Meyer,UST,19,100,1 Yr,128,y_probe,0.010737186945796638
"(1998, 11)",0.0782007473074735,train,10,1,meeting minutes,,UST,19,82,1 Yr,128,y_bl,-0.0017993534121205322
"(1998, 11)",0.0782007473074735,train,10,1,meeting minutes,,UST,19,82,1 Yr,128,y_probe,-0.009932093319498646
"(1998, 12)",0.008810629682155513,train,10,1,meeting minutes,,UST,19,72,1 Yr,128,y_bl,-0.035102350716593116
"(1998, 12)",0.008810629682155513,train,10,1,meeting minutes,,UST,19,72,1 Yr,128,y_probe,-0.0038240917976262484
"(1999, 1)",-0.022173857494322435,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,19,51,1 Yr,128,y_bl,0.021476881938614675
"(1999, 1)",-0.022173857494322435,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,19,51,1 Yr,128,y_probe,0.01983877036614153
"(1999, 2)",0.058685934812218635,train,10,1,meeting minutes,,UST,19,89,1 Yr,128,y_bl,0.011764749331239483
"(1999, 2)",0.058685934812218635,train,10,1,speech,Governor Laurence H. Meyer,UST,19,98,1 Yr,128,y_bl,0.011764749331239483
"(1999, 2)",0.058685934812218635,train,10,1,meeting minutes,,UST,19,89,1 Yr,128,y_probe,0.0013599308556208514
"(1999, 2)",0.058685934812218635,train,10,1,speech,Governor Laurence H. Meyer,UST,19,98,1 Yr,128,y_probe,0.009914773351298905
"(1999, 3)",-0.0024329122630024624,train,10,1,meeting minutes,,UST,19,80,1 Yr,128,y_bl,-0.07139384578007976
"(1999, 3)",-0.0024329122630024624,train,10,1,meeting minutes,,UST,19,80,1 Yr,128,y_probe,0.0012815019587690962
"(1999, 4)",-0.014941579998200671,train,10,1,speech,Governor Laurence H. Meyer,UST,19,99,1 Yr,128,y_bl,-0.03986646025711807
"(1999, 4)",-0.014941579998200671,train,10,1,speech,Governor Laurence H. Meyer,UST,19,99,1 Yr,128,y_probe,0.005232811863443789
"(1999, 5)",0.04368272319907464,train,10,1,meeting minutes,,UST,19,72,1 Yr,128,y_bl,-7.80440314161368e-5
"(1999, 5)",0.04368272319907464,train,10,1,speech,Vice Chair Alice M. Rivlin,UST,19,41,1 Yr,128,y_bl,-7.80440314161368e-5
"(1999, 5)",0.04368272319907464,train,10,1,meeting minutes,,UST,19,72,1 Yr,128,y_probe,0.004984151744818931
