ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,23,106,1 Yr,,y_bl,-0.0027761937187946208
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,23,106,1 Yr,,y_probe,-0.0001040744863965039
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,23,77,1 Yr,,y_bl,-0.0027761937187946208
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,23,77,1 Yr,,y_probe,0.0037852826983759726
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,23,88,1 Yr,,y_bl,-0.012769637574383593
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,23,88,1 Yr,,y_probe,0.007522758959640733
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,23,124,1 Yr,,y_bl,-0.0006076492035807542
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,23,124,1 Yr,,y_probe,0.005692897339873212
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,23,75,1 Yr,,y_bl,0.0017201854011910144
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,23,75,1 Yr,,y_probe,-0.008966871973023382
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,23,91,1 Yr,,y_bl,-0.0034729455634614345
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,23,91,1 Yr,,y_probe,-0.01016499739261585
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,23,20,1 Yr,,y_bl,-0.01050722168306808
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,23,20,1 Yr,,y_probe,0.00707748169987123
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,23,82,1 Yr,,y_bl,0.01952302631271628
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,23,82,1 Yr,,y_probe,-0.00595977825074194
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,23,67,1 Yr,,y_bl,0.019955720050410557
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,23,67,1 Yr,,y_probe,0.002445136715890167
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,23,11,1 Yr,,y_bl,0.018552380196997245
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,23,11,1 Yr,,y_probe,0.012608841075062042
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,23,82,1 Yr,,y_bl,-0.009227357120394606
