ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,10,106,,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,10,106,,y_probe,0.0016265486096159857
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,10,77,,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,10,77,,y_probe,0.002012872858071841
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,10,88,,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,10,88,,y_probe,0.002633981878155119
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,10,124,,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,10,124,,y_probe,0.001526121016266163
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,10,75,,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,10,75,,y_probe,0.0014195709220710929
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,10,91,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,76,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,10,91,,y_probe,0.001953275584630101
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,76,,y_probe,0.003064206503109065
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,10,20,,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,10,20,,y_probe,0.003297791420463045
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,10,82,,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,10,82,,y_probe,0.0014837358409121367
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,10,67,,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,10,67,,y_probe,0.001803322566753623
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,11,,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,11,,y_probe,0.004575487821359384
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,10,82,,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,10,82,,y_probe,0.0009830826896781372
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,10,77,,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,10,77,,y_probe,0.0013169960537288616
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,168,,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,168,,y_probe,0.0034745451665626416
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,10,85,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,10,61,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,10,85,,y_probe,0.0017793202316480614
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,10,61,,y_probe,0.003077086107462214
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,10,116,,y_bl,0.004057829975919723
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,10,116,,y_probe,0.0014644256594183356
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,10,74,,y_bl,0.002975325657442553
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,10,74,,y_probe,0.0013821159829178475
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,10,72,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,10,83,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,10,127,,y_bl,0.0028247781558981395
