ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,17,106,,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,17,106,,y_probe,0.0009351732670036608
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,17,77,,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,17,77,,y_probe,0.0015504795066864
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,17,88,,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,17,88,,y_probe,0.0031879898115328912
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,17,124,,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,17,124,,y_probe,0.0016885591703814239
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,17,75,,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,17,75,,y_probe,0.0017203668786986367
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,17,91,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,76,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,17,91,,y_probe,0.0021690245120073574
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,76,,y_probe,0.0031807354353343784
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,17,20,,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,17,20,,y_probe,0.001582808517880375
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,17,82,,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,17,82,,y_probe,0.0020898387072982713
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,17,67,,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,17,67,,y_probe,0.0016076539416429946
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,11,,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,11,,y_probe,0.0022657590605938607
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,17,82,,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,17,82,,y_probe,0.001908576221759971
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,17,77,,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,17,77,,y_probe,0.0017798047280601712
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,168,,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,168,,y_probe,0.003575786652470131
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,17,85,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,17,61,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,17,85,,y_probe,0.0018921517769155559
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,17,61,,y_probe,0.00316482598335807
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,17,116,,y_bl,0.004057829975919723
"(1997, 7)",-0.003932368417721044,train,4,1,meeting minutes,,PPI,17,116,,y_probe,0.0013880861605058581
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,17,74,,y_bl,0.002975325657442553
"(1997, 8)",0.0023612761856819375,train,4,1,meeting minutes,,PPI,17,74,,y_probe,0.0015586140346261089
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,17,72,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,17,83,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,127,,y_bl,0.0028247781558981395
"(1997, 9)",0.00235571369245946,train,4,1,meeting minutes,,PPI,17,72,,y_probe,0.001792386712296195
"(1997, 9)",0.00235571369245946,train,4,1,speech,Chairman Alan Greenspan,PPI,17,83,,y_probe,0.0029979755341814933
"(1997, 9)",0.00235571369245946,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,127,,y_probe,0.003921133719043841
"(1997, 10)",0.0023501773449527974,train,4,1,speech,Governor Laurence H. Meyer,PPI,17,135,,y_bl,0.0013625593948820033
