ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,9,meeting minutes,,UST,22,106,1 Yr,y_bl,-0.0012821050149483871
"(1996, 1)",0.0,9,meeting minutes,,UST,22,106,1 Yr,y_probe,0.00719562722437369
"(1996, 3)",0.07725848313712999,9,meeting minutes,,UST,22,77,1 Yr,y_bl,-0.0012821050149483871
"(1996, 3)",0.07725848313712999,9,meeting minutes,,UST,22,77,1 Yr,y_probe,0.020800085961913874
"(1996, 5)",0.03470667976550024,9,meeting minutes,,UST,22,88,1 Yr,y_bl,0.0006555200162295681
"(1996, 5)",0.03470667976550024,9,meeting minutes,,UST,22,88,1 Yr,y_probe,0.019935320138423987
"(1996, 7)",0.04046286361318216,9,meeting minutes,,UST,22,124,1 Yr,y_bl,0.0098750349052869
"(1996, 7)",0.04046286361318216,9,meeting minutes,,UST,22,124,1 Yr,y_probe,0.022456802073447836
"(1996, 8)",-0.031526253646772605,9,meeting minutes,,UST,22,75,1 Yr,y_bl,0.016109508024539934
"(1996, 8)",-0.031526253646772605,9,meeting minutes,,UST,22,75,1 Yr,y_probe,0.004325245840801076
"(1996, 9)",0.0193838668210482,9,meeting minutes,,UST,22,91,1 Yr,y_bl,0.005259963047065548
"(1996, 9)",0.0193838668210482,9,meeting minutes,,UST,22,91,1 Yr,y_probe,0.011398933835072119
"(1996, 10)",-0.02652675433342977,9,speech,Chairman Alan Greenspan,UST,22,20,1 Yr,y_bl,0.2617486275226775
"(1996, 10)",-0.02652675433342977,9,speech,Chairman Alan Greenspan,UST,22,20,1 Yr,y_probe,0.0004707363855517233
"(1996, 11)",-0.029092960941664543,9,meeting minutes,,UST,22,82,1 Yr,y_bl,0.0016360775108462773
"(1996, 11)",-0.029092960941664543,9,meeting minutes,,UST,22,82,1 Yr,y_probe,0.008062919387114386
"(1996, 12)",0.01646880771326753,9,meeting minutes,,UST,22,67,1 Yr,y_bl,0.0115965971637629
"(1996, 12)",0.01646880771326753,9,meeting minutes,,UST,22,67,1 Yr,y_probe,0.014033217932995033
"(1997, 1)",0.017986096369782656,9,speech,Governor Laurence H. Meyer,UST,22,11,1 Yr,y_bl,0.005786455803791818
"(1997, 1)",0.017986096369782656,9,speech,Governor Laurence H. Meyer,UST,22,11,1 Yr,y_probe,0.04183468144833992
"(1997, 2)",-0.012556218775412686,9,meeting minutes,,UST,22,82,1 Yr,y_bl,0.0032393889037532235
"(1997, 2)",-0.012556218775412686,9,meeting minutes,,UST,22,82,1 Yr,y_probe,0.022296256458747422
"(1997, 3)",0.0646513306588133,9,meeting minutes,,UST,22,77,1 Yr,y_bl,0.011549394455598777
"(1997, 3)",0.0646513306588133,9,meeting minutes,,UST,22,77,1 Yr,y_probe,0.019664652470536587
"(1997, 4)",0.02341244062474157,9,speech,Governor Laurence H. Meyer,UST,22,168,1 Yr,y_bl,0.08585816441364366
"(1997, 4)",0.02341244062474157,9,speech,Governor Laurence H. Meyer,UST,22,168,1 Yr,y_probe,0.032384974693918
"(1997, 5)",-0.029935518451022627,9,meeting minutes,,UST,22,85,1 Yr,y_bl,-0.013864916173701315
"(1997, 5)",-0.029935518451022627,9,speech,Chairman Alan Greenspan,UST,22,61,1 Yr,y_bl,-0.013864916173701315
"(1997, 5)",-0.029935518451022627,9,meeting minutes,,UST,22,85,1 Yr,y_probe,0.010210128838804589
"(1997, 5)",-0.029935518451022627,9,speech,Chairman Alan Greenspan,UST,22,61,1 Yr,y_probe,0.00640878134361456
"(1997, 7)",-0.04027389913794277,9,meeting minutes,,UST,22,116,1 Yr,y_bl,0.009407793418991128
"(1997, 7)",-0.04027389913794277,9,meeting minutes,,UST,22,116,1 Yr,y_probe,0.01061692286088416
"(1997, 8)",-0.023319442345142605,9,meeting minutes,,UST,22,74,1 Yr,y_bl,-0.013607165699910929
"(1997, 8)",-0.023319442345142605,9,meeting minutes,,UST,22,74,1 Yr,y_probe,0.016513843993686727
"(1997, 9)",-0.0009327408505547402,9,meeting minutes,,UST,22,72,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,speech,Chairman Alan Greenspan,UST,22,83,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,speech,Governor Laurence H. Meyer,UST,22,127,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,meeting minutes,,UST,22,72,1 Yr,y_probe,0.008176361136747577
"(1997, 9)",-0.0009327408505547402,9,speech,Chairman Alan Greenspan,UST,22,83,1 Yr,y_probe,0.011694717735406627
"(1997, 9)",-0.0009327408505547402,9,speech,Governor Laurence H. Meyer,UST,22,127,1 Yr,y_probe,0.0326946328015437
"(1997, 10)",-0.0009280025412752302,9,speech,Governor Laurence H. Meyer,UST,22,135,1 Yr,y_bl,-0.052396318638683485
"(1997, 10)",-0.0009280025412752302,9,speech,Governor Laurence H. Meyer,UST,22,135,1 Yr,y_probe,0.03184461228819862
"(1997, 11)",-0.013771193732996352,9,meeting minutes,,UST,22,76,1 Yr,y_bl,-0.018329408129638625
"(1997, 11)",-0.013771193732996352,9,speech,Chairman Alan Greenspan,UST,22,83,1 Yr,y_bl,-0.018329408129638625
"(1997, 11)",-0.013771193732996352,9,meeting minutes,,UST,22,76,1 Yr,y_probe,0.016613291474352303
"(1997, 11)",-0.013771193732996352,9,speech,Chairman Alan Greenspan,UST,22,83,1 Yr,y_probe,0.03567165979413732
"(1997, 12)",0.013983974202703022,9,meeting minutes,,UST,22,73,1 Yr,y_bl,0.01722883298620771
"(1997, 12)",0.013983974202703022,9,speech,Chairman Alan Greenspan,UST,22,39,1 Yr,y_bl,0.01722883298620771
"(1997, 12)",0.013983974202703022,9,meeting minutes,,UST,22,73,1 Yr,y_probe,0.005241839462392716
"(1997, 12)",0.013983974202703022,9,speech,Chairman Alan Greenspan,UST,22,39,1 Yr,y_probe,0.005651690656561758
"(1998, 1)",-0.05561294203563204,9,speech,Chairman Alan Greenspan,UST,22,14,1 Yr,y_bl,-0.017748872839184766
"(1998, 1)",-0.05561294203563204,9,speech,Governor Laurence H. Meyer,UST,22,135,1 Yr,y_bl,-0.017748872839184766
"(1998, 1)",-0.05561294203563204,9,speech,Chairman Alan Greenspan,UST,22,14,1 Yr,y_probe,0.012136377846707649
"(1998, 1)",-0.05561294203563204,9,speech,Governor Laurence H. Meyer,UST,22,135,1 Yr,y_probe,0.025038041657740227
"(1998, 2)",0.00884694492082927,9,meeting minutes,,UST,22,85,1 Yr,y_bl,-0.017745329650686013
"(1998, 2)",0.00884694492082927,9,meeting minutes,,UST,22,85,1 Yr,y_probe,-0.0005954580504555266
"(1998, 3)",0.01993631462488802,9,meeting minutes,,UST,22,84,1 Yr,y_bl,0.0020647724941922707
"(1998, 3)",0.01993631462488802,9,speech,Governor Laurence H. Meyer,UST,22,176,1 Yr,y_bl,0.0020647724941922707
"(1998, 3)",0.01993631462488802,9,meeting minutes,,UST,22,84,1 Yr,y_probe,0.004921275079764194
"(1998, 3)",0.01993631462488802,9,speech,Governor Laurence H. Meyer,UST,22,176,1 Yr,y_probe,0.02891894961905163
"(1998, 4)",-0.0048374651621134745,9,speech,Governor Laurence H. Meyer,UST,22,67,1 Yr,y_bl,0.05679035357456746
"(1998, 4)",-0.0048374651621134745,9,speech,Governor Laurence H. Meyer,UST,22,67,1 Yr,y_probe,0.026639358289599294
"(1998, 5)",0.02226437049739971,9,meeting minutes,,UST,22,94,1 Yr,y_bl,-0.013621781306343457
"(1998, 5)",0.02226437049739971,9,meeting minutes,,UST,22,94,1 Yr,y_probe,0.011916177512315452
"(1998, 6)",-0.012927234501458162,9,meeting minutes,,UST,22,111,1 Yr,y_bl,0.0028341104979866744
"(1998, 6)",-0.012927234501458162,9,meeting minutes,,UST,22,111,1 Yr,y_probe,0.006210523268324492
"(1998, 7)",-0.009337135995939327,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,81,1 Yr,y_bl,-0.07479363006148783
"(1998, 7)",-0.009337135995939327,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,81,1 Yr,y_probe,0.027442958686300423
"(1998, 8)",-0.013220211428133899,9,meeting minutes,,UST,22,81,1 Yr,y_bl,0.0046193549990885
"(1998, 8)",-0.013220211428133899,9,meeting minutes,,UST,22,81,1 Yr,y_probe,0.007464197149713079
"(1998, 9)",-0.1494090872546749,9,meeting minutes,,UST,22,80,1 Yr,y_bl,0.006840961486096897
"(1998, 9)",-0.1494090872546749,9,meeting minutes,,UST,22,80,1 Yr,y_probe,-0.013594259890740446
"(1998, 10)",-0.08041069295827613,9,speech,Governor Laurence H. Meyer,UST,22,100,1 Yr,y_bl,0.013530782742479383
"(1998, 10)",-0.08041069295827613,9,speech,Governor Laurence H. Meyer,UST,22,100,1 Yr,y_probe,0.012961623787729226
"(1998, 11)",0.0782007473074735,9,meeting minutes,,UST,22,82,1 Yr,y_bl,-0.009896243366187227
"(1998, 11)",0.0782007473074735,9,meeting minutes,,UST,22,82,1 Yr,y_probe,-0.006211962301052905
"(1998, 12)",0.008810629682155513,9,meeting minutes,,UST,22,72,1 Yr,y_bl,-0.012292308344279329
"(1998, 12)",0.008810629682155513,9,meeting minutes,,UST,22,72,1 Yr,y_probe,-0.0018890308965961806
"(1999, 1)",-0.022173857494322435,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,51,1 Yr,y_bl,-0.030466386789440955
"(1999, 1)",-0.022173857494322435,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,51,1 Yr,y_probe,0.024255764055932688
"(1999, 2)",0.058685934812218635,9,meeting minutes,,UST,22,89,1 Yr,y_bl,-0.010585578098918313
"(1999, 2)",0.058685934812218635,9,speech,Governor Laurence H. Meyer,UST,22,98,1 Yr,y_bl,-0.010585578098918313
"(1999, 2)",0.058685934812218635,9,meeting minutes,,UST,22,89,1 Yr,y_probe,0.01273317738988705
"(1999, 2)",0.058685934812218635,9,speech,Governor Laurence H. Meyer,UST,22,98,1 Yr,y_probe,0.021756976522325375
"(1999, 3)",-0.0024329122630024624,9,meeting minutes,,UST,22,80,1 Yr,y_bl,0.016494467336561885
"(1999, 3)",-0.0024329122630024624,9,meeting minutes,,UST,22,80,1 Yr,y_probe,0.011590613742353633
"(1999, 4)",-0.014941579998200671,9,speech,Governor Laurence H. Meyer,UST,22,99,1 Yr,y_bl,-0.010244150561427807
"(1999, 4)",-0.014941579998200671,9,speech,Governor Laurence H. Meyer,UST,22,99,1 Yr,y_probe,0.00665896011724123
"(1999, 5)",0.04368272319907464,9,meeting minutes,,UST,22,72,1 Yr,y_bl,-0.0015362853144449788
"(1999, 5)",0.04368272319907464,9,speech,Vice Chair Alice M. Rivlin,UST,22,41,1 Yr,y_bl,-0.0015362853144449788
"(1999, 5)",0.04368272319907464,9,meeting minutes,,UST,22,72,1 Yr,y_probe,0.020532290039274606
"(1999, 5)",0.04368272319907464,9,speech,Vice Chair Alice M. Rivlin,UST,22,41,1 Yr,y_probe,0.0194740602864283
"(1999, 6)",0.059591271046068976,9,meeting minutes,,UST,22,112,1 Yr,y_bl,-0.026652353894100953
"(1999, 6)",0.059591271046068976,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,56,1 Yr,y_bl,-0.026652353894100953
"(1999, 6)",0.059591271046068976,9,meeting minutes,,UST,22,112,1 Yr,y_probe,0.017947985049319763
"(1999, 6)",0.059591271046068976,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,56,1 Yr,y_probe,0.029998424505153515
"(1999, 8)",0.007446138333835049,9,meeting minutes,,UST,22,82,1 Yr,y_bl,0.029871699444141468
"(1999, 8)",0.007446138333835049,9,speech,Chairman Alan Greenspan,UST,22,28,1 Yr,y_bl,0.029871699444141468
"(1999, 8)",0.007446138333835049,9,meeting minutes,,UST,22,82,1 Yr,y_probe,0.011455143230063606
"(1999, 8)",0.007446138333835049,9,speech,Chairman Alan Greenspan,UST,22,28,1 Yr,y_probe,0.020178698156132276
"(1999, 9)",0.016510636747734682,9,speech,Governor Laurence H. Meyer,UST,22,135,1 Yr,y_bl,-0.02817207232299729
"(1999, 9)",0.016510636747734682,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,79,1 Yr,y_bl,-0.02817207232299729
"(1999, 9)",0.016510636747734682,9,speech,Governor Laurence H. Meyer,UST,22,135,1 Yr,y_probe,0.021685500742705727
"(1999, 9)",0.016510636747734682,9,speech,"Governor Roger W. Ferguson, Jr.",UST,22,79,1 Yr,y_probe,0.00816654432647361
"(1999, 10)",0.019440247718804957,9,meeting minutes,,UST,22,76,1 Yr,y_bl,-0.006085331427152133
"(1999, 10)",0.019440247718804957,9,speech,Chairman Alan Greenspan,UST,22,53,1 Yr,y_bl,-0.006085331427152133
"(1999, 10)",0.019440247718804957,9,speech,Governor Laurence H. Meyer,UST,22,229,1 Yr,y_bl,-0.006085331427152133
"(1999, 10)",0.019440247718804957,9,meeting minutes,,UST,22,76,1 Yr,y_probe,0.011281402981615002
"(1999, 10)",0.019440247718804957,9,speech,Chairman Alan Greenspan,UST,22,53,1 Yr,y_probe,0.021667023988519024
"(1999, 10)",0.019440247718804957,9,speech,Governor Laurence H. Meyer,UST,22,229,1 Yr,y_probe,0.002909420526056616
"(1999, 11)",0.026782170236214684,9,meeting minutes,,UST,22,79,1 Yr,y_bl,0.05350177937785232
"(1999, 11)",0.026782170236214684,9,speech,Chairman Alan Greenspan,UST,22,23,1 Yr,y_bl,0.05350177937785232
"(1999, 11)",0.026782170236214684,9,meeting minutes,,UST,22,79,1 Yr,y_probe,0.020483536317231134
