ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,4,meeting minutes,,CPI,7,106,,y_bl,0.002263100514325702
"(1996, 1)",0.0,4,meeting minutes,,CPI,7,106,,y_probe,0.0023299163643448403
"(1996, 3)",0.005157974040266744,4,meeting minutes,,CPI,7,77,,y_bl,0.002263100514325702
"(1996, 3)",0.005157974040266744,4,meeting minutes,,CPI,7,77,,y_probe,0.0024483849283422326
"(1996, 5)",0.005771096491922201,4,meeting minutes,,CPI,7,88,,y_bl,0.0035066217224723104
"(1996, 5)",0.005771096491922201,4,meeting minutes,,CPI,7,88,,y_probe,0.002385641634389772
"(1996, 7)",0.0038289772370987407,4,meeting minutes,,CPI,7,124,,y_bl,0.003611530575913058
"(1996, 7)",0.0038289772370987407,4,meeting minutes,,CPI,7,124,,y_probe,0.0024283889583363444
"(1996, 8)",0.0012730746467983778,4,meeting minutes,,CPI,7,75,,y_bl,0.0032412236437553217
"(1996, 8)",0.0012730746467983778,4,meeting minutes,,CPI,7,75,,y_probe,0.0024439630108235703
"(1996, 9)",0.0031756139738856604,4,meeting minutes,,CPI,7,91,,y_bl,0.0018522518444405397
"(1996, 9)",0.0031756139738856604,4,speech,Governor Laurence H. Meyer,CPI,7,76,,y_bl,0.0018522518444405397
"(1996, 9)",0.0031756139738856604,4,meeting minutes,,CPI,7,91,,y_probe,0.002493247880667414
"(1996, 9)",0.0031756139738856604,4,speech,Governor Laurence H. Meyer,CPI,7,76,,y_probe,0.0029709326491395966
"(1996, 10)",0.003165561364558478,4,speech,Chairman Alan Greenspan,CPI,7,20,,y_bl,0.0019505134439414538
"(1996, 10)",0.003165561364558478,4,speech,Chairman Alan Greenspan,CPI,7,20,,y_probe,0.0029429755873854498
"(1996, 11)",0.0031555721988105745,4,meeting minutes,,CPI,7,82,,y_bl,0.002198168725220414
"(1996, 11)",0.0031555721988105745,4,meeting minutes,,CPI,7,82,,y_probe,0.002471926352569486
"(1996, 12)",0.00251730781137649,4,meeting minutes,,CPI,7,67,,y_bl,0.00242813014302151
"(1996, 12)",0.00251730781137649,4,meeting minutes,,CPI,7,67,,y_probe,0.002225298104513705
"(1997, 1)",0.0018838310123721058,4,speech,Governor Laurence H. Meyer,CPI,7,11,,y_bl,0.000950020675401778
"(1997, 1)",0.0018838310123721058,4,speech,Governor Laurence H. Meyer,CPI,7,11,,y_probe,0.002907145323631857
"(1997, 2)",0.00188028886485192,4,meeting minutes,,CPI,7,82,,y_bl,0.002709419426366417
"(1997, 2)",0.00188028886485192,4,meeting minutes,,CPI,7,82,,y_probe,0.0021905093457910163
"(1997, 3)",0.000625978111206571,4,meeting minutes,,CPI,7,77,,y_bl,0.002265234084850869
"(1997, 3)",0.000625978111206571,4,meeting minutes,,CPI,7,77,,y_probe,0.0023069811225870183
"(1997, 4)",0.000625586507735143,4,speech,Governor Laurence H. Meyer,CPI,7,168,,y_bl,0.0027978529758747863
"(1997, 4)",0.000625586507735143,4,speech,Governor Laurence H. Meyer,CPI,7,168,,y_probe,0.0026471023382958507
"(1997, 5)",-2.6645352591003757e-15,4,meeting minutes,,CPI,7,85,,y_bl,0.0019585008348109198
"(1997, 5)",-2.6645352591003757e-15,4,speech,Chairman Alan Greenspan,CPI,7,61,,y_bl,0.0019585008348109198
"(1997, 5)",-2.6645352591003757e-15,4,meeting minutes,,CPI,7,85,,y_probe,0.002282061680423884
"(1997, 5)",-2.6645352591003757e-15,4,speech,Chairman Alan Greenspan,CPI,7,61,,y_probe,0.0026829423034727628
"(1997, 7)",0.0031220755925041033,4,meeting minutes,,CPI,7,116,,y_bl,0.0019044376038938407
"(1997, 7)",0.0031220755925041033,4,meeting minutes,,CPI,7,116,,y_probe,0.0023606540328652195
"(1997, 8)",0.002490661312451792,4,meeting minutes,,CPI,7,74,,y_bl,0.0027362332761304386
"(1997, 8)",0.002490661312451792,4,meeting minutes,,CPI,7,74,,y_probe,0.002252263679771978
"(1997, 9)",0.0024844733276623288,4,meeting minutes,,CPI,7,72,,y_bl,0.0027403637788235465
"(1997, 9)",0.0024844733276623288,4,speech,Chairman Alan Greenspan,CPI,7,83,,y_bl,0.0027403637788235465
"(1997, 9)",0.0024844733276623288,4,speech,Governor Laurence H. Meyer,CPI,7,127,,y_bl,0.0027403637788235465
"(1997, 9)",0.0024844733276623288,4,meeting minutes,,CPI,7,72,,y_probe,0.0023781088379988486
"(1997, 9)",0.0024844733276623288,4,speech,Chairman Alan Greenspan,CPI,7,83,,y_probe,0.0026737227227257034
"(1997, 9)",0.0024844733276623288,4,speech,Governor Laurence H. Meyer,CPI,7,127,,y_probe,0.0029380007430216642
"(1997, 10)",0.001859312590186235,4,speech,Governor Laurence H. Meyer,CPI,7,135,,y_bl,0.0018631093408868157
"(1997, 10)",0.001859312590186235,4,speech,Governor Laurence H. Meyer,CPI,7,135,,y_probe,0.002443319150519916
"(1997, 11)",0.0012376239203497619,4,meeting minutes,,CPI,7,76,,y_bl,0.0029037093519955603
"(1997, 11)",0.0012376239203497619,4,speech,Chairman Alan Greenspan,CPI,7,83,,y_bl,0.0029037093519955603
"(1997, 11)",0.0012376239203497619,4,meeting minutes,,CPI,7,76,,y_probe,0.002156407076610048
"(1997, 11)",0.0012376239203497619,4,speech,Chairman Alan Greenspan,CPI,7,83,,y_probe,0.0025504911704416658
"(1997, 12)",0.0006182380413273236,4,meeting minutes,,CPI,7,73,,y_bl,0.002105605591834935
"(1997, 12)",0.0006182380413273236,4,speech,Chairman Alan Greenspan,CPI,7,39,,y_bl,0.002105605591834935
"(1997, 12)",0.0006182380413273236,4,meeting minutes,,CPI,7,73,,y_probe,0.0020719974386682882
"(1997, 12)",0.0006182380413273236,4,speech,Chairman Alan Greenspan,CPI,7,39,,y_probe,0.002202778905239048
"(1998, 1)",0.0012353306079946336,4,speech,Chairman Alan Greenspan,CPI,7,94,,y_bl,0.0022520760880452326
"(1998, 1)",0.0012353306079946336,4,speech,Governor Laurence H. Meyer,CPI,7,135,,y_bl,0.0022520760880452326
"(1998, 1)",0.0012353306079946336,4,speech,Chairman Alan Greenspan,CPI,7,94,,y_probe,0.0025634483571952914
"(1998, 1)",0.0012353306079946336,4,speech,Governor Laurence H. Meyer,CPI,7,135,,y_probe,0.002970421588974825
"(1998, 2)",0.0,4,meeting minutes,,CPI,7,85,,y_bl,0.0020646043308918394
"(1998, 2)",0.0,4,meeting minutes,,CPI,7,85,,y_probe,0.0022398378170193937
"(1998, 3)",0.0,4,meeting minutes,,CPI,7,84,,y_bl,0.0018967670093980246
"(1998, 3)",0.0,4,speech,Governor Laurence H. Meyer,CPI,7,176,,y_bl,0.0018967670093980246
"(1998, 3)",0.0,4,meeting minutes,,CPI,7,84,,y_probe,0.0023684105871785784
"(1998, 3)",0.0,4,speech,Governor Laurence H. Meyer,CPI,7,176,,y_probe,0.0024487716591964914
"(1998, 4)",0.001233806448929009,4,speech,Governor Laurence H. Meyer,CPI,7,67,,y_bl,0.0022653384451016565
"(1998, 4)",0.001233806448929009,4,speech,Governor Laurence H. Meyer,CPI,7,67,,y_probe,0.002749602641483141
"(1998, 5)",0.002463055432397887,4,meeting minutes,,CPI,7,94,,y_bl,0.002083210222753547
"(1998, 5)",0.002463055432397887,4,meeting minutes,,CPI,7,94,,y_probe,0.002370819822071895
"(1998, 6)",0.001229256454728933,4,meeting minutes,,CPI,7,111,,y_bl,0.0027608818799972883
"(1998, 6)",0.001229256454728933,4,meeting minutes,,CPI,7,111,,y_probe,0.002248028141324247
"(1998, 7)",0.002453988961568676,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,7,81,,y_bl,0.0024902417036554818
"(1998, 7)",0.002453988961568676,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,7,81,,y_probe,0.002782819642246445
"(1998, 8)",0.0012247398958944444,4,meeting minutes,,CPI,7,81,,y_bl,0.0025389692822692118
"(1998, 8)",0.0012247398958944444,4,meeting minutes,,CPI,7,81,,y_probe,0.002503045727954233
"(1998, 9)",0.0006118079114072472,4,meeting minutes,,CPI,7,80,,y_bl,0.0025973352015059886
"(1998, 9)",0.0006118079114072472,4,meeting minutes,,CPI,7,80,,y_probe,0.00203368084384954
"(1998, 10)",0.0024434954124759045,4,speech,Governor Laurence H. Meyer,CPI,7,100,,y_bl,0.002580330636417727
"(1998, 10)",0.0024434954124759045,4,speech,Governor Laurence H. Meyer,CPI,7,100,,y_probe,0.002669141096490428
"(1998, 11)",0.001219512346263052,4,meeting minutes,,CPI,7,82,,y_bl,0.0020423804716375314
"(1998, 11)",0.001219512346263052,4,meeting minutes,,CPI,7,82,,y_probe,0.0021449910900677785
"(1998, 12)",0.0018264845260338447,4,meeting minutes,,CPI,7,72,,y_bl,0.002385542141781394
"(1998, 12)",0.0018264845260338447,4,meeting minutes,,CPI,7,72,,y_probe,0.002307497300203441
"(1999, 1)",0.0018231545615163824,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,7,51,,y_bl,0.0026645419532930646
"(1999, 1)",0.0018231545615163824,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,7,51,,y_probe,0.002810221224401822
"(1999, 2)",8.881784197001252e-16,4,meeting minutes,,CPI,7,89,,y_bl,0.002515280354664012
"(1999, 2)",8.881784197001252e-16,4,speech,Governor Laurence H. Meyer,CPI,7,98,,y_bl,0.002515280354664012
"(1999, 2)",8.881784197001252e-16,4,meeting minutes,,CPI,7,89,,y_probe,0.0021119175862088857
"(1999, 2)",8.881784197001252e-16,4,speech,Governor Laurence H. Meyer,CPI,7,98,,y_probe,0.0026524572503199167
"(1999, 3)",0.0006069802917743061,4,meeting minutes,,CPI,7,80,,y_bl,0.0021772315879859147
"(1999, 3)",0.0006069802917743061,4,meeting minutes,,CPI,7,80,,y_probe,0.0024040099924058614
"(1999, 4)",0.006652579721029284,4,speech,Governor Laurence H. Meyer,CPI,7,99,,y_bl,0.0025396788714279065
