ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,4,meeting minutes,,CPI,4,106,,y_bl,0.002263100514325702
"(1996, 1)",0.0,4,meeting minutes,,CPI,4,106,,y_probe,0.0023824365401475846
"(1996, 3)",0.005157974040266744,4,meeting minutes,,CPI,4,77,,y_bl,0.002263100514325702
"(1996, 3)",0.005157974040266744,4,meeting minutes,,CPI,4,77,,y_probe,0.002412481870428202
"(1996, 5)",0.005771096491922201,4,meeting minutes,,CPI,4,88,,y_bl,0.0035066217224723104
"(1996, 5)",0.005771096491922201,4,meeting minutes,,CPI,4,88,,y_probe,0.002513834687725217
"(1996, 7)",0.0038289772370987407,4,meeting minutes,,CPI,4,124,,y_bl,0.003611530575913058
"(1996, 7)",0.0038289772370987407,4,meeting minutes,,CPI,4,124,,y_probe,0.0024776425641396625
"(1996, 8)",0.0012730746467983778,4,meeting minutes,,CPI,4,75,,y_bl,0.0032412236437553217
"(1996, 8)",0.0012730746467983778,4,meeting minutes,,CPI,4,75,,y_probe,0.002421869986980875
"(1996, 9)",0.0031756139738856604,4,meeting minutes,,CPI,4,91,,y_bl,0.0018522518444405397
"(1996, 9)",0.0031756139738856604,4,speech,Governor Laurence H. Meyer,CPI,4,76,,y_bl,0.0018522518444405397
"(1996, 9)",0.0031756139738856604,4,meeting minutes,,CPI,4,91,,y_probe,0.0025328384627432638
"(1996, 9)",0.0031756139738856604,4,speech,Governor Laurence H. Meyer,CPI,4,76,,y_probe,0.002887121000609837
"(1996, 10)",0.003165561364558478,4,speech,Chairman Alan Greenspan,CPI,4,20,,y_bl,0.0019505134439414538
"(1996, 10)",0.003165561364558478,4,speech,Chairman Alan Greenspan,CPI,4,20,,y_probe,0.002932620059826634
"(1996, 11)",0.0031555721988105745,4,meeting minutes,,CPI,4,82,,y_bl,0.002198168725220414
"(1996, 11)",0.0031555721988105745,4,meeting minutes,,CPI,4,82,,y_probe,0.002352863859802435
"(1996, 12)",0.00251730781137649,4,meeting minutes,,CPI,4,67,,y_bl,0.00242813014302151
"(1996, 12)",0.00251730781137649,4,meeting minutes,,CPI,4,67,,y_probe,0.002374803830584995
"(1997, 1)",0.0018838310123721058,4,speech,Governor Laurence H. Meyer,CPI,4,11,,y_bl,0.000950020675401778
"(1997, 1)",0.0018838310123721058,4,speech,Governor Laurence H. Meyer,CPI,4,11,,y_probe,0.0027093816729133937
"(1997, 2)",0.00188028886485192,4,meeting minutes,,CPI,4,82,,y_bl,0.002709419426366417
"(1997, 2)",0.00188028886485192,4,meeting minutes,,CPI,4,82,,y_probe,0.002414535463901383
"(1997, 3)",0.000625978111206571,4,meeting minutes,,CPI,4,77,,y_bl,0.002265234084850869
"(1997, 3)",0.000625978111206571,4,meeting minutes,,CPI,4,77,,y_probe,0.0024029646264128236
"(1997, 4)",0.000625586507735143,4,speech,Governor Laurence H. Meyer,CPI,4,168,,y_bl,0.0027978529758747863
"(1997, 4)",0.000625586507735143,4,speech,Governor Laurence H. Meyer,CPI,4,168,,y_probe,0.0027698469240453032
"(1997, 5)",-2.6645352591003757e-15,4,meeting minutes,,CPI,4,85,,y_bl,0.0019585008348109198
"(1997, 5)",-2.6645352591003757e-15,4,speech,Chairman Alan Greenspan,CPI,4,61,,y_bl,0.0019585008348109198
"(1997, 5)",-2.6645352591003757e-15,4,meeting minutes,,CPI,4,85,,y_probe,0.0023576707305314254
"(1997, 5)",-2.6645352591003757e-15,4,speech,Chairman Alan Greenspan,CPI,4,61,,y_probe,0.002872597104242375
"(1997, 7)",0.0031220755925041033,4,meeting minutes,,CPI,4,116,,y_bl,0.0019044376038938407
"(1997, 7)",0.0031220755925041033,4,meeting minutes,,CPI,4,116,,y_probe,0.002317198110930493
"(1997, 8)",0.002490661312451792,4,meeting minutes,,CPI,4,74,,y_bl,0.0027362332761304386
"(1997, 8)",0.002490661312451792,4,meeting minutes,,CPI,4,74,,y_probe,0.002398064025285661
"(1997, 9)",0.0024844733276623288,4,meeting minutes,,CPI,4,72,,y_bl,0.0027403637788235465
"(1997, 9)",0.0024844733276623288,4,speech,Chairman Alan Greenspan,CPI,4,83,,y_bl,0.0027403637788235465
"(1997, 9)",0.0024844733276623288,4,speech,Governor Laurence H. Meyer,CPI,4,127,,y_bl,0.0027403637788235465
"(1997, 9)",0.0024844733276623288,4,meeting minutes,,CPI,4,72,,y_probe,0.002448241948586829
"(1997, 9)",0.0024844733276623288,4,speech,Chairman Alan Greenspan,CPI,4,83,,y_probe,0.002642158531593457
"(1997, 9)",0.0024844733276623288,4,speech,Governor Laurence H. Meyer,CPI,4,127,,y_probe,0.0030051597282516867
"(1997, 10)",0.001859312590186235,4,speech,Governor Laurence H. Meyer,CPI,4,135,,y_bl,0.0018631093408868157
"(1997, 10)",0.001859312590186235,4,speech,Governor Laurence H. Meyer,CPI,4,135,,y_probe,0.0024756092412407506
"(1997, 11)",0.0012376239203497619,4,meeting minutes,,CPI,4,76,,y_bl,0.0029037093519955603
"(1997, 11)",0.0012376239203497619,4,speech,Chairman Alan Greenspan,CPI,4,83,,y_bl,0.0029037093519955603
"(1997, 11)",0.0012376239203497619,4,meeting minutes,,CPI,4,76,,y_probe,0.002288229351161559
"(1997, 11)",0.0012376239203497619,4,speech,Chairman Alan Greenspan,CPI,4,83,,y_probe,0.0026165079642192167
"(1997, 12)",0.0006182380413273236,4,meeting minutes,,CPI,4,73,,y_bl,0.002105605591834935
"(1997, 12)",0.0006182380413273236,4,speech,Chairman Alan Greenspan,CPI,4,39,,y_bl,0.002105605591834935
"(1997, 12)",0.0006182380413273236,4,meeting minutes,,CPI,4,73,,y_probe,0.002242146677313411
"(1997, 12)",0.0006182380413273236,4,speech,Chairman Alan Greenspan,CPI,4,39,,y_probe,0.0025036356415634783
"(1998, 1)",0.0012353306079946336,4,speech,Chairman Alan Greenspan,CPI,4,94,,y_bl,0.0022520760880452326
"(1998, 1)",0.0012353306079946336,4,speech,Governor Laurence H. Meyer,CPI,4,135,,y_bl,0.0022520760880452326
"(1998, 1)",0.0012353306079946336,4,speech,Chairman Alan Greenspan,CPI,4,94,,y_probe,0.0025159053418092017
"(1998, 1)",0.0012353306079946336,4,speech,Governor Laurence H. Meyer,CPI,4,135,,y_probe,0.002854082922358989
"(1998, 2)",0.0,4,meeting minutes,,CPI,4,85,,y_bl,0.0020646043308918394
"(1998, 2)",0.0,4,meeting minutes,,CPI,4,85,,y_probe,0.002329089651581707
"(1998, 3)",0.0,4,meeting minutes,,CPI,4,84,,y_bl,0.0018967670093980246
"(1998, 3)",0.0,4,speech,Governor Laurence H. Meyer,CPI,4,176,,y_bl,0.0018967670093980246
"(1998, 3)",0.0,4,meeting minutes,,CPI,4,84,,y_probe,0.0024343507836491543
"(1998, 3)",0.0,4,speech,Governor Laurence H. Meyer,CPI,4,176,,y_probe,0.002608672450623714
"(1998, 4)",0.001233806448929009,4,speech,Governor Laurence H. Meyer,CPI,4,67,,y_bl,0.0022653384451016565
"(1998, 4)",0.001233806448929009,4,speech,Governor Laurence H. Meyer,CPI,4,67,,y_probe,0.0028100346535476816
"(1998, 5)",0.002463055432397887,4,meeting minutes,,CPI,4,94,,y_bl,0.002083210222753547
"(1998, 5)",0.002463055432397887,4,meeting minutes,,CPI,4,94,,y_probe,0.0023527551903062684
"(1998, 6)",0.001229256454728933,4,meeting minutes,,CPI,4,111,,y_bl,0.0027608818799972883
"(1998, 6)",0.001229256454728933,4,meeting minutes,,CPI,4,111,,y_probe,0.002420544196121404
"(1998, 7)",0.002453988961568676,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,4,81,,y_bl,0.0024902417036554818
"(1998, 7)",0.002453988961568676,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,4,81,,y_probe,0.0028934121933457983
"(1998, 8)",0.0012247398958944444,4,meeting minutes,,CPI,4,81,,y_bl,0.0025389692822692118
"(1998, 8)",0.0012247398958944444,4,meeting minutes,,CPI,4,81,,y_probe,0.0023638957474530135
"(1998, 9)",0.0006118079114072472,4,meeting minutes,,CPI,4,80,,y_bl,0.0025973352015059886
"(1998, 9)",0.0006118079114072472,4,meeting minutes,,CPI,4,80,,y_probe,0.0022606397474982448
"(1998, 10)",0.0024434954124759045,4,speech,Governor Laurence H. Meyer,CPI,4,100,,y_bl,0.002580330636417727
"(1998, 10)",0.0024434954124759045,4,speech,Governor Laurence H. Meyer,CPI,4,100,,y_probe,0.0026077242456901597
"(1998, 11)",0.001219512346263052,4,meeting minutes,,CPI,4,82,,y_bl,0.0020423804716375314
"(1998, 11)",0.001219512346263052,4,meeting minutes,,CPI,4,82,,y_probe,0.0022885841578826993
"(1998, 12)",0.0018264845260338447,4,meeting minutes,,CPI,4,72,,y_bl,0.002385542141781394
"(1998, 12)",0.0018264845260338447,4,meeting minutes,,CPI,4,72,,y_probe,0.002313184863130916
"(1999, 1)",0.0018231545615163824,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,4,51,,y_bl,0.0026645419532930646
"(1999, 1)",0.0018231545615163824,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,4,51,,y_probe,0.0028149402545351466
"(1999, 2)",8.881784197001252e-16,4,meeting minutes,,CPI,4,89,,y_bl,0.002515280354664012
"(1999, 2)",8.881784197001252e-16,4,speech,Governor Laurence H. Meyer,CPI,4,98,,y_bl,0.002515280354664012
"(1999, 2)",8.881784197001252e-16,4,meeting minutes,,CPI,4,89,,y_probe,0.002212486865732495
"(1999, 2)",8.881784197001252e-16,4,speech,Governor Laurence H. Meyer,CPI,4,98,,y_probe,0.0028429792324669322
"(1999, 3)",0.0006069802917743061,4,meeting minutes,,CPI,4,80,,y_bl,0.0021772315879859147
"(1999, 3)",0.0006069802917743061,4,meeting minutes,,CPI,4,80,,y_probe,0.002421309509262098
"(1999, 4)",0.006652579721029284,4,speech,Governor Laurence H. Meyer,CPI,4,99,,y_bl,0.0025396788714279065
"(1999, 4)",0.006652579721029284,4,speech,Governor Laurence H. Meyer,CPI,4,99,,y_probe,0.0027690820099900266
"(1999, 5)",0.0006025911601463818,4,meeting minutes,,CPI,4,72,,y_bl,0.0022564892992589566
"(1999, 5)",0.0006025911601463818,4,speech,Vice Chair Alice M. Rivlin,CPI,4,41,,y_bl,0.0022564892992589566
"(1999, 5)",0.0006025911601463818,4,meeting minutes,,CPI,4,72,,y_probe,0.0025697080976359284
"(1999, 5)",0.0006025911601463818,4,speech,Vice Chair Alice M. Rivlin,CPI,4,41,,y_probe,0.0029812473751800977
"(1999, 6)",0.0,4,meeting minutes,,CPI,4,112,,y_bl,0.002119624245727951
"(1999, 6)",0.0,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,4,56,,y_bl,0.002119624245727951
"(1999, 6)",0.0,4,meeting minutes,,CPI,4,112,,y_probe,0.002458641896265238
"(1999, 6)",0.0,4,speech,"Governor Roger W. Ferguson, Jr.",CPI,4,56,,y_probe,0.0028459210994577866
