ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,7,106,,128,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,7,106,,128,y_probe,0.0021349868893457864
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,7,77,,128,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,7,77,,128,y_probe,0.0021834696705214417
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,7,88,,128,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,7,88,,128,y_probe,0.002223152525423473
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,7,124,,128,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,7,124,,128,y_probe,0.0022166621972713623
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,7,75,,128,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,7,75,,128,y_probe,0.0021988681394963334
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,7,91,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,7,76,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,7,91,,128,y_probe,0.0022439012902958585
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,7,76,,128,y_probe,0.0024545281640057544
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,7,20,,128,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,7,20,,128,y_probe,0.0025521500467418617
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,7,82,,128,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,7,82,,128,y_probe,0.0021576067073466494
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,7,67,,128,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,7,67,,128,y_probe,0.0021649668294456237
