ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,17,106,,128,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,17,106,,128,y_probe,0.0020804499303235103
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,17,77,,128,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,17,77,,128,y_probe,0.002261321934388499
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,17,88,,128,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,17,88,,128,y_probe,0.00238698314316684
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,17,124,,128,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,17,124,,128,y_probe,0.0022517965784153546
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,17,75,,128,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,17,75,,128,y_probe,0.0022461296279048673
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,17,91,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,76,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,17,91,,128,y_probe,0.0023229341575435047
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,76,,128,y_probe,0.0024481563779010537
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,17,20,,128,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,17,20,,128,y_probe,0.002453904147469199
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,17,82,,128,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,17,82,,128,y_probe,0.0021985828576304494
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,17,67,,128,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,17,67,,128,y_probe,0.002257107133507875
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,11,,128,y_bl,0.001944447418225399
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,11,,128,y_probe,0.002227787787991995
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,17,82,,128,y_bl,0.0018650880983529224
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,17,82,,128,y_probe,0.0023217958376068664
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,17,77,,128,y_bl,0.0019342664469848214
"(1997, 3)",0.000625978111206571,train,4,1,meeting minutes,,CPI,17,77,,128,y_probe,0.0023273747543537974
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,168,,128,y_bl,0.0017681049300991034
"(1997, 4)",0.000625586507735143,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,168,,128,y_probe,0.0024296319041072385
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,17,85,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,17,61,,128,y_bl,0.00208690035768782
"(1997, 5)",-2.6645352591003757e-15,train,4,1,meeting minutes,,CPI,17,85,,128,y_probe,0.0023530432397363362
"(1997, 5)",-2.6645352591003757e-15,train,4,1,speech,Chairman Alan Greenspan,CPI,17,61,,128,y_probe,0.00231274391316845
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,17,116,,128,y_bl,0.0019062534739715646
"(1997, 7)",0.0031220755925041033,train,4,1,meeting minutes,,CPI,17,116,,128,y_probe,0.002263570449466329
"(1997, 8)",0.002490661312451792,train,4,1,meeting minutes,,CPI,17,74,,128,y_bl,0.003101133539671327
"(1997, 8)",0.002490661312451792,train,4,1,meeting minutes,,CPI,17,74,,128,y_probe,0.002281785040404296
"(1997, 9)",0.0024844733276623288,train,4,1,meeting minutes,,CPI,17,72,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Chairman Alan Greenspan,CPI,17,83,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,127,,128,y_bl,0.0025405339244907402
"(1997, 9)",0.0024844733276623288,train,4,1,meeting minutes,,CPI,17,72,,128,y_probe,0.00230329244480714
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Chairman Alan Greenspan,CPI,17,83,,128,y_probe,0.002349335181060717
"(1997, 9)",0.0024844733276623288,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,127,,128,y_probe,0.002526094412052748
"(1997, 10)",0.001859312590186235,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,135,,128,y_bl,0.0028339746933919562
"(1997, 10)",0.001859312590186235,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,135,,128,y_probe,0.0022160121554359344
"(1997, 11)",0.0012376239203497619,train,4,1,meeting minutes,,CPI,17,76,,128,y_bl,0.0018622542064231737
"(1997, 11)",0.0012376239203497619,train,4,1,speech,Chairman Alan Greenspan,CPI,17,83,,128,y_bl,0.0018622542064231737
"(1997, 11)",0.0012376239203497619,train,4,1,meeting minutes,,CPI,17,76,,128,y_probe,0.002336960377121286
"(1997, 11)",0.0012376239203497619,train,4,1,speech,Chairman Alan Greenspan,CPI,17,83,,128,y_probe,0.002336741179079804
"(1997, 12)",0.0006182380413273236,train,4,1,meeting minutes,,CPI,17,73,,128,y_bl,0.0019439666978312126
"(1997, 12)",0.0006182380413273236,train,4,1,speech,Chairman Alan Greenspan,CPI,17,39,,128,y_bl,0.0019439666978312126
"(1997, 12)",0.0006182380413273236,train,4,1,meeting minutes,,CPI,17,73,,128,y_probe,0.0021815343257633527
"(1997, 12)",0.0006182380413273236,train,4,1,speech,Chairman Alan Greenspan,CPI,17,39,,128,y_probe,0.002194046271807779
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Chairman Alan Greenspan,CPI,17,94,,128,y_bl,0.0018541699243957883
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,135,,128,y_bl,0.0018541699243957883
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Chairman Alan Greenspan,CPI,17,94,,128,y_probe,0.0022800384970195313
"(1998, 1)",0.0012353306079946336,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,135,,128,y_probe,0.0024981198514260855
"(1998, 2)",0.0,train,4,1,meeting minutes,,CPI,17,85,,128,y_bl,0.0022379175070756548
"(1998, 2)",0.0,train,4,1,meeting minutes,,CPI,17,85,,128,y_probe,0.0021738838298550446
"(1998, 3)",0.0,train,4,1,meeting minutes,,CPI,17,84,,128,y_bl,0.001995286970042721
"(1998, 3)",0.0,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,176,,128,y_bl,0.001995286970042721
"(1998, 3)",0.0,train,4,1,meeting minutes,,CPI,17,84,,128,y_probe,0.0021916244044641662
"(1998, 3)",0.0,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,176,,128,y_probe,0.002274535874255748
"(1998, 4)",0.001233806448929009,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,67,,128,y_bl,0.0023192627154797717
"(1998, 4)",0.001233806448929009,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,67,,128,y_probe,0.002478317789289857
"(1998, 5)",0.002463055432397887,train,4,1,meeting minutes,,CPI,17,94,,128,y_bl,0.002452768604909577
"(1998, 5)",0.002463055432397887,train,4,1,meeting minutes,,CPI,17,94,,128,y_probe,0.002255791384231196
"(1998, 6)",0.001229256454728933,train,4,1,meeting minutes,,CPI,17,111,,128,y_bl,0.0029293904226184845
"(1998, 6)",0.001229256454728933,train,4,1,meeting minutes,,CPI,17,111,,128,y_probe,0.002204255367147773
"(1998, 7)",0.002453988961568676,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,81,,128,y_bl,0.002484231474106653
"(1998, 7)",0.002453988961568676,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,81,,128,y_probe,0.0025178715259497188
"(1998, 8)",0.0012247398958944444,train,4,1,meeting minutes,,CPI,17,81,,128,y_bl,0.0026545802674347117
"(1998, 8)",0.0012247398958944444,train,4,1,meeting minutes,,CPI,17,81,,128,y_probe,0.0021859688472544397
"(1998, 9)",0.0006118079114072472,train,4,1,meeting minutes,,CPI,17,80,,128,y_bl,0.0018513412885245194
"(1998, 9)",0.0006118079114072472,train,4,1,meeting minutes,,CPI,17,80,,128,y_probe,0.001993630463790771
"(1998, 10)",0.0024434954124759045,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,100,,128,y_bl,0.002187219712471025
"(1998, 10)",0.0024434954124759045,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,100,,128,y_probe,0.00227256782927345
"(1998, 11)",0.001219512346263052,train,4,1,meeting minutes,,CPI,17,82,,128,y_bl,0.002393249547862381
"(1998, 11)",0.001219512346263052,train,4,1,meeting minutes,,CPI,17,82,,128,y_probe,0.002107173655501169
"(1998, 12)",0.0018264845260338447,train,4,1,meeting minutes,,CPI,17,72,,128,y_bl,0.0021584478591747504
"(1998, 12)",0.0018264845260338447,train,4,1,meeting minutes,,CPI,17,72,,128,y_probe,0.002139565662166805
"(1999, 1)",0.0018231545615163824,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,51,,128,y_bl,0.0026555116318627736
"(1999, 1)",0.0018231545615163824,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,51,,128,y_probe,0.0024445681280553877
"(1999, 2)",8.881784197001252e-16,train,4,1,meeting minutes,,CPI,17,89,,128,y_bl,0.002086668964446319
"(1999, 2)",8.881784197001252e-16,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,98,,128,y_bl,0.002086668964446319
"(1999, 2)",8.881784197001252e-16,train,4,1,meeting minutes,,CPI,17,89,,128,y_probe,0.0021880972966588706
"(1999, 2)",8.881784197001252e-16,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,98,,128,y_probe,0.0023567262852005042
"(1999, 3)",0.0006069802917743061,train,4,1,meeting minutes,,CPI,17,80,,128,y_bl,0.0019482734380851974
"(1999, 3)",0.0006069802917743061,train,4,1,meeting minutes,,CPI,17,80,,128,y_probe,0.002276608345785198
"(1999, 4)",0.006652579721029284,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,99,,128,y_bl,0.002173837155647038
"(1999, 4)",0.006652579721029284,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,99,,128,y_probe,0.002296516434806857
"(1999, 5)",0.0006025911601463818,train,4,1,meeting minutes,,CPI,17,72,,128,y_bl,0.003605514984042077
"(1999, 5)",0.0006025911601463818,train,4,1,speech,Vice Chair Alice M. Rivlin,CPI,17,41,,128,y_bl,0.003605514984042077
"(1999, 5)",0.0006025911601463818,train,4,1,meeting minutes,,CPI,17,72,,128,y_probe,0.0023509698545034112
"(1999, 5)",0.0006025911601463818,train,4,1,speech,Vice Chair Alice M. Rivlin,CPI,17,41,,128,y_probe,0.0023881099410569995
"(1999, 6)",0.0,train,4,1,meeting minutes,,CPI,17,112,,128,y_bl,0.0017917791390884147
"(1999, 6)",0.0,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,56,,128,y_bl,0.0017917791390884147
"(1999, 6)",0.0,train,4,1,meeting minutes,,CPI,17,112,,128,y_probe,0.0023613363043181114
"(1999, 6)",0.0,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,56,,128,y_probe,0.0025398371737029544
"(1999, 8)",0.0066046472448046956,train,4,1,meeting minutes,,CPI,17,82,,128,y_bl,0.00234368635416773
"(1999, 8)",0.0066046472448046956,train,4,1,speech,Chairman Alan Greenspan,CPI,17,28,,128,y_bl,0.00234368635416773
"(1999, 8)",0.0066046472448046956,train,4,1,meeting minutes,,CPI,17,82,,128,y_probe,0.0023355213415723695
"(1999, 8)",0.0066046472448046956,train,4,1,speech,Chairman Alan Greenspan,CPI,17,28,,128,y_probe,0.0023186387865902756
"(1999, 9)",0.004180358431757902,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,135,,128,y_bl,0.0024389119103616894
"(1999, 9)",0.004180358431757902,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,79,,128,y_bl,0.0024389119103616894
"(1999, 9)",0.004180358431757902,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,135,,128,y_probe,0.0024596658636783565
"(1999, 9)",0.004180358431757902,train,4,1,speech,"Governor Roger W. Ferguson, Jr.",CPI,17,79,,128,y_probe,0.0024516206081334102
"(1999, 10)",0.0017862463814655172,train,4,1,meeting minutes,,CPI,17,76,,128,y_bl,0.002542841410057499
"(1999, 10)",0.0017862463814655172,train,4,1,speech,Chairman Alan Greenspan,CPI,17,53,,128,y_bl,0.002542841410057499
"(1999, 10)",0.0017862463814655172,train,4,1,speech,Governor Laurence H. Meyer,CPI,17,229,,128,y_bl,0.002542841410057499
"(1999, 10)",0.0017862463814655172,train,4,1,meeting minutes,,CPI,17,76,,128,y_probe,0.002371295134832931
