ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,14,106,,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,14,106,,y_probe,0.001006731176242731
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,14,77,,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,14,77,,y_probe,0.0024299958052294043
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,14,88,,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,14,88,,y_probe,0.002747256216136884
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,14,124,,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,14,124,,y_probe,0.0016651195633371606
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,14,75,,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,14,75,,y_probe,0.0014287844495144823
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,14,91,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,14,76,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,14,91,,y_probe,0.0018467843092644693
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,14,76,,y_probe,0.0026210069018921204
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,14,20,,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,14,20,,y_probe,0.0023126213772665157
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,14,82,,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,14,82,,y_probe,0.0014676747723193137
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,14,67,,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,14,67,,y_probe,0.0011669668856300866
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,14,11,,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,14,11,,y_probe,0.0017716517019887024
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,14,82,,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,14,82,,y_probe,0.0013989719975403662
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,14,77,,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,14,77,,y_probe,0.001667882478997459
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,14,168,,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,14,168,,y_probe,0.0028578280646928645
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,14,85,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,14,61,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,14,85,,y_probe,0.002586106699406846
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,14,61,,y_probe,0.0037406943786167514
