ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,9,106,1 Mo,y_bl,-0.03282972550092894
"(1996, 1)",0.0,train,3,1,meeting minutes,,UST,9,106,1 Mo,y_probe,-0.00063525617599402
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,9,77,1 Mo,y_bl,-0.03282972550092894
"(1996, 3)",0.07738666361542093,train,3,1,meeting minutes,,UST,9,77,1 Mo,y_probe,-0.0057143980499868696
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,9,88,1 Mo,y_bl,-0.05366709740432064
"(1996, 5)",0.035824726518145805,train,3,1,meeting minutes,,UST,9,88,1 Mo,y_probe,-0.0014051222987443797
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,9,124,1 Mo,y_bl,-0.056326084026111965
"(1996, 7)",0.013110165924207662,train,3,1,meeting minutes,,UST,9,124,1 Mo,y_probe,-0.0017498230523035824
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,9,75,1 Mo,y_bl,-0.029950710124355136
"(1996, 8)",-0.016047025597516695,train,3,1,meeting minutes,,UST,9,75,1 Mo,y_probe,-0.022288181003645255
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,9,91,1 Mo,y_bl,-0.02492008837915947
"(1996, 9)",0.03184060585565751,train,3,1,meeting minutes,,UST,9,91,1 Mo,y_probe,-0.018066733251641737
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,9,20,1 Mo,y_bl,-0.036359273079097
"(1996, 10)",-0.024514565763584573,train,3,1,speech,Chairman Alan Greenspan,UST,9,20,1 Mo,y_probe,-0.048674766011630594
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,9,82,1 Mo,y_bl,-0.03458597907582971
"(1996, 11)",-0.06172011215787131,train,3,1,meeting minutes,,UST,9,82,1 Mo,y_probe,0.0032799235059750615
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,9,67,1 Mo,y_bl,-0.006548274990771102
"(1996, 12)",0.029076264081508763,train,3,1,meeting minutes,,UST,9,67,1 Mo,y_probe,0.006243603815383293
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,9,11,1 Mo,y_bl,-0.03367404608155879
"(1997, 1)",0.02384613737283403,train,3,1,speech,Governor Laurence H. Meyer,UST,9,11,1 Mo,y_probe,-0.014939508614447324
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,9,82,1 Mo,y_bl,-0.05467970371117348
"(1997, 2)",-0.0073910166463893034,train,3,1,meeting minutes,,UST,9,82,1 Mo,y_probe,-0.002669757808088355
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,9,77,1 Mo,y_bl,-0.030290301001583215
"(1997, 3)",0.029241849594496383,train,3,1,meeting minutes,,UST,9,77,1 Mo,y_probe,-0.009280686716562228
"(1997, 4)",0.021383566025322764,train,3,1,speech,Governor Laurence H. Meyer,UST,9,168,1 Mo,y_bl,-0.03543007031347807
"(1997, 4)",0.021383566025322764,train,3,1,speech,Governor Laurence H. Meyer,UST,9,168,1 Mo,y_probe,-0.016522421299446213
"(1997, 5)",-0.02186144771088394,train,3,1,meeting minutes,,UST,9,85,1 Mo,y_bl,-0.045045494793480294
"(1997, 5)",-0.02186144771088394,train,3,1,speech,Chairman Alan Greenspan,UST,9,61,1 Mo,y_bl,-0.045045494793480294
"(1997, 5)",-0.02186144771088394,train,3,1,meeting minutes,,UST,9,85,1 Mo,y_probe,0.01728260171173887
"(1997, 5)",-0.02186144771088394,train,3,1,speech,Chairman Alan Greenspan,UST,9,61,1 Mo,y_probe,-0.027080409073564515
"(1997, 7)",-0.01990532224880992,train,3,1,meeting minutes,,UST,9,116,1 Mo,y_bl,-0.02592578285550202
"(1997, 7)",-0.01990532224880992,train,3,1,meeting minutes,,UST,9,116,1 Mo,y_probe,-0.019948782035652597
"(1997, 8)",-0.040515668893719894,train,3,1,meeting minutes,,UST,9,74,1 Mo,y_bl,-0.02001471945017138
"(1997, 8)",-0.040515668893719894,train,3,1,meeting minutes,,UST,9,74,1 Mo,y_probe,-0.02891058894888465
"(1997, 9)",-0.005798144987579482,train,3,1,meeting minutes,,UST,9,72,1 Mo,y_bl,-0.021979658348250733
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Chairman Alan Greenspan,UST,9,83,1 Mo,y_bl,-0.021979658348250733
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Governor Laurence H. Meyer,UST,9,127,1 Mo,y_bl,-0.021979658348250733
"(1997, 9)",-0.005798144987579482,train,3,1,meeting minutes,,UST,9,72,1 Mo,y_probe,-0.006416997161236365
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Chairman Alan Greenspan,UST,9,83,1 Mo,y_probe,-2.2538940084400797e-5
"(1997, 9)",-0.005798144987579482,train,3,1,speech,Governor Laurence H. Meyer,UST,9,127,1 Mo,y_probe,-0.005637237278809286
"(1997, 10)",-0.008236547093297242,train,3,1,speech,Governor Laurence H. Meyer,UST,9,135,1 Mo,y_bl,-0.02731504782509008
"(1997, 10)",-0.008236547093297242,train,3,1,speech,Governor Laurence H. Meyer,UST,9,135,1 Mo,y_probe,0.01986879798870377
"(1997, 11)",-0.04607645829783902,train,3,1,meeting minutes,,UST,9,76,1 Mo,y_bl,-0.03628649720518485
"(1997, 11)",-0.04607645829783902,train,3,1,speech,Chairman Alan Greenspan,UST,9,83,1 Mo,y_bl,-0.03628649720518485
"(1997, 11)",-0.04607645829783902,train,3,1,meeting minutes,,UST,9,76,1 Mo,y_probe,-0.01990748688236745
"(1997, 11)",-0.04607645829783902,train,3,1,speech,Chairman Alan Greenspan,UST,9,83,1 Mo,y_probe,-0.020668725458004876
"(1997, 12)",-0.025645991046535716,train,3,1,meeting minutes,,UST,9,73,1 Mo,y_bl,-0.019909506411510187
"(1997, 12)",-0.025645991046535716,train,3,1,speech,Chairman Alan Greenspan,UST,9,39,1 Mo,y_bl,-0.019909506411510187
"(1997, 12)",-0.025645991046535716,train,3,1,meeting minutes,,UST,9,73,1 Mo,y_probe,-0.009977337994354796
"(1997, 12)",-0.025645991046535716,train,3,1,speech,Chairman Alan Greenspan,UST,9,39,1 Mo,y_probe,-0.02740477446563605
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Chairman Alan Greenspan,UST,9,14,1 Mo,y_bl,-0.01904234775019413
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Governor Laurence H. Meyer,UST,9,135,1 Mo,y_bl,-0.01904234775019413
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Chairman Alan Greenspan,UST,9,14,1 Mo,y_probe,-0.010286202242122367
"(1998, 1)",-0.033940671686584045,train,3,1,speech,Governor Laurence H. Meyer,UST,9,135,1 Mo,y_probe,-0.015548248850651368
"(1998, 2)",0.012969186206129413,train,3,1,meeting minutes,,UST,9,85,1 Mo,y_bl,-0.026734369774016706
"(1998, 2)",0.012969186206129413,train,3,1,meeting minutes,,UST,9,85,1 Mo,y_probe,-0.009107634020937144
"(1998, 3)",0.008300686535488825,train,3,1,meeting minutes,,UST,9,84,1 Mo,y_bl,-0.03449620411196473
"(1998, 3)",0.008300686535488825,train,3,1,speech,Governor Laurence H. Meyer,UST,9,176,1 Mo,y_bl,-0.03449620411196473
"(1998, 3)",0.008300686535488825,train,3,1,meeting minutes,,UST,9,84,1 Mo,y_probe,0.0032477307798752164
"(1998, 3)",0.008300686535488825,train,3,1,speech,Governor Laurence H. Meyer,UST,9,176,1 Mo,y_probe,0.008981359167825935
"(1998, 4)",-0.0032281606707242894,train,3,1,speech,Governor Laurence H. Meyer,UST,9,67,1 Mo,y_bl,-0.043008911880896186
"(1998, 4)",-0.0032281606707242894,train,3,1,speech,Governor Laurence H. Meyer,UST,9,67,1 Mo,y_probe,0.0020972249308042444
"(1998, 5)",0.003384097984241663,train,3,1,meeting minutes,,UST,9,94,1 Mo,y_bl,-0.031297475139144694
"(1998, 5)",0.003384097984241663,train,3,1,meeting minutes,,UST,9,94,1 Mo,y_probe,-0.007960697386380368
"(1998, 6)",-0.04668090373756497,train,3,1,meeting minutes,,UST,9,111,1 Mo,y_bl,-0.03178800187347152
"(1998, 6)",-0.04668090373756497,train,3,1,meeting minutes,,UST,9,111,1 Mo,y_probe,-0.00887586253723776
"(1998, 7)",-0.0035461030067485133,train,3,1,speech,"Governor Roger W. Ferguson, Jr.",UST,9,81,1 Mo,y_bl,-0.02140075478407918
"(1998, 7)",-0.0035461030067485133,train,3,1,speech,"Governor Roger W. Ferguson, Jr.",UST,9,81,1 Mo,y_probe,-0.008634300809844595
"(1998, 8)",-0.012511333889107634,train,3,1,meeting minutes,,UST,9,81,1 Mo,y_bl,-0.02295964690473486
"(1998, 8)",-0.012511333889107634,train,3,1,meeting minutes,,UST,9,81,1 Mo,y_probe,-0.012808377969000185
"(1998, 9)",-0.07660139358684652,train,3,1,meeting minutes,,UST,9,80,1 Mo,y_bl,-0.03655991007243164
"(1998, 9)",-0.07660139358684652,train,3,1,meeting minutes,,UST,9,80,1 Mo,y_probe,-0.022812999742995423
"(1998, 10)",-0.06001800972625157,train,3,1,speech,Governor Laurence H. Meyer,UST,9,100,1 Mo,y_bl,-0.010552100559644943
"(1998, 10)",-0.06001800972625157,train,3,1,speech,Governor Laurence H. Meyer,UST,9,100,1 Mo,y_probe,-0.013386631554108592
"(1998, 11)",0.0849473927687769,train,3,1,meeting minutes,,UST,9,82,1 Mo,y_bl,-0.00503231785352856
"(1998, 11)",0.0849473927687769,train,3,1,meeting minutes,,UST,9,82,1 Mo,y_probe,-0.006538941689590764
"(1998, 12)",-0.040585280115076276,train,3,1,meeting minutes,,UST,9,72,1 Mo,y_bl,-0.057651993613325285
"(1998, 12)",-0.040585280115076276,train,3,1,meeting minutes,,UST,9,72,1 Mo,y_probe,-0.020776180925426643
"(1999, 1)",1.1102230246251565e-15,train,3,1,speech,"Governor Roger W. Ferguson, Jr.",UST,9,51,1 Mo,y_bl,-0.047048105798966226
"(1999, 1)",1.1102230246251565e-15,train,3,1,speech,"Governor Roger W. Ferguson, Jr.",UST,9,51,1 Mo,y_probe,-0.04311851195957923
"(1999, 2)",0.05474812420961815,train,3,1,meeting minutes,,UST,9,89,1 Mo,y_bl,-0.011492744188847897
"(1999, 2)",0.05474812420961815,train,3,1,speech,Governor Laurence H. Meyer,UST,9,98,1 Mo,y_bl,-0.011492744188847897
"(1999, 2)",0.05474812420961815,train,3,1,meeting minutes,,UST,9,89,1 Mo,y_probe,-0.013848703781075408
"(1999, 2)",0.05474812420961815,train,3,1,speech,Governor Laurence H. Meyer,UST,9,98,1 Mo,y_probe,-0.00029918695578562865
"(1999, 3)",0.053120666833562424,train,3,1,meeting minutes,,UST,9,80,1 Mo,y_bl,-0.054295185089692014
"(1999, 3)",0.053120666833562424,train,3,1,meeting minutes,,UST,9,80,1 Mo,y_probe,-0.011169586475210717
