ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,18,106,10 Yr,,y_bl,-0.008365829185044369
"(1996, 1)",0.0,train,5,1,meeting minutes,,UST,18,106,10 Yr,,y_probe,-0.0074641731793766986
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,18,77,10 Yr,,y_bl,-0.008365829185044369
"(1996, 3)",0.10447202159671166,train,5,1,meeting minutes,,UST,18,77,10 Yr,,y_probe,0.0039014782717129
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,18,88,10 Yr,,y_bl,-0.015054708954775474
"(1996, 5)",0.06203539091945277,train,5,1,meeting minutes,,UST,18,88,10 Yr,,y_probe,0.005724727290957796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,18,124,10 Yr,,y_bl,-0.020148793781222796
"(1996, 7)",0.022305757514299973,train,5,1,meeting minutes,,UST,18,124,10 Yr,,y_probe,-0.0026043060059839523
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,18,75,10 Yr,,y_bl,-0.026959524013120788
"(1996, 8)",-0.03136926366764322,train,5,1,meeting minutes,,UST,18,75,10 Yr,,y_probe,-0.004828217356889783
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,18,91,10 Yr,,y_bl,-0.02575148578694913
"(1996, 9)",0.026947738409769422,train,5,1,meeting minutes,,UST,18,91,10 Yr,,y_probe,-0.0019046299103919586
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,18,20,10 Yr,,y_bl,-0.035336080928923624
"(1996, 10)",-0.029987254427663146,train,5,1,speech,Chairman Alan Greenspan,UST,18,20,10 Yr,,y_probe,0.0008462910308253135
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,18,82,10 Yr,,y_bl,-0.018063160151763142
"(1996, 11)",-0.0579645404454726,train,5,1,meeting minutes,,UST,18,82,10 Yr,,y_probe,-0.006482031577325161
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,18,67,10 Yr,,y_bl,-0.006570289412058536
"(1996, 12)",0.034868825650825185,train,5,1,meeting minutes,,UST,18,67,10 Yr,,y_probe,-0.004122468090958909
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,18,11,10 Yr,,y_bl,0.0003247468820646831
"(1997, 1)",0.02309571479464889,train,5,1,speech,Governor Laurence H. Meyer,UST,18,11,10 Yr,,y_probe,0.0005228111897832972
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,18,82,10 Yr,,y_bl,-0.007399175652468498
"(1997, 2)",-0.01843370168883829,train,5,1,meeting minutes,,UST,18,82,10 Yr,,y_probe,0.0003212308414728357
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,18,77,10 Yr,,y_bl,-0.00198740101865962
"(1997, 3)",0.04546237407675845,train,5,1,meeting minutes,,UST,18,77,10 Yr,,y_probe,0.0018003611748628554
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,18,168,10 Yr,,y_bl,-0.00566674234750426
"(1997, 4)",0.026317308317373212,train,5,1,speech,Governor Laurence H. Meyer,UST,18,168,10 Yr,,y_probe,0.007861350815857194
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,18,85,10 Yr,,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,18,61,10 Yr,,y_bl,-0.01979082253007269
"(1997, 5)",-0.03250695587046226,train,5,1,meeting minutes,,UST,18,85,10 Yr,,y_probe,4.650270971257995e-5
"(1997, 5)",-0.03250695587046226,train,5,1,speech,Chairman Alan Greenspan,UST,18,61,10 Yr,,y_probe,-0.00017479887918594647
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,18,116,10 Yr,,y_bl,-0.01604608763210516
"(1997, 7)",-0.03927380720941799,train,5,1,meeting minutes,,UST,18,116,10 Yr,,y_probe,-0.005254405874086241
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,18,74,10 Yr,,y_bl,-0.007734970765157045
"(1997, 8)",-0.03791923486229498,train,5,1,meeting minutes,,UST,18,74,10 Yr,,y_probe,-9.154503928909163e-5
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,18,72,10 Yr,,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,18,83,10 Yr,,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,18,127,10 Yr,,y_bl,-0.009879258393243329
"(1997, 9)",-0.0014483826143687388,train,5,1,meeting minutes,,UST,18,72,10 Yr,,y_probe,-0.0020256655718748715
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Chairman Alan Greenspan,UST,18,83,10 Yr,,y_probe,0.0024831336031022207
"(1997, 9)",-0.0014483826143687388,train,5,1,speech,Governor Laurence H. Meyer,UST,18,127,10 Yr,,y_probe,0.004130290967890136
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,18,135,10 Yr,,y_bl,-0.002265153952310951
"(1997, 10)",-0.021533799009074858,train,5,1,speech,Governor Laurence H. Meyer,UST,18,135,10 Yr,,y_probe,0.0007020823894353299
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,18,76,10 Yr,,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,18,83,10 Yr,,y_bl,0.0073873264129667385
"(1997, 11)",-0.029217089674588206,train,5,1,meeting minutes,,UST,18,76,10 Yr,,y_probe,-0.0030270206412092867
"(1997, 11)",-0.029217089674588206,train,5,1,speech,Chairman Alan Greenspan,UST,18,83,10 Yr,,y_probe,0.0032471433573043706
"(1997, 12)",-0.016080299232376923,train,5,1,meeting minutes,,UST,18,73,10 Yr,,y_bl,0.006092506366371484
"(1997, 12)",-0.016080299232376923,train,5,1,speech,Chairman Alan Greenspan,UST,18,39,10 Yr,,y_bl,0.006092506366371484
