ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,19,106,1 Yr,y_bl,-0.0027761937187946208
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,19,106,1 Yr,y_probe,-0.002602173040514221
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,19,77,1 Yr,y_bl,-0.0027761937187946208
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,19,77,1 Yr,y_probe,0.0014733685851893255
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,19,88,1 Yr,y_bl,-0.012769637574383593
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,19,88,1 Yr,y_probe,0.00659039666640182
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,19,124,1 Yr,y_bl,-0.0006076492035807542
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,19,124,1 Yr,y_probe,0.009246085107611705
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,19,75,1 Yr,y_bl,0.0017201854011910144
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,19,75,1 Yr,y_probe,-0.0029905948162583435
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,19,91,1 Yr,y_bl,-0.0034729455634614345
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,19,91,1 Yr,y_probe,-0.0013155816926667537
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,19,20,1 Yr,y_bl,-0.01050722168306808
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,19,20,1 Yr,y_probe,-0.002723716952861899
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,19,82,1 Yr,y_bl,0.01952302631271628
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,19,82,1 Yr,y_probe,-0.0009641470353602163
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,19,67,1 Yr,y_bl,0.019955720050410557
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,19,67,1 Yr,y_probe,-0.00034926404028666795
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,19,11,1 Yr,y_bl,0.018552380196997245
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,19,11,1 Yr,y_probe,0.02672319244879672
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,19,82,1 Yr,y_bl,-0.009227357120394606
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,19,82,1 Yr,y_probe,0.0060962435929311585
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,19,77,1 Yr,y_bl,0.028102488848263222
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,19,77,1 Yr,y_probe,0.0070695778887467815
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,19,168,1 Yr,y_bl,-0.024720410941722882
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,19,168,1 Yr,y_probe,0.03519812131779091
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,19,85,1 Yr,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,19,61,1 Yr,y_bl,-0.003969627345652492
