ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,10,meeting minutes,,UST,25,106,1 Mo,y_bl,-0.0057523533079462475
"(1996, 1)",0.0,10,meeting minutes,,UST,25,106,1 Mo,y_probe,0.010403922509608221
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,25,77,1 Mo,y_bl,-0.0057523533079462475
"(1996, 3)",0.07738666361542093,10,meeting minutes,,UST,25,77,1 Mo,y_probe,0.026240421432621182
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,25,88,1 Mo,y_bl,-0.015055506877691716
"(1996, 5)",0.035824726518145805,10,meeting minutes,,UST,25,88,1 Mo,y_probe,0.04367440229284861
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,25,124,1 Mo,y_bl,-0.011913417460334383
"(1996, 7)",0.013110165924207662,10,meeting minutes,,UST,25,124,1 Mo,y_probe,0.031182059720172135
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,25,75,1 Mo,y_bl,-0.00020192582557820442
"(1996, 8)",-0.016047025597516695,10,meeting minutes,,UST,25,75,1 Mo,y_probe,0.02662913272928411
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,25,91,1 Mo,y_bl,-0.0061383372412705285
"(1996, 9)",0.03184060585565751,10,meeting minutes,,UST,25,91,1 Mo,y_probe,0.025592563033302394
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,25,20,1 Mo,y_bl,0.14605318147907356
"(1996, 10)",-0.024514565763584573,10,speech,Chairman Alan Greenspan,UST,25,20,1 Mo,y_probe,-0.03507044765096866
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,25,82,1 Mo,y_bl,-0.0070140801012760915
"(1996, 11)",-0.06172011215787131,10,meeting minutes,,UST,25,82,1 Mo,y_probe,-0.00833374149991201
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,25,67,1 Mo,y_bl,0.009893431793614113
"(1996, 12)",0.029076264081508763,10,meeting minutes,,UST,25,67,1 Mo,y_probe,0.012513971793434614
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,25,11,1 Mo,y_bl,0.16802875727837815
"(1997, 1)",0.02384613737283403,10,speech,Governor Laurence H. Meyer,UST,25,11,1 Mo,y_probe,-0.026017622294743938
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,25,82,1 Mo,y_bl,0.0030366934314220604
"(1997, 2)",-0.0073910166463893034,10,meeting minutes,,UST,25,82,1 Mo,y_probe,0.011821026697501463
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,25,77,1 Mo,y_bl,-0.0037219927172518572
"(1997, 3)",0.029241849594496383,10,meeting minutes,,UST,25,77,1 Mo,y_probe,0.033911156028882665
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,25,168,1 Mo,y_bl,0.27700893238101554
"(1997, 4)",0.021383566025322764,10,speech,Governor Laurence H. Meyer,UST,25,168,1 Mo,y_probe,0.02195814870072707
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,25,85,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,25,61,1 Mo,y_bl,-0.0029759501206374035
"(1997, 5)",-0.02186144771088394,10,meeting minutes,,UST,25,85,1 Mo,y_probe,0.011139365808947426
"(1997, 5)",-0.02186144771088394,10,speech,Chairman Alan Greenspan,UST,25,61,1 Mo,y_probe,0.03192016703489311
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,25,116,1 Mo,y_bl,-0.017261095462849943
"(1997, 7)",-0.01990532224880992,10,meeting minutes,,UST,25,116,1 Mo,y_probe,0.005918917254504952
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,25,74,1 Mo,y_bl,-0.013241718413827026
"(1997, 8)",-0.040515668893719894,10,meeting minutes,,UST,25,74,1 Mo,y_probe,0.03467908620546586
"(1997, 9)",-0.005798144987579482,10,meeting minutes,,UST,25,72,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Chairman Alan Greenspan,UST,25,83,1 Mo,y_bl,0.0006897036781851077
"(1997, 9)",-0.005798144987579482,10,speech,Governor Laurence H. Meyer,UST,25,127,1 Mo,y_bl,0.0006897036781851077
