ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1997, 11)",-0.013771193732996352,train,10,1,speech,Chairman Alan Greenspan,UST,5,83,1 Yr,y_bl,0.011204275349032454
"(1997, 11)",-0.013771193732996352,train,10,1,meeting minutes,,UST,5,76,1 Yr,y_probe,-0.007442130691869914
"(1997, 11)",-0.013771193732996352,train,10,1,speech,Chairman Alan Greenspan,UST,5,83,1 Yr,y_probe,0.018563970401225666
"(1997, 12)",0.013983974202703022,train,10,1,meeting minutes,,UST,5,73,1 Yr,y_bl,0.009730556588983232
"(1997, 12)",0.013983974202703022,train,10,1,speech,Chairman Alan Greenspan,UST,5,39,1 Yr,y_bl,0.009730556588983232
"(1997, 12)",0.013983974202703022,train,10,1,meeting minutes,,UST,5,73,1 Yr,y_probe,-0.005985253335356663
"(1997, 12)",0.013983974202703022,train,10,1,speech,Chairman Alan Greenspan,UST,5,39,1 Yr,y_probe,-0.012998209416831255
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Chairman Alan Greenspan,UST,5,14,1 Yr,y_bl,-0.021574301436424782
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Governor Laurence H. Meyer,UST,5,135,1 Yr,y_bl,-0.021574301436424782
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Chairman Alan Greenspan,UST,5,14,1 Yr,y_probe,0.018133814851714492
"(1998, 1)",-0.05561294203563204,train,10,1,speech,Governor Laurence H. Meyer,UST,5,135,1 Yr,y_probe,0.0024279470413389958
"(1998, 2)",0.00884694492082927,train,10,1,meeting minutes,,UST,5,85,1 Yr,y_bl,-0.0036957554242387784
"(1998, 2)",0.00884694492082927,train,10,1,meeting minutes,,UST,5,85,1 Yr,y_probe,0.0007774314944269618
"(1998, 3)",0.01993631462488802,train,10,1,meeting minutes,,UST,5,84,1 Yr,y_bl,-0.00981352595348027
"(1998, 3)",0.01993631462488802,train,10,1,speech,Governor Laurence H. Meyer,UST,5,176,1 Yr,y_bl,-0.00981352595348027
"(1998, 3)",0.01993631462488802,train,10,1,meeting minutes,,UST,5,84,1 Yr,y_probe,-0.004179779856423977
"(1998, 3)",0.01993631462488802,train,10,1,speech,Governor Laurence H. Meyer,UST,5,176,1 Yr,y_probe,0.026024298230477735
"(1998, 4)",-0.0048374651621134745,train,10,1,speech,Governor Laurence H. Meyer,UST,5,67,1 Yr,y_bl,-0.017980910827358868
"(1998, 4)",-0.0048374651621134745,train,10,1,speech,Governor Laurence H. Meyer,UST,5,67,1 Yr,y_probe,0.022812575749102816
"(1998, 5)",0.02226437049739971,train,10,1,meeting minutes,,UST,5,94,1 Yr,y_bl,-0.0007693961002001154
"(1998, 5)",0.02226437049739971,train,10,1,meeting minutes,,UST,5,94,1 Yr,y_probe,-0.0071723633515484225
"(1998, 6)",-0.012927234501458162,train,10,1,meeting minutes,,UST,5,111,1 Yr,y_bl,-0.004171815782873682
"(1998, 6)",-0.012927234501458162,train,10,1,meeting minutes,,UST,5,111,1 Yr,y_probe,0.0018569548112211606
"(1998, 7)",-0.009337135995939327,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,81,1 Yr,y_bl,-0.023698138499347703
"(1998, 7)",-0.009337135995939327,train,10,1,speech,"Governor Roger W. Ferguson, Jr.",UST,5,81,1 Yr,y_probe,0.00551373778247153
"(1998, 8)",-0.013220211428133899,train,10,1,meeting minutes,,UST,5,81,1 Yr,y_bl,0.0035806793306181963
"(1998, 8)",-0.013220211428133899,train,10,1,meeting minutes,,UST,5,81,1 Yr,y_probe,-0.009304539204281786
"(1998, 9)",-0.1494090872546749,train,10,1,meeting minutes,,UST,5,80,1 Yr,y_bl,-0.012760021832908617
"(1998, 9)",-0.1494090872546749,train,10,1,meeting minutes,,UST,5,80,1 Yr,y_probe,-0.016284687161005135
"(1998, 10)",-0.08041069295827613,train,10,1,speech,Governor Laurence H. Meyer,UST,5,100,1 Yr,y_bl,0.022569968937636728
"(1998, 10)",-0.08041069295827613,train,10,1,speech,Governor Laurence H. Meyer,UST,5,100,1 Yr,y_probe,0.002933594792504165
