ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,meeting minutes,,CPI,24,106,,y_bl,0.0018095848637232383
"(1996, 1)",0.0,meeting minutes,,CPI,24,106,,y_probe,0.0020900618923486284
"(1996, 3)",0.00515797404026852,meeting minutes,,CPI,24,77,,y_bl,0.0018095848637232383
"(1996, 3)",0.00515797404026852,meeting minutes,,CPI,24,77,,y_probe,0.0023592401720860896
"(1996, 5)",0.005771096491922201,meeting minutes,,CPI,24,88,,y_bl,0.003695093339150359
"(1996, 5)",0.005771096491922201,meeting minutes,,CPI,24,88,,y_probe,0.0026797796513218
"(1996, 7)",0.0038289772370969644,meeting minutes,,CPI,24,124,,y_bl,0.0033191314348228846
"(1996, 7)",0.0038289772370969644,meeting minutes,,CPI,24,124,,y_probe,0.002524218981841571
"(1996, 8)",0.0012730746467983778,meeting minutes,,CPI,24,75,,y_bl,0.0030804152791075448
"(1996, 8)",0.0012730746467983778,meeting minutes,,CPI,24,75,,y_probe,0.002369596341273401
"(1996, 9)",0.0031756139738865485,meeting minutes,,CPI,24,91,,y_bl,0.0012950325397918091
"(1996, 9)",0.0031756139738865485,speech,Governor Laurence H. Meyer,CPI,24,76,,y_bl,0.0012950325397918091
"(1996, 9)",0.0031756139738865485,meeting minutes,,CPI,24,91,,y_probe,0.002550395035805568
"(1996, 9)",0.0031756139738865485,speech,Governor Laurence H. Meyer,CPI,24,76,,y_probe,0.0030326228741798613
"(1996, 10)",0.0031655613645611425,speech,Chairman Alan Greenspan,CPI,24,20,,y_bl,0.0027281272980020596
"(1996, 10)",0.0031655613645611425,speech,Chairman Alan Greenspan,CPI,24,20,,y_probe,0.002565553600764597
"(1996, 11)",0.0031555721988096863,meeting minutes,,CPI,24,82,,y_bl,0.0027568106177745895
"(1996, 11)",0.0031555721988096863,meeting minutes,,CPI,24,82,,y_probe,0.0024168716741074106
"(1996, 12)",0.0025173078113773784,meeting minutes,,CPI,24,67,,y_bl,0.0032263205066742455
"(1996, 12)",0.0025173078113773784,meeting minutes,,CPI,24,67,,y_probe,0.002494568719590752
"(1997, 1)",0.0018838310123738822,speech,Governor Laurence H. Meyer,CPI,24,11,,y_bl,0.00218542849390107
"(1997, 1)",0.0018838310123738822,speech,Governor Laurence H. Meyer,CPI,24,11,,y_probe,0.0032177352288482604
"(1997, 2)",0.00188028886485192,meeting minutes,,CPI,24,82,,y_bl,0.002317084537420963
"(1997, 2)",0.00188028886485192,meeting minutes,,CPI,24,82,,y_probe,0.0025939972606771463
"(1997, 3)",0.0006259781112074592,meeting minutes,,CPI,24,77,,y_bl,0.0023230415115267303
"(1997, 3)",0.0006259781112074592,meeting minutes,,CPI,24,77,,y_probe,0.002604347820221738
"(1997, 4)",0.0006255865077342548,speech,Governor Laurence H. Meyer,CPI,24,168,,y_bl,0.001938046129848481
"(1997, 4)",0.0006255865077342548,speech,Governor Laurence H. Meyer,CPI,24,168,,y_probe,0.002773194421410862
"(1997, 5)",0.0,meeting minutes,,CPI,24,85,,y_bl,0.0021271052992756115
"(1997, 5)",0.0,speech,Chairman Alan Greenspan,CPI,24,61,,y_bl,0.0021271052992756115
"(1997, 5)",0.0,meeting minutes,,CPI,24,85,,y_probe,0.00254525977405092
"(1997, 5)",0.0,speech,Chairman Alan Greenspan,CPI,24,61,,y_probe,0.002643907058398425
"(1997, 7)",0.0031220755925058796,meeting minutes,,CPI,24,116,,y_bl,0.0016714857708306624
