ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1998, 1)",0.001235330607991969,speech,Chairman Alan Greenspan,CPI,6,94,,y_bl,0.0019140934338350857
"(1998, 1)",0.001235330607991969,speech,Governor Laurence H. Meyer,CPI,6,135,,y_bl,0.0019140934338350857
"(1998, 1)",0.001235330607991969,speech,Chairman Alan Greenspan,CPI,6,94,,y_probe,0.0023591515542491135
"(1998, 1)",0.001235330607991969,speech,Governor Laurence H. Meyer,CPI,6,135,,y_probe,0.0029102768626269315
"(1998, 2)",0.0,meeting minutes,,CPI,6,85,,y_bl,0.002283757184938234
"(1998, 2)",0.0,meeting minutes,,CPI,6,85,,y_probe,0.0021678438448696742
"(1998, 3)",0.0,meeting minutes,,CPI,6,84,,y_bl,0.0017382519389321017
"(1998, 3)",0.0,speech,Governor Laurence H. Meyer,CPI,6,176,,y_bl,0.0017382519389321017
"(1998, 3)",0.0,meeting minutes,,CPI,6,84,,y_probe,0.0023644079151308333
"(1998, 3)",0.0,speech,Governor Laurence H. Meyer,CPI,6,176,,y_probe,0.0025556252842035138
"(1998, 4)",0.001233806448929009,speech,Governor Laurence H. Meyer,CPI,6,67,,y_bl,0.001989918882235994
"(1998, 4)",0.001233806448929009,speech,Governor Laurence H. Meyer,CPI,6,67,,y_probe,0.0025443319259757244
"(1998, 5)",0.002463055432397887,meeting minutes,,CPI,6,94,,y_bl,0.002080734221567211
"(1998, 5)",0.002463055432397887,meeting minutes,,CPI,6,94,,y_probe,0.002305982481900853
"(1998, 6)",0.0012292564547298213,meeting minutes,,CPI,6,111,,y_bl,0.0027532825604987218
"(1998, 6)",0.0012292564547298213,meeting minutes,,CPI,6,111,,y_probe,0.0022646272711724473
"(1998, 7)",0.0024539889615660115,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,81,,y_bl,0.002102167640079335
"(1998, 7)",0.0024539889615660115,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,81,,y_probe,0.0026655471919670303
"(1998, 8)",0.0012247398958962208,meeting minutes,,CPI,6,81,,y_bl,0.0025496638184279367
"(1998, 8)",0.0012247398958962208,meeting minutes,,CPI,6,81,,y_probe,0.002444935971378791
"(1998, 9)",0.0006118079114054709,meeting minutes,,CPI,6,80,,y_bl,0.0017426297390888644
"(1998, 9)",0.0006118079114054709,meeting minutes,,CPI,6,80,,y_probe,0.00217179670635976
"(1998, 10)",0.0024434954124759045,speech,Governor Laurence H. Meyer,CPI,6,100,,y_bl,0.002249411356578946
"(1998, 10)",0.0024434954124759045,speech,Governor Laurence H. Meyer,CPI,6,100,,y_probe,0.0026878720574219366
"(1998, 11)",0.0012195123462612756,meeting minutes,,CPI,6,82,,y_bl,0.002403314998094356
"(1998, 11)",0.0012195123462612756,meeting minutes,,CPI,6,82,,y_probe,0.002191081955231254
"(1998, 12)",0.0018264845260347329,meeting minutes,,CPI,6,72,,y_bl,0.0021356173501695156
"(1998, 12)",0.0018264845260347329,meeting minutes,,CPI,6,72,,y_probe,0.0022106874233245167
"(1999, 1)",0.001823154561514606,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,51,,y_bl,0.0026422731115291653
"(1999, 1)",0.001823154561514606,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,51,,y_probe,0.0026618863990856105
"(1999, 2)",0.0,meeting minutes,,CPI,6,89,,y_bl,0.0019436019974880486
"(1999, 2)",0.0,speech,Governor Laurence H. Meyer,CPI,6,98,,y_bl,0.0019436019974880486
"(1999, 2)",0.0,meeting minutes,,CPI,6,89,,y_probe,0.0021101883516789406
"(1999, 2)",0.0,speech,Governor Laurence H. Meyer,CPI,6,98,,y_probe,0.0027564042678022227
"(1999, 3)",0.0006069802917769707,meeting minutes,,CPI,6,80,,y_bl,0.0018893339174393035
"(1999, 3)",0.0006069802917769707,meeting minutes,,CPI,6,80,,y_probe,0.0023167361090012705
"(1999, 4)",0.006652579721027507,speech,Governor Laurence H. Meyer,CPI,6,99,,y_bl,0.002003497667872237
"(1999, 4)",0.006652579721027507,speech,Governor Laurence H. Meyer,CPI,6,99,,y_probe,0.002588022303030695
"(1999, 5)",0.0006025911601446055,meeting minutes,,CPI,6,72,,y_bl,0.004043638975650561
"(1999, 5)",0.0006025911601446055,speech,Vice Chair Alice M. Rivlin,CPI,6,41,,y_bl,0.004043638975650561
"(1999, 5)",0.0006025911601446055,meeting minutes,,CPI,6,72,,y_probe,0.002478641504041188
"(1999, 5)",0.0006025911601446055,speech,Vice Chair Alice M. Rivlin,CPI,6,41,,y_probe,0.002979517793943829
"(1999, 6)",0.0,meeting minutes,,CPI,6,112,,y_bl,0.0015955204547048218
"(1999, 6)",0.0,speech,"Governor Roger W. Ferguson, Jr.",CPI,6,56,,y_bl,0.0015955204547048218
"(1999, 6)",0.0,meeting minutes,,CPI,6,112,,y_probe,0.002375577089727892
