ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,22,106,,128,y_bl,0.0024560723092352413
"(1996, 1)",0.0,train,4,1,meeting minutes,,CPI,22,106,,128,y_probe,0.002048269775578537
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,22,77,,128,y_bl,0.0024560723092352413
"(1996, 3)",0.005157974040266744,train,4,1,meeting minutes,,CPI,22,77,,128,y_probe,0.002211036517876334
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,22,88,,128,y_bl,0.0037690434744508125
"(1996, 5)",0.005771096491922201,train,4,1,meeting minutes,,CPI,22,88,,128,y_probe,0.002388307270765971
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,22,124,,128,y_bl,0.0032827464939015547
"(1996, 7)",0.0038289772370987407,train,4,1,meeting minutes,,CPI,22,124,,128,y_probe,0.00229030708854262
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,22,75,,128,y_bl,0.0028039742349685653
"(1996, 8)",0.0012730746467983778,train,4,1,meeting minutes,,CPI,22,75,,128,y_probe,0.002271384256451277
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,22,91,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,22,76,,128,y_bl,0.0010810193760826764
"(1996, 9)",0.0031756139738856604,train,4,1,meeting minutes,,CPI,22,91,,128,y_probe,0.0023291425982552264
"(1996, 9)",0.0031756139738856604,train,4,1,speech,Governor Laurence H. Meyer,CPI,22,76,,128,y_probe,0.00242885377007147
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,22,20,,128,y_bl,0.0016914811497996231
"(1996, 10)",0.003165561364558478,train,4,1,speech,Chairman Alan Greenspan,CPI,22,20,,128,y_probe,0.0025887315008699626
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,22,82,,128,y_bl,0.0019053698311793784
"(1996, 11)",0.0031555721988105745,train,4,1,meeting minutes,,CPI,22,82,,128,y_probe,0.0022986489818105846
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,22,67,,128,y_bl,0.002594639077502453
"(1996, 12)",0.00251730781137649,train,4,1,meeting minutes,,CPI,22,67,,128,y_probe,0.0023005017971523484
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,22,11,,128,y_bl,0.001944447418225399
"(1997, 1)",0.0018838310123721058,train,4,1,speech,Governor Laurence H. Meyer,CPI,22,11,,128,y_probe,0.002128911944244322
"(1997, 2)",0.00188028886485192,train,4,1,meeting minutes,,CPI,22,82,,128,y_bl,0.0018650880983529224
