ym,y,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,meeting minutes,,PPI,2,106,,y_bl,0.002063593007080123
"(1996, 1)",0.0,meeting minutes,,PPI,2,106,,y_probe,0.0017031774670260506
"(1996, 3)",0.0007914523563119502,meeting minutes,,PPI,2,77,,y_bl,0.002063593007080123
"(1996, 3)",0.0007914523563119502,meeting minutes,,PPI,2,77,,y_probe,0.002431150300483062
"(1996, 5)",0.013359727189931725,meeting minutes,,PPI,2,88,,y_bl,0.002325372566301518
"(1996, 5)",0.013359727189931725,meeting minutes,,PPI,2,88,,y_probe,0.0025384520698699714
"(1996, 7)",-0.0007809449830720183,meeting minutes,,PPI,2,124,,y_bl,0.006532502491908025
"(1996, 7)",-0.0007809449830720183,meeting minutes,,PPI,2,124,,y_probe,0.0020882413322469424
"(1996, 8)",0.002341007701973652,meeting minutes,,PPI,2,75,,y_bl,0.0027163206123166175
"(1996, 8)",0.002341007701973652,meeting minutes,,PPI,2,75,,y_probe,0.0019082423586399245
"(1996, 9)",-0.0007797271350211687,meeting minutes,,PPI,2,91,,y_bl,0.0037441996787559747
"(1996, 9)",-0.0007797271350211687,speech,Governor Laurence H. Meyer,PPI,2,76,,y_bl,0.0037441996787559747
"(1996, 9)",-0.0007797271350211687,meeting minutes,,PPI,2,91,,y_probe,0.0020661219219282965
"(1996, 9)",-0.0007797271350211687,speech,Governor Laurence H. Meyer,PPI,2,76,,y_probe,0.004549777649708379
"(1996, 10)",-0.0015612805669524832,speech,Chairman Alan Greenspan,PPI,2,20,,y_bl,-0.0007574434554338835
"(1996, 10)",-0.0015612805669524832,speech,Chairman Alan Greenspan,PPI,2,20,,y_probe,0.0033541524367457927
"(1996, 11)",0.0015612805669524832,meeting minutes,,PPI,2,82,,y_bl,0.0018474809906068234
"(1996, 11)",0.0015612805669524832,meeting minutes,,PPI,2,82,,y_probe,0.0015549170442653568
"(1996, 12)",0.006995753366027202,meeting minutes,,PPI,2,67,,y_bl,0.0019526166766578091
"(1996, 12)",0.006995753366027202,meeting minutes,,PPI,2,67,,y_probe,0.002027495644425497
"(1997, 1)",0.004636793469801503,speech,Governor Laurence H. Meyer,PPI,2,11,,y_bl,0.004500697790576091
"(1997, 1)",0.004636793469801503,speech,Governor Laurence H. Meyer,PPI,2,11,,y_probe,0.003946663728921171
"(1997, 2)",-0.009295186987123394,meeting minutes,,PPI,2,82,,y_bl,0.0044790532859328306
"(1997, 2)",-0.009295186987123394,meeting minutes,,PPI,2,82,,y_probe,0.0018913276811498721
"(1997, 3)",-0.009382398771913714,meeting minutes,,PPI,2,77,,y_bl,-0.0004442581557195684
"(1997, 3)",-0.009382398771913714,meeting minutes,,PPI,2,77,,y_probe,0.0027457614247065492
"(1997, 4)",-0.0023594191047697777,speech,Governor Laurence H. Meyer,PPI,2,168,,y_bl,-0.0026272831483380205
"(1997, 4)",-0.0023594191047697777,speech,Governor Laurence H. Meyer,PPI,2,168,,y_probe,0.004004722548844855
"(1997, 5)",0.0031446566794715025,meeting minutes,,PPI,2,85,,y_bl,-0.0010027620716429732
"(1997, 5)",0.0031446566794715025,speech,Chairman Alan Greenspan,PPI,2,61,,y_bl,-0.0010027620716429732
"(1997, 5)",0.0031446566794715025,meeting minutes,,PPI,2,85,,y_probe,0.0025094092142507224
"(1997, 5)",0.0031446566794715025,speech,Chairman Alan Greenspan,PPI,2,61,,y_probe,0.004153954525902112
"(1997, 7)",-0.003932368417721044,meeting minutes,,PPI,2,116,,y_bl,0.004014308484172429
"(1997, 7)",-0.003932368417721044,meeting minutes,,PPI,2,116,,y_probe,0.0015930781447070733
"(1997, 8)",0.002361276185680161,meeting minutes,,PPI,2,74,,y_bl,0.002623785183194455
"(1997, 8)",0.002361276185680161,meeting minutes,,PPI,2,74,,y_probe,0.0017772411409140282
"(1997, 9)",0.00235571369245946,meeting minutes,,PPI,2,72,,y_bl,0.0033250382646475025
"(1997, 9)",0.00235571369245946,speech,Chairman Alan Greenspan,PPI,2,83,,y_bl,0.0033250382646475025
"(1997, 9)",0.00235571369245946,speech,Governor Laurence H. Meyer,PPI,2,127,,y_bl,0.0033250382646475025
"(1997, 9)",0.00235571369245946,meeting minutes,,PPI,2,72,,y_probe,0.002074046000522946
"(1997, 9)",0.00235571369245946,speech,Chairman Alan Greenspan,PPI,2,83,,y_probe,0.0036657949589273915
"(1997, 9)",0.00235571369245946,speech,Governor Laurence H. Meyer,PPI,2,127,,y_probe,0.004688414649142414
"(1997, 10)",0.0023501773449527974,speech,Governor Laurence H. Meyer,PPI,2,135,,y_bl,0.002041818886290856
"(1997, 10)",0.0023501773449527974,speech,Governor Laurence H. Meyer,PPI,2,135,,y_probe,0.0034613055344745454
"(1997, 11)",0.0007821666413629913,meeting minutes,,PPI,2,76,,y_bl,0.003965473167930721
"(1997, 11)",0.0007821666413629913,speech,Chairman Alan Greenspan,PPI,2,83,,y_bl,0.003965473167930721
"(1997, 11)",0.0007821666413629913,meeting minutes,,PPI,2,76,,y_probe,0.0015705629324239997
