ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,n_pc,model,yhat
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,24,106,1 Yr,128,y_bl,-0.0027761937187946208
"(1996, 1)",0.0,train,10,1,meeting minutes,,UST,24,106,1 Yr,128,y_probe,0.0013196270297239584
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,24,77,1 Yr,128,y_bl,-0.0027761937187946208
"(1996, 3)",0.07725848313712999,train,10,1,meeting minutes,,UST,24,77,1 Yr,128,y_probe,0.007947902668999307
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,24,88,1 Yr,128,y_bl,-0.012769637574383593
"(1996, 5)",0.03470667976550024,train,10,1,meeting minutes,,UST,24,88,1 Yr,128,y_probe,0.010260917173696097
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,24,124,1 Yr,128,y_bl,-0.0006076492035807542
"(1996, 7)",0.04046286361318216,train,10,1,meeting minutes,,UST,24,124,1 Yr,128,y_probe,0.005415873674997886
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,24,75,1 Yr,128,y_bl,0.0017201854011910144
"(1996, 8)",-0.031526253646772605,train,10,1,meeting minutes,,UST,24,75,1 Yr,128,y_probe,-0.0004151831699257545
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,24,91,1 Yr,128,y_bl,-0.0034729455634614345
"(1996, 9)",0.0193838668210482,train,10,1,meeting minutes,,UST,24,91,1 Yr,128,y_probe,-0.000324263189489746
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,24,20,1 Yr,128,y_bl,-0.01050722168306808
"(1996, 10)",-0.02652675433342977,train,10,1,speech,Chairman Alan Greenspan,UST,24,20,1 Yr,128,y_probe,0.0002986170568192957
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,24,82,1 Yr,128,y_bl,0.01952302631271628
"(1996, 11)",-0.029092960941664543,train,10,1,meeting minutes,,UST,24,82,1 Yr,128,y_probe,0.0014985443651492963
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,24,67,1 Yr,128,y_bl,0.019955720050410557
"(1996, 12)",0.01646880771326753,train,10,1,meeting minutes,,UST,24,67,1 Yr,128,y_probe,0.0036396293205563225
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,24,11,1 Yr,128,y_bl,0.018552380196997245
"(1997, 1)",0.017986096369782656,train,10,1,speech,Governor Laurence H. Meyer,UST,24,11,1 Yr,128,y_probe,0.031671751596115794
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,24,82,1 Yr,128,y_bl,-0.009227357120394606
"(1997, 2)",-0.012556218775412686,train,10,1,meeting minutes,,UST,24,82,1 Yr,128,y_probe,0.008078460814110188
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,24,77,1 Yr,128,y_bl,0.028102488848263222
"(1997, 3)",0.0646513306588133,train,10,1,meeting minutes,,UST,24,77,1 Yr,128,y_probe,0.007620205025651538
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,24,168,1 Yr,128,y_bl,-0.024720410941722882
"(1997, 4)",0.02341244062474157,train,10,1,speech,Governor Laurence H. Meyer,UST,24,168,1 Yr,128,y_probe,0.020899681687024694
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,24,85,1 Yr,128,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,24,61,1 Yr,128,y_bl,-0.003969627345652492
"(1997, 5)",-0.029935518451022627,train,10,1,meeting minutes,,UST,24,85,1 Yr,128,y_probe,0.005104216570450308
"(1997, 5)",-0.029935518451022627,train,10,1,speech,Chairman Alan Greenspan,UST,24,61,1 Yr,128,y_probe,0.005739253941094412
"(1997, 7)",-0.04027389913794277,train,10,1,meeting minutes,,UST,24,116,1 Yr,128,y_bl,0.0038036540682278674
"(1997, 7)",-0.04027389913794277,train,10,1,meeting minutes,,UST,24,116,1 Yr,128,y_probe,0.005317352335160012
"(1997, 8)",-0.023319442345142605,train,10,1,meeting minutes,,UST,24,74,1 Yr,128,y_bl,-0.00196808394340437
"(1997, 8)",-0.023319442345142605,train,10,1,meeting minutes,,UST,24,74,1 Yr,128,y_probe,0.011025537405369183
"(1997, 9)",-0.0009327408505547402,train,10,1,meeting minutes,,UST,24,72,1 Yr,128,y_bl,-0.012125543554784018
"(1997, 9)",-0.0009327408505547402,train,10,1,speech,Chairman Alan Greenspan,UST,24,83,1 Yr,128,y_bl,-0.012125543554784018
"(1997, 9)",-0.0009327408505547402,train,10,1,speech,Governor Laurence H. Meyer,UST,24,127,1 Yr,128,y_bl,-0.012125543554784018
