ym,y,p,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,9,meeting minutes,,UST,3,106,1 Yr,y_bl,-0.0012821050149483871
"(1996, 1)",0.0,9,meeting minutes,,UST,3,106,1 Yr,y_probe,0.005958451281268988
"(1996, 3)",0.07725848313712999,9,meeting minutes,,UST,3,77,1 Yr,y_bl,-0.0012821050149483871
"(1996, 3)",0.07725848313712999,9,meeting minutes,,UST,3,77,1 Yr,y_probe,0.00042754289090653
"(1996, 5)",0.03470667976550024,9,meeting minutes,,UST,3,88,1 Yr,y_bl,0.0006555200162295681
"(1996, 5)",0.03470667976550024,9,meeting minutes,,UST,3,88,1 Yr,y_probe,0.0036326176956569104
"(1996, 7)",0.04046286361318216,9,meeting minutes,,UST,3,124,1 Yr,y_bl,0.0098750349052869
"(1996, 7)",0.04046286361318216,9,meeting minutes,,UST,3,124,1 Yr,y_probe,0.010340922965458361
"(1996, 8)",-0.031526253646772605,9,meeting minutes,,UST,3,75,1 Yr,y_bl,0.016109508024539934
"(1996, 8)",-0.031526253646772605,9,meeting minutes,,UST,3,75,1 Yr,y_probe,0.001806130645331917
"(1996, 9)",0.0193838668210482,9,meeting minutes,,UST,3,91,1 Yr,y_bl,0.005259963047065548
"(1996, 9)",0.0193838668210482,9,meeting minutes,,UST,3,91,1 Yr,y_probe,0.005008552796396821
"(1996, 10)",-0.02652675433342977,9,speech,Chairman Alan Greenspan,UST,3,20,1 Yr,y_bl,0.2617486275226775
"(1996, 10)",-0.02652675433342977,9,speech,Chairman Alan Greenspan,UST,3,20,1 Yr,y_probe,0.003500460165549192
"(1996, 11)",-0.029092960941664543,9,meeting minutes,,UST,3,82,1 Yr,y_bl,0.0016360775108462773
"(1996, 11)",-0.029092960941664543,9,meeting minutes,,UST,3,82,1 Yr,y_probe,0.00039832990786797297
"(1996, 12)",0.01646880771326753,9,meeting minutes,,UST,3,67,1 Yr,y_bl,0.0115965971637629
"(1996, 12)",0.01646880771326753,9,meeting minutes,,UST,3,67,1 Yr,y_probe,-0.00036160333633042597
"(1997, 1)",0.017986096369782656,9,speech,Governor Laurence H. Meyer,UST,3,11,1 Yr,y_bl,0.005786455803791818
"(1997, 1)",0.017986096369782656,9,speech,Governor Laurence H. Meyer,UST,3,11,1 Yr,y_probe,0.01567974308346902
"(1997, 2)",-0.012556218775412686,9,meeting minutes,,UST,3,82,1 Yr,y_bl,0.0032393889037532235
"(1997, 2)",-0.012556218775412686,9,meeting minutes,,UST,3,82,1 Yr,y_probe,0.006051066290944399
"(1997, 3)",0.0646513306588133,9,meeting minutes,,UST,3,77,1 Yr,y_bl,0.011549394455598777
"(1997, 3)",0.0646513306588133,9,meeting minutes,,UST,3,77,1 Yr,y_probe,0.004075395267181922
"(1997, 4)",0.02341244062474157,9,speech,Governor Laurence H. Meyer,UST,3,168,1 Yr,y_bl,0.08585816441364366
"(1997, 4)",0.02341244062474157,9,speech,Governor Laurence H. Meyer,UST,3,168,1 Yr,y_probe,0.03125281824222062
"(1997, 5)",-0.029935518451022627,9,meeting minutes,,UST,3,85,1 Yr,y_bl,-0.013864916173701315
"(1997, 5)",-0.029935518451022627,9,speech,Chairman Alan Greenspan,UST,3,61,1 Yr,y_bl,-0.013864916173701315
"(1997, 5)",-0.029935518451022627,9,meeting minutes,,UST,3,85,1 Yr,y_probe,0.0011595056311591797
"(1997, 5)",-0.029935518451022627,9,speech,Chairman Alan Greenspan,UST,3,61,1 Yr,y_probe,0.020159297837384373
"(1997, 7)",-0.04027389913794277,9,meeting minutes,,UST,3,116,1 Yr,y_bl,0.009407793418991128
"(1997, 7)",-0.04027389913794277,9,meeting minutes,,UST,3,116,1 Yr,y_probe,5.3250114771432674e-5
"(1997, 8)",-0.023319442345142605,9,meeting minutes,,UST,3,74,1 Yr,y_bl,-0.013607165699910929
"(1997, 8)",-0.023319442345142605,9,meeting minutes,,UST,3,74,1 Yr,y_probe,0.007969559875809416
"(1997, 9)",-0.0009327408505547402,9,meeting minutes,,UST,3,72,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,speech,Chairman Alan Greenspan,UST,3,83,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,speech,Governor Laurence H. Meyer,UST,3,127,1 Yr,y_bl,-0.0019319525935537598
"(1997, 9)",-0.0009327408505547402,9,meeting minutes,,UST,3,72,1 Yr,y_probe,0.0031570601937002656
"(1997, 9)",-0.0009327408505547402,9,speech,Chairman Alan Greenspan,UST,3,83,1 Yr,y_probe,0.013866408263867393
"(1997, 9)",-0.0009327408505547402,9,speech,Governor Laurence H. Meyer,UST,3,127,1 Yr,y_probe,0.02409339640641758
