ym,y,split,p,fold,event_type,speaker,indicator,layer,nrow,maturity,model,yhat
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,3,106,,y_bl,0.0016091851990394106
"(1996, 1)",0.0,train,4,1,meeting minutes,,PPI,3,106,,y_probe,0.0014924876782714288
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,3,77,,y_bl,0.0016091851990394106
"(1996, 3)",0.0007914523563137266,train,4,1,meeting minutes,,PPI,3,77,,y_probe,0.0019298499616089379
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,3,88,,y_bl,0.0018348744383488986
"(1996, 5)",0.013359727189933501,train,4,1,meeting minutes,,PPI,3,88,,y_probe,0.0026580616817882944
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,3,124,,y_bl,0.005477695417673625
"(1996, 7)",-0.0007809449830729065,train,4,1,meeting minutes,,PPI,3,124,,y_probe,0.0015866954307840809
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,3,75,,y_bl,0.0024370184304523183
"(1996, 8)",0.002341007701973652,train,4,1,meeting minutes,,PPI,3,75,,y_probe,0.0011617937480806898
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,3,91,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,3,76,,y_bl,0.0029723182585282013
"(1996, 9)",-0.0007797271350211687,train,4,1,meeting minutes,,PPI,3,91,,y_probe,0.0014770996112186267
"(1996, 9)",-0.0007797271350211687,train,4,1,speech,Governor Laurence H. Meyer,PPI,3,76,,y_probe,0.002676211833152848
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,3,20,,y_bl,-0.001944837577946359
"(1996, 10)",-0.001561280566956036,train,4,1,speech,Chairman Alan Greenspan,PPI,3,20,,y_probe,0.002677638450013731
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,3,82,,y_bl,0.001475507804794513
"(1996, 11)",0.0015612805669524832,train,4,1,meeting minutes,,PPI,3,82,,y_probe,0.0013806289729208865
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,3,67,,y_bl,0.0012778396429653576
"(1996, 12)",0.006995753366026314,train,4,1,meeting minutes,,PPI,3,67,,y_probe,0.001755426626197623
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,3,11,,y_bl,0.0038096032007748494
"(1997, 1)",0.004636793469800615,train,4,1,speech,Governor Laurence H. Meyer,PPI,3,11,,y_probe,0.0027975849264595086
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,3,82,,y_bl,0.003966910514534653
"(1997, 2)",-0.009295186987123394,train,4,1,meeting minutes,,PPI,3,82,,y_probe,0.0017934034837287663
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,3,77,,y_bl,-0.0005979936427683044
"(1997, 3)",-0.009382398771913714,train,4,1,meeting minutes,,PPI,3,77,,y_probe,0.001916649759900336
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,3,168,,y_bl,-0.003231679080572897
"(1997, 4)",-0.0023594191047697777,train,4,1,speech,Governor Laurence H. Meyer,PPI,3,168,,y_probe,0.0029965824343097117
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,3,85,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,speech,Chairman Alan Greenspan,PPI,3,61,,y_bl,-0.001625438982093535
"(1997, 5)",0.0031446566794715025,train,4,1,meeting minutes,,PPI,3,85,,y_probe,0.0019236534655842727
